,home_time,school_time,recreational_activities,travel_time,working,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
06:04:2013,63600.0,27600.0,0.0,1200.0,0.0,0.0,5.0,0.0,0.0,20.0,"Haldeman Center,Haldeman Center,0,Berry Hall,Berry Hall,0,0,Robinson Hall",27897.0,6999.0,51.0,797.0571428571428,1253.1696975096,141.0,403.0,852.0,35.0,1.0,3602.0,1202.0,1198.0,1200.6666666666667,2.3094010767585034,1200.0,1202.0,1202.0,3.0,2.0
06:05:2013,10752.0,0.0,2377.0,0.0,0.0,0.0,0.0,1.0,11700.0,20.0,"Bildner Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Bildner Hall,Bildner Hall,0",9343.0,1766.0,51.0,444.9047619047619,511.6683403105868,91.0,184.0,737.0,21.0,1.0,4791.0,1249.0,1105.0,1197.75,64.0592173955734,1182.25,1218.5,1234.0,4.0,1.0
07:04:2013,27600.0,43200.0,10800.0,0.0,0.0,0.0,-1.0,0.0,0.0,20.0,"Class of 1953 Commons,Black Family Visual Arts Center,Black Family Visual Arts Center,Collis Student Center,Collis Student Center,Berry Hall,Berry Hall,Class of 1953 Commons,Class of 1953 Commons,Black Family Visual Arts Center,Black Family Visual Arts Center",20265.0,5084.0,51.0,506.625,918.6278978692025,118.5,176.5,491.5,40.0,0.0,1198.0,1198.0,1198.0,1198.0,,1198.0,1198.0,1198.0,1.0,3.0
08:04:2013,51600.0,32400.0,2400.0,0.0,0.0,0.0,0.0,0.0,11700.0,20.0,"Collis Student Center,Collis Student Center,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Bildner Hall,Bildner Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Berry Hall,Berry Hall,0",24103.0,4126.0,50.0,803.4333333333333,1037.1879982327991,143.5,458.5,822.0,30.0,1.0,14400.0,6007.0,1200.0,3600.0,2771.2871858879344,1200.0,3596.5,5996.5,4.0,2.0
08:05:2013,35981.0,38381.0,3525.0,0.0,0.0,0.0,2.0,0.0,11700.0,20.0,"Sudikoff Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Bildner Hall,Berry Library,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Bildner Hall,0",4011.0,544.0,70.0,191.0,124.65031087004958,111.0,142.0,232.0,21.0,1.0,6123.0,1311.0,1148.0,1224.6,61.10891915260816,1197.0,1215.0,1252.0,5.0,2.0
09:04:2013,57600.0,12000.0,13200.0,2400.0,0.0,0.0,1.0,0.0,7800.0,20.0,"Haldeman Center,Bildner Hall,Bildner Hall,Class of 1953 Commons,Class of 1953 Commons,Black Family Visual Arts Center,Hood Museum of Art,Collis Student Center,Collis Student Center,Dartmouth College,Berry Hall,Bildner Hall,Black Family Visual Arts Center,Black Family Visual Arts Center,South Block Parking Garage,South Block Parking Garage",18657.0,7381.0,50.0,518.25,1267.6038672573204,108.25,186.0,297.0,36.0,1.0,4850.0,1258.0,1194.0,1212.5,30.523215208537035,1195.5,1199.0,1216.0,4.0,1.0
09:05:2013,32401.0,26435.0,20461.0,0.0,5963.0,0.0,3.0,0.0,3900.0,20.0,"0,Sudikoff Hall,Sudikoff Hall,Black Family Visual Arts Center,Black Family Visual Arts Center,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Byrne II Hall,Sudikoff Hall,Sudikoff Hall,Black Family Visual Arts Center,Black Family Visual Arts Center,Black Family Visual Arts Center,Hopkins Center for the Arts,Hopkins Center for the Arts",,,,,,,,,,,1201.0,1201.0,1201.0,1201.0,,1201.0,1201.0,1201.0,1.0,2.0
10:04:2013,45600.0,22800.0,19200.0,0.0,0.0,0.0,2.0,0.0,11700.0,20.0,"Sudikoff Hall,Berry Hall,Bildner Hall,Black Family Visual Arts Center,Black Family Visual Arts Center,Sudikoff Hall,Collis Student Center,Collis Student Center,Berry Hall,Berry Hall,Berry Library,Berry Library,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",28771.0,4477.0,50.0,653.8863636363636,1015.6015336531163,131.0,272.5,688.25,44.0,1.0,16207.0,6004.0,672.0,2701.1666666666665,2562.510988594325,1152.0,1200.0,4796.25,6.0,2.0
10:05:2013,50484.0,22801.0,14355.0,0.0,0.0,0.0,4.0,0.0,9000.0,20.0,"Black Family Visual Arts Center,Black Family Visual Arts Center,Hood Museum of Art,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Dartmouth College,Collis Student Center,Collis Student Center,Bildner Hall,Bildner Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Bildner Hall,Bildner Hall,0",8658.0,3652.0,51.0,412.2857142857143,776.7587877106472,91.0,212.0,353.0,21.0,,4797.0,2400.0,1197.0,1599.0,693.6879701998587,1198.5,1200.0,1800.0,3.0,2.0
11:04:2013,61200.0,6000.0,18000.0,0.0,0.0,0.0,3.0,0.0,3900.0,20.0,"0,Berry Hall,Bildner Hall,Black Family Visual Arts Center,Black Family Visual Arts Center,Class of 1953 Commons,Class of 1953 Commons,Berry Hall,Bildner Hall,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse",21759.0,4135.0,41.0,494.52272727272725,798.090730070803,121.0,197.0,406.25,44.0,1.0,8391.0,3600.0,1196.0,2097.75,1149.5246481335955,1199.0,1797.5,2696.25,4.0,2.0
11:05:2013,90073.0,0.0,1140.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,"0,Bildner Hall,Bildner Hall,Dartmouth College,Dartmouth College,Bildner Hall",18346.0,5127.0,50.0,764.4166666666666,1118.548046301122,148.5,383.5,822.0,24.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
12:04:2013,46800.0,26400.0,14400.0,0.0,0.0,0.0,4.0,0.0,9000.0,20.0,"Bildner Hall,Black Family Visual Arts Center,Black Family Visual Arts Center,Collis Student Center,Collis Student Center,Bildner Hall,Bildner Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Bildner Hall,Berry Hall,0",17697.0,2996.0,71.0,520.5,648.6345214558368,135.25,317.5,610.0,34.0,1.0,4801.0,1203.0,1198.0,1200.25,2.0615528128088303,1199.5,1200.0,1200.75,4.0,2.0
12:05:2013,67200.0,20400.0,3600.0,0.0,0.0,0.0,-1.0,0.0,0.0,20.0,"Berry Hall,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Collis Student Center,Collis Student Center,Berry Library,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Bildner Hall",7889.0,2359.0,50.0,303.4230769230769,487.8344123226177,63.25,131.0,269.75,26.0,2.0,1165.0,1165.0,1165.0,1165.0,,1165.0,1165.0,1165.0,1.0,4.0
13:04:2013,66003.0,18005.0,2400.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,"0,Berry Hall,Berry Hall,0,0,Class of 1953 Commons",39276.0,9374.0,41.0,1155.1764705882354,1976.7264716373925,214.5,454.0,1212.5,34.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,1.0
13:05:2013,43200.0,32400.0,1200.0,0.0,0.0,0.0,0.0,0.0,11700.0,20.0,"Bildner Hall,Berry Library,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",6967.0,1211.0,50.0,278.68,287.74507235861864,101.0,161.0,303.0,25.0,1.0,,,,,,,,,,2.0
14:04:2013,42652.0,13200.0,16799.0,12549.0,0.0,0.0,-1.0,0.0,0.0,20.0,"Class of 1953 Commons,Marshall Parking Lot,0,0,Class of 1953 Commons,Class of 1953 Commons,0,Collis Student Center,Bildner Hall,Berry Hall,Berry Library,Berry Library",35794.0,5921.0,60.0,1154.645161290323,1619.2021399110345,130.5,353.0,1669.5,31.0,1.0,2395.0,1203.0,1192.0,1197.5,7.7781745930520225,1194.75,1197.5,1200.25,2.0,2.0
14:05:2013,40800.0,27600.0,16800.0,0.0,0.0,0.0,1.0,0.0,7800.0,20.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Library,Berry Library,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Library,Berry Library,Black Family Visual Arts Center,Black Family Visual Arts Center,Sudikoff Hall,Sudikoff Hall",23069.0,6848.0,40.0,591.5128205128206,1301.7008483194288,80.5,201.0,342.5,39.0,1.0,1196.0,1196.0,1196.0,1196.0,,1196.0,1196.0,1196.0,1.0,1.0
15:04:2013,54000.0,24000.0,2401.0,4800.0,0.0,2399.0,0.0,0.0,11700.0,20.0,"South Block Parking Garage,South Block Parking Garage,Robinson Hall,Collis Student Center,Collis Student Center,Collis Student Center,Collis Student Center,Sarner Underground,0,Edgerton House,Edgerton House,Dartmouth College,Bildner Hall,Berry Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Bildner Hall,Berry Hall,Haldeman Center",11399.0,4118.0,40.0,518.1363636363636,867.1794615964557,111.0,222.0,594.75,22.0,1.0,2399.0,1200.0,1199.0,1199.5,0.7071067811865476,1199.25,1199.5,1199.75,2.0,1.3333333333333333
15:05:2013,42000.0,39600.0,7200.0,0.0,0.0,0.0,2.0,0.0,11700.0,20.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Berry Library",28198.0,5648.0,41.0,805.6571428571428,1250.4558449493798,100.5,292.0,958.0,35.0,1.0,2967.0,1767.0,1200.0,1483.5,400.9295449327725,1341.75,1483.5,1625.25,2.0,2.5
16:04:2013,73200.0,0.0,12000.0,0.0,0.0,0.0,1.0,1.0,7800.0,20.0,"0,Bildner Hall,Bildner Hall,Black Family Visual Arts Center,Black Family Visual Arts Center",17315.0,7545.0,60.0,665.9615384615385,1457.1358888111774,161.25,282.5,433.75,26.0,1.0,8319.0,3602.0,1119.0,1663.8,1084.0471391964466,1196.0,1200.0,1202.0,5.0,2.0
16:05:2013,26400.0,40800.0,15600.0,1200.0,0.0,0.0,3.0,0.0,3900.0,20.0,"Berry Library,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Black Family Visual Arts Center,Black Family Visual Arts Center,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Collis Student Center,Collis Student Center,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Dartmouth College,Black Family Visual Arts Center,The Lodge,Parker House,Sudikoff Hall",3785.0,888.0,50.0,378.5,308.0156020579333,122.25,292.0,541.5,10.0,1.0,2304.0,1200.0,1.0,768.0,666.0097596882496,552.0,1103.0,1151.5,3.0,2.0
17:04:2013,44402.0,19199.0,23999.0,0.0,0.0,0.0,2.0,0.0,11700.0,20.0,"0,0,Black Family Visual Arts Center,Black Family Visual Arts Center,Collis Student Center,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Bildner Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Hall,Bildner Hall,0",28411.0,7111.0,81.0,1183.7916666666667,1561.7386069535692,213.75,585.0,1497.75,24.0,1.0,12001.0,4801.0,1200.0,2400.2,1697.4098503307916,1200.0,1200.0,3600.0,5.0,2.0
17:05:2013,37200.0,7200.0,42000.0,0.0,1200.0,0.0,4.0,0.0,9000.0,20.0,"Sudikoff Hall,Berry Library,Black Family Visual Arts Center,Black Family Visual Arts Center,Black Family Visual Arts Center,Black Family Visual Arts Center,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Bildner Hall,Berry Library,Berry Library,Black Family Visual Arts Center,Black Family Visual Arts Center,Berry Library,Berry Library,Dartmouth College",,,,,,,,,,,2401.0,1201.0,1200.0,1200.5,0.7071067811865476,1200.25,1200.5,1200.75,2.0,3.0
18:04:2013,49201.0,16798.0,18001.0,0.0,0.0,1200.0,3.0,0.0,3900.0,20.0,"0,Bildner Hall,Black Family Visual Arts Center,Black Family Visual Arts Center,Black Family Visual Arts Center,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,0,Bildner Hall,Bildner Hall,Dartmouth College,0,0,Collis Student Center,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Bildner Hall,Black Family Visual Arts Center,Black Family Visual Arts Center,Black Family Visual Arts Center,Fairchild Physical Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",27387.0,3459.0,30.0,652.0714285714286,765.7411010243015,193.5,337.5,847.75,42.0,1.0,4799.0,1200.0,1199.0,1199.75,0.5,1199.75,1200.0,1200.0,4.0,2.0
18:05:2013,49199.0,18002.0,25200.0,0.0,0.0,6000.0,5.0,0.0,0.0,20.0,"Dartmouth College,Black Family Visual Arts Center,Heating & Electric Plant,Black Family Visual Arts Center,Heating & Electric Plant,Heating & Electric Plant,Black Family Visual Arts Center,Heating & Electric Plant,Heating & Electric Plant,Black Family Visual Arts Center,Black Family Visual Arts Center,Black Family Visual Arts Center,Black Family Visual Arts Center,Sudikoff Hall,Bildner Hall,Bildner Hall,Sudikoff Hall",,,,,,,,,,,4792.0,4791.0,1.0,2396.0,3387.0414818835625,1198.5,2396.0,3593.5,2.0,3.0
19:04:2013,16800.0,18000.0,13200.0,39600.0,0.0,0.0,4.0,0.0,9000.0,20.0,"Dartmouth College,Berry Library,Berry Library,Black Family Visual Arts Center,Black Family Visual Arts Center,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Collis Student Center,Collis Student Center,Berry Hall,Berry Hall,Gilman Parking Lot,Bildner Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Bildner Hall,Bildner Hall,Haldeman Center",14775.0,3007.0,70.0,399.3243243243243,554.6215453429108,141.0,181.0,394.0,37.0,1.0,1204.0,1203.0,1.0,602.0,849.9423509862302,301.5,602.0,902.5,2.0,1.0
19:05:2013,52801.0,12005.0,0.0,0.0,10793.0,0.0,-1.0,0.0,0.0,20.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Collis Student Center,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Bildner Hall,Bildner Hall,Collis Student Center,Collis Student Center,Berry Hall",111.0,111.0,111.0,111.0,,111.0,111.0,111.0,1.0,2.0,5958.0,3602.0,21.0,1489.5,1508.657350096436,859.5,1167.5,1797.5,4.0,4.0
20:04:2013,183600.0,2400.0,1200.0,0.0,1200.0,0.0,5.0,0.0,0.0,20.0,"Haldeman Center,Sudikoff Hall,Bildner Hall,Alpha Theta,Berry Library,Bildner Hall",4355.0,3902.0,60.0,725.8333333333334,1556.2096795312216,72.75,101.0,121.0,6.0,,,,,,,,,,,
20:05:2013,69600.0,11998.0,3602.0,0.0,0.0,0.0,0.0,0.0,11700.0,20.0,"Bildner Hall,Dartmouth College,Berry Library,Class of 1953 Commons,Bildner Hall,Bildner Hall,Berry Library,Sudikoff Hall",9589.0,1492.0,40.0,435.8636363636364,358.9458502011458,146.25,358.0,645.0,22.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,2.5
22:04:2013,58800.0,0.0,12000.0,0.0,0.0,0.0,0.0,1.0,11700.0,20.0,"Bildner Hall,Berry Library,Berry Library,Bildner Hall,Berry Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",4258.0,918.0,51.0,266.125,284.34952083659294,71.0,120.5,335.0,16.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
22:05:2013,34802.0,53996.0,0.0,1202.0,0.0,0.0,2.0,0.0,11700.0,20.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College,Class of 1953 Commons,Sarner Underground,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",19172.0,4327.0,40.0,580.969696969697,813.6656824538136,141.0,343.0,626.0,33.0,0.0,3597.0,1200.0,1197.0,1199.0,1.7320508075688772,1198.5,1200.0,1200.0,3.0,3.0
23:04:2013,49200.0,24000.0,12000.0,0.0,0.0,0.0,1.0,0.0,7800.0,20.0,"0,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Bildner Hall,Black Family Visual Arts Center,Hopkins Center for the Arts,Hopkins Center for the Arts",25359.0,5446.0,60.0,818.0322580645161,1385.709817719688,120.5,202.0,595.5,31.0,1.0,2378.0,1197.0,1181.0,1189.0,11.31370849898476,1185.0,1189.0,1193.0,2.0,1.0
23:05:2013,48002.0,22799.0,12000.0,0.0,0.0,0.0,3.0,0.0,3900.0,20.0,"Sudikoff Hall,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Bildner Hall,Berry Library,Berry Library,Black Family Visual Arts Center,Black Family Visual Arts Center,Black Family Visual Arts Center,Dartmouth College,Sudikoff Hall",29322.0,4156.0,70.0,1011.103448275862,1150.8897286394058,172.0,394.0,1523.0,29.0,1.0,,,,,,,,,,2.5
24:04:2013,82804.0,8400.0,26396.0,0.0,0.0,0.0,2.0,0.0,11700.0,20.0,"0,0,Black Family Visual Arts Center,Black Family Visual Arts Center,The Lodge,Black Family Visual Arts Center,Black Family Visual Arts Center,Berry Library,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Bildner Hall",5738.0,1412.0,71.0,260.8181818181818,287.68544931733646,83.25,151.0,350.5,22.0,,1180.0,1180.0,1180.0,1180.0,,1180.0,1180.0,1180.0,1.0,
24:05:2013,51869.0,39600.0,0.0,0.0,0.0,0.0,4.0,0.0,9000.0,20.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Byrne II Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",17100.0,4437.0,60.0,712.5,1102.6662154109445,156.75,287.5,597.0,24.0,1.0,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,2.5
25:04:2013,37200.0,8311.0,9689.0,0.0,1200.0,0.0,3.0,0.0,3900.0,20.0,"Alpha Theta,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Bildner Hall,Collis Student Center,0,Collis Student Center,Black Family Visual Arts Center,Black Family Visual Arts Center,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse",25773.0,7183.0,40.0,696.5675675675676,1263.0273934862605,91.0,272.0,605.0,37.0,1.0,3524.0,1233.0,1089.0,1174.6666666666667,75.79138033664074,1145.5,1202.0,1217.5,3.0,2.0
25:05:2013,52834.0,26367.0,4799.0,0.0,0.0,0.0,5.0,0.0,0.0,20.0,"Sudikoff Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Berry Library,Berry Library,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Bildner Hall",17620.0,5223.0,50.0,550.625,928.2969404653984,171.0,308.0,516.75,32.0,1.0,,,,,,,,,,2.0
26:04:2013,49205.0,8399.0,28722.0,0.0,0.0,0.0,4.0,0.0,9000.0,20.0,"Black Family Visual Arts Center,Black Family Visual Arts Center,Dartmouth College,Sudikoff Hall,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Collis Student Center,Bildner Hall,Bildner Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Bildner Hall,Bildner Hall,Sudikoff Hall,Sudikoff Hall,0",15023.0,4147.0,31.0,366.4146341463415,717.7865273049415,111.0,171.0,232.0,41.0,1.0,3566.0,1201.0,1.0,891.5,593.9160995741178,873.25,1182.0,1200.25,4.0,1.0
26:05:2013,39600.0,49200.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,20.0,"Bildner Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Bildner Hall,Sudikoff Hall",34167.0,11105.0,50.0,794.5813953488372,1717.0243533863509,146.0,393.0,706.0,43.0,1.0,4800.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,4.0,2.0
27:03:2013,43201.0,1200.0,2399.0,0.0,0.0,0.0,2.0,1.0,11700.0,20.0,"Berry Hall,Bildner Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Bildner Hall,Berry Hall,0",14201.0,3479.0,40.0,835.3529411764706,1167.1380028287394,151.0,293.0,716.0,17.0,1.0,5998.0,2400.0,1199.0,1499.5,600.3335184156664,1199.0,1199.5,1500.0,4.0,1.0
