,home_time,recreational_activities,school_time,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
16:04:2013,,,,,,,,,,,9215,3237.0,70.0,438.8095238095238,683.9588159419848,131.0,242.0,424.0,21.0,,25852.0,19235.0,32.0,2350.181818181818,5798.040579681758,32.0,38.0,583.5,11.0,
17:04:2013,,,,,,,,,,,7191,3036.0,60.0,449.4375,748.1554177887551,80.0,191.5,432.25,16.0,1.0,28294.0,13608.0,25.0,2829.4,4255.541177231295,28.0,933.0,3649.75,10.0,
18:04:2013,,,,,,,,,,,9663,1553.0,50.0,357.8888888888889,364.2855318537215,136.0,201.0,449.0,27.0,1.0,47962.0,12366.0,302.0,3197.4666666666667,3343.616751506126,1189.5,1658.0,4209.0,15.0,
19:04:2013,,,,,,,,,,,5614,1044.0,40.0,350.875,335.21135123978127,78.5,262.5,519.5,16.0,,21929.0,7533.0,12.0,2741.125,2753.026928284055,838.25,1740.5,4576.0,8.0,
25:04:2013,,,,,,,,,,,19901,3313.0,40.0,710.75,830.8662870986144,98.5,333.0,1137.0,28.0,,59585.0,19108.0,219.0,7448.125,6541.869117734734,3060.5,6257.0,9902.0,8.0,
26:04:2013,,,,,,,,,,,12995,4259.0,80.0,683.9473684210526,1052.1624543811456,121.0,172.0,726.0,19.0,1.0,60081.0,19199.0,1068.0,5461.909090909091,5300.92268297785,1227.5,4328.0,7366.5,11.0,
03:05:2013,,,,,,,,,,,9692,1655.0,30.0,403.8333333333333,457.2121253162824,100.75,167.0,560.0,24.0,,79907.0,32992.0,182.0,11415.285714285714,11710.001305355545,3835.5,8579.0,15241.5,7.0,
04:05:2013,,,,,,,,,,,12698,2461.0,61.0,604.6666666666666,601.7149103465305,151.0,554.0,857.0,21.0,,48043.0,19453.0,1.0,4003.5833333333335,5737.770305905712,180.75,2110.0,4724.75,12.0,
06:05:2013,,,,,,,,,,,9542,2188.0,30.0,561.2941176470588,652.7574937051548,102.0,242.0,1089.0,17.0,,65247.0,21595.0,588.0,5931.545454545455,5994.904959440747,2042.0,4964.0,6761.5,11.0,
08:05:2013,,,,,,,,,,,20100,2682.0,40.0,379.245283018868,488.98041118780935,91.0,212.0,332.0,53.0,,53374.0,25343.0,55.0,5930.444444444444,10882.545935018044,146.0,147.0,1347.0,9.0,
09:05:2013,,,,,,,,,,,3135,958.0,71.0,241.15384615384616,237.7950259340476,101.0,161.0,232.0,13.0,,34800.0,24134.0,1200.0,5800.0,9173.656980724754,1200.0,1200.0,4699.5,6.0,
13:05:2013,,,,,,,,,,,4150,625.0,40.0,188.63636363636363,146.65071735396623,73.5,156.0,217.0,22.0,,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,
14:05:2013,,,,,,,,,,,6899,1393.0,70.0,313.59090909090907,327.5203605580676,93.5,166.0,403.75,22.0,,36961.0,19052.0,1200.0,12320.333333333334,9701.482996600744,8954.5,16709.0,17880.5,3.0,
15:05:2013,,,,,,,,,,,5994,2492.0,40.0,499.5,683.6036198638134,71.0,284.0,554.25,12.0,,45706.0,16250.0,69.0,4155.090909090909,5622.102408433085,393.5,1284.0,6056.5,11.0,
16:05:2013,,,,,,,,,,,3558,1966.0,100.0,508.2857142857143,665.87228862741,161.0,182.0,494.0,7.0,,49500.0,22798.0,95.0,9900.0,9045.740627499774,2568.0,11004.0,13035.0,5.0,
17:05:2013,,,,,,,,,,,2744,252.0,40.0,124.72727272727272,58.5305632966815,73.25,116.0,176.25,22.0,,24779.0,19001.0,219.0,4129.833333333333,7317.375360514634,962.25,1153.5,2053.5,6.0,
18:05:2013,,,,,,,,,,,3431,353.0,40.0,163.38095238095238,111.77543387993455,71.0,121.0,272.0,21.0,,37767.0,18869.0,149.0,5395.285714285715,8962.122325176584,149.0,149.0,9151.0,7.0,
19:05:2013,,,,,,,,,,,9278,1695.0,70.0,545.7647058823529,537.0296231833684,101.0,222.0,1049.0,17.0,,15416.0,4310.0,142.0,1401.4545454545455,1234.3497367955615,544.0,1200.0,1755.0,11.0,
20:05:2013,,,,,,,,,,,5164,1785.0,50.0,286.8888888888889,424.1015262589413,71.0,100.5,325.25,18.0,,23208.0,22932.0,137.0,7736.0,13160.1220739019,138.0,139.0,11535.5,3.0,
22:05:2013,,,,,,,,,,,2421,463.0,51.0,186.23076923076923,114.8754063076992,101.0,182.0,202.0,13.0,,33700.0,26271.0,48.0,3063.6363636363635,7738.928172204821,54.0,886.0,1203.5,11.0,
23:05:2013,,,,,,,,,,,8939,4862.0,70.0,993.2222222222222,1599.9314655460853,90.0,101.0,1000.0,9.0,,61222.0,40840.0,1141.0,20407.333333333332,19875.183026410938,10191.0,19241.0,30040.5,3.0,
