,home_time,school_time,orthers,travel_time,recreational_activities,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
09:05:2013,60600.0,8400.0,0.0,600.0,0.0,0.0,0.0,3.0,0.0,0.0,59.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dana Circle Parking Lot,0",16203.0,8566.0,111.0,675.125,1706.9211874651364,161.0,288.5,367.0,24.0,,9699.0,4200.0,599.0,1212.375,1242.2915389944274,600.0,602.5,1223.75,8.0,
10:04:2013,65959.0,2401.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,59.0,"0,Winfred-Raven House,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,0",31457.0,4205.0,51.0,898.7714285714286,1037.204248015231,187.0,676.0,1099.0,35.0,,26220.0,6001.0,1085.0,2622.0,1950.613521718516,1199.25,1228.5,4470.75,10.0,1.0
10:05:2013,97204.0,1799.0,600.0,0.0,5401.0,600.0,0.0,4.0,0.0,0.0,59.0,"0,0,0,Hood Museum of Art,Hood Museum of Art,0,0,Topliff Hall,0,Sphinx Secret Society,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Byrne II Hall,0,0",17145.0,3459.0,131.0,1008.529411764706,1178.7283994652382,262.0,303.0,1220.0,17.0,,11129.0,2400.0,505.0,927.4166666666666,675.9458636651759,543.0,599.5,899.75,12.0,
11:04:2013,89924.0,8400.0,0.0,1202.0,0.0,0.0,0.0,3.0,0.0,0.0,59.0,"0,0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0",15502.0,3479.0,71.0,861.2222222222222,938.7643665732696,319.5,645.0,849.25,18.0,1.0,44763.0,31641.0,1133.0,7460.5,12002.46582582096,1191.75,2400.0,5400.0,6.0,
11:05:2013,144512.0,600.0,4963.0,4637.0,0.0,0.0,0.0,5.0,0.0,0.0,59.0,"0,0,Nugget Arcade,Nugget Arcade,0,Nugget Arcade,0,0",31638.0,4105.0,71.0,1265.52,1033.7066847031608,326.0,1341.0,1916.0,25.0,,9719.0,7966.0,553.0,2429.75,3690.899833825531,588.25,600.0,2441.5,4.0,
12:04:2013,62400.0,10800.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,59.0,"0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Guarini Institute for International Education,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0",24909.0,5201.0,80.0,922.5555555555557,1117.3835280323174,201.0,586.0,1129.0,27.0,2.0,12179.0,4800.0,1200.0,2435.8,1469.200190579895,1206.0,2485.0,2488.0,5.0,1.0
13:04:2013,91200.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,59.0,"0,0,0,0,0,0,0",25319.0,3596.0,51.0,816.741935483871,794.3254986776279,327.0,544.0,1053.0,31.0,1.0,12046.0,3604.0,1200.0,2409.2,1201.140791081545,1200.0,2442.0,3600.0,5.0,5.0
13:05:2013,142005.0,7744.0,9554.0,0.0,4770.0,0.0,0.0,0.0,0.0,0.0,59.0,"Hanover Post Office,Dartmouth College,0,West Stands,0,0,0,0,Reed Hall,0,Sudikoff Hall,Sudikoff Hall,Goldstein Hall,0",30230.0,6575.0,50.0,944.6875,1287.7517902868924,176.75,444.0,1502.0,32.0,2.0,12454.0,2399.0,566.0,1132.1818181818182,771.8662861120206,599.5,600.0,1755.5,11.0,5.0
14:04:2013,64842.0,1199.0,0.0,14366.0,2434.0,0.0,0.0,-1.0,0.0,0.0,59.0,"0,Dana Circle Parking Lot,Hood Museum of Art,0,0,0,Sudikoff Hall,0",31136.0,5002.0,40.0,759.4146341463414,954.1735160758176,242.0,484.0,1008.0,41.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,1.5
14:05:2013,3749.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,59.0,Zimmerman Hall,34670.0,6526.0,50.0,1386.8,1985.6094572364088,172.0,373.0,1523.0,25.0,1.0,8645.0,3933.0,547.0,1235.0,1227.0259437626682,573.5,600.0,1209.0,7.0,1.0
15:04:2013,98401.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,"0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0",15009.0,4569.0,30.0,428.8285714285714,792.2646054456914,90.5,231.0,363.0,35.0,1.0,14022.0,3600.0,823.0,2003.142857142857,1195.969680297321,1200.0,1200.0,2999.5,7.0,2.0
15:05:2013,100200.0,2998.0,0.0,3268.0,0.0,0.0,0.0,2.0,0.0,0.0,59.0,"0,Zimmerman Hall,0,0,0,0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",23950.0,6132.0,61.0,1330.5555555555557,1930.1483399933504,113.5,342.5,1416.75,18.0,1.0,13458.0,4800.0,525.0,1495.3333333333333,1352.846443614352,592.0,1200.0,1800.0,9.0,1.0
16:04:2013,64466.0,0.0,0.0,1537.0,5997.0,0.0,0.0,1.0,0.0,0.0,59.0,"0,Alumni Gymnasium,Alumni Gymnasium,0,0,Berry Sports Center Parking Lot",12712.0,1967.0,30.0,397.25,482.8858811288112,78.5,196.5,524.25,32.0,1.0,10414.0,3600.0,1200.0,2082.8,954.5180459268436,1537.0,1677.0,2400.0,5.0,1.5
16:05:2013,60601.0,8399.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,59.0,"0,0,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,0",18770.0,3359.0,50.0,605.483870967742,876.6861418990546,76.0,252.0,721.0,31.0,1.0,16439.0,5151.0,543.0,2054.875,1747.694680551661,595.5,1601.0,2670.75,8.0,2.0
17:04:2013,100800.0,0.0,0.0,0.0,6000.0,0.0,0.0,2.0,0.0,0.0,59.0,"0,0,Alumni Gymnasium,Alumni Gymnasium,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0",29969.0,3581.0,61.0,637.6382978723404,713.1109867131154,181.5,383.0,812.0,47.0,1.0,11817.0,3600.0,1017.0,2363.4,914.6025366245163,2400.0,2400.0,2400.0,5.0,2.0
17:05:2013,85068.0,4800.0,2284.0,3248.0,0.0,0.0,0.0,4.0,0.0,0.0,59.0,"0,Hanover Post Office,0,0,0,0,0",17330.0,3489.0,60.0,641.8518518518518,858.0532843282163,111.0,242.0,721.5,27.0,1.0,11237.0,4200.0,535.0,1404.625,1334.684974869672,553.0,600.0,1950.0,8.0,2.0
18:04:2013,59224.0,7195.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,59.0,"0,Sudikoff Hall,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse",43555.0,7346.0,71.0,1979.7727272727277,2191.147621286252,252.5,1316.5,2338.0,22.0,1.0,8325.0,2400.0,1126.0,1665.0,671.6308509888449,1199.0,1200.0,2400.0,5.0,2.0
18:05:2013,58800.0,8401.0,2167.0,0.0,28990.0,0.0,0.0,5.0,0.0,0.0,59.0,"0,Alumni Gymnasium,Alumni Gymnasium,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,Davidson Pottery Studio",39744.0,4509.0,50.0,709.7142857142857,834.549758073956,151.0,484.0,850.25,56.0,,45839.0,20642.0,349.0,6548.428571428572,6900.066059035059,2400.0,4497.0,7775.5,7.0,
19:04:2013,90013.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,59.0,"0,0,0,0,0,0,0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0",15512.0,10889.0,152.0,3102.4,4422.136791190431,887.0,1271.0,2313.0,5.0,1.0,30000.0,7200.0,1200.0,3000.0,2209.072203437452,1200.0,2400.0,4200.0,10.0,1.0
19:05:2013,167400.0,0.0,0.0,0.0,3042.0,0.0,0.0,-1.0,0.0,0.0,59.0,"Hanover Inn Dartmouth,0",21860.0,7019.0,30.0,642.9411764705883,1223.9998499994083,204.25,277.5,603.0,34.0,,2941.0,601.0,541.0,588.2,26.395075298244556,599.0,600.0,600.0,5.0,
20:04:2013,82707.0,8400.0,0.0,0.0,6000.0,0.0,0.0,5.0,0.0,0.0,59.0,"0,Sudikoff Hall,Sudikoff Hall,0,Alumni Gymnasium,Alumni Gymnasium,0,0",,,,,,,,,,,24029.0,12080.0,1169.0,4805.8,5127.814368714999,1182.0,1200.0,8398.0,5.0,
21:04:2013,72000.0,0.0,0.0,1293.0,0.0,0.0,0.0,-1.0,0.0,0.0,59.0,"Berry Sports Center Parking Lot,0",1993.0,292.0,151.0,221.44444444444449,49.47502175621329,191.0,201.0,262.0,9.0,2.0,7185.0,2400.0,1185.0,1796.25,697.1773447265767,1196.25,1800.0,2400.0,4.0,5.0
22:04:2013,98400.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,"0,Sudikoff Hall,Sudikoff Hall,0,0,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0",18763.0,4509.0,70.0,815.7826086956521,1076.7725325975407,210.0,494.0,907.5,23.0,1.0,15498.0,3600.0,1112.0,2214.0,1096.2487552254431,1193.0,2400.0,3000.0,7.0,2.0
22:05:2013,98401.0,3598.0,0.0,604.0,1801.0,596.0,0.0,2.0,0.0,0.0,59.0,"Black Family Visual Arts Center,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0,Chi Heorot,0",15010.0,6922.0,51.0,833.8888888888889,1626.7885682385509,123.5,302.5,613.0,18.0,1.0,13799.0,6000.0,600.0,2299.8333333333335,2193.5086429432336,600.0,1500.0,3299.25,6.0,1.0
23:04:2013,58802.0,0.0,0.0,3598.0,6000.0,0.0,0.0,1.0,0.0,0.0,59.0,"0,Alumni Gymnasium,Alumni Gymnasium,0,0,South Block Parking Garage",,,,,,,,,,,14400.0,3600.0,1200.0,2880.0,1073.312629199899,2400.0,3600.0,3600.0,5.0,3.0
23:05:2013,52200.0,10800.0,10201.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,59.0,"0,Sudikoff Hall,Sudikoff Hall,0,0,0,0",32192.0,3660.0,51.0,715.3777777777777,824.2972292942771,161.0,282.0,1099.0,45.0,1.0,27233.0,10764.0,492.0,2723.3,3366.751848757361,599.25,899.0,4163.5,10.0,2.0
24:04:2013,84001.0,0.0,3600.0,0.0,5999.0,0.0,0.0,2.0,0.0,0.0,59.0,"Johnson Audiology,Hanover Post Office,0,0,Alumni Gymnasium,Alumni Gymnasium,0,0",,,,,,,,,,,11419.0,4800.0,1103.0,1903.1666666666667,1468.923335871095,1117.75,1160.0,1859.25,6.0,1.0
24:05:2013,184199.0,0.0,0.0,0.0,0.0,4200.0,0.0,4.0,0.0,0.0,59.0,"0,0,Alpha Phi,0,0,0",13369.0,3470.0,71.0,636.6190476190476,839.6982479552091,141.0,282.0,635.0,21.0,,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,1.0,
25:04:2013,80400.0,7200.0,0.0,0.0,1200.0,0.0,0.0,3.0,0.0,0.0,59.0,"0,FatFace Hanover,0,0,Sudikoff Hall,0",,,,,,,,,,,15600.0,4800.0,1200.0,2600.0,1402.8542333400146,1500.0,2400.0,3300.0,6.0,
26:04:2013,72000.0,9600.0,0.0,0.0,4800.0,0.0,0.0,4.0,0.0,0.0,59.0,"0,Alumni Gymnasium,Alumni Gymnasium,0,0,Sudikoff Hall,Sudikoff Hall,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0",,,,,,,,,,,14426.0,4800.0,1226.0,2885.2,1360.2555642231353,2400.0,2400.0,3600.0,5.0,2.0
26:05:2013,76200.0,1199.0,0.0,0.0,6601.0,0.0,0.0,-1.0,0.0,0.0,59.0,"0,0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall,0,Sudikoff Hall,0",47443.0,6061.0,71.0,1897.72,1590.9998564843847,746.0,1473.0,3147.0,25.0,,7703.0,4175.0,555.0,1100.428571428571,1355.8817373629183,585.5,600.0,601.0,7.0,
27:03:2013,63588.0,3552.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,59.0,"0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0",21765.0,9449.0,61.0,1360.3125,2386.7399165318925,143.5,539.0,1003.25,16.0,,12054.0,3660.0,1206.0,2410.8,1183.9939611332484,1255.0,2400.0,3533.0,5.0,
27:04:2013,88800.0,3600.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,59.0,"0,Sudikoff Hall,Sudikoff Hall,0,0,0,0",,,,,,,,,,,9184.0,1981.0,263.0,1148.0,461.7735994433388,1092.25,1181.5,1200.0,8.0,
27:05:2013,67201.0,4199.0,0.0,5999.0,601.0,0.0,0.0,0.0,0.0,0.0,59.0,"0,East Wheelock Street,Black Family Visual Arts Center,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,Bartlett Hall,0",29275.0,3157.0,30.0,665.3409090909091,713.9970993095211,161.75,428.0,892.25,44.0,,19698.0,12597.0,500.0,2188.6666666666665,3927.181813972966,600.0,601.0,1201.0,9.0,
28:03:2013,55260.0,10800.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,59.0,"0,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",18496.0,4912.0,60.0,544.0,867.117132348405,121.0,292.0,624.75,34.0,1.0,13262.0,4800.0,1200.0,2652.4,1550.5253303316267,1262.0,2400.0,3600.0,5.0,1.0
28:04:2013,140373.0,2400.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,59.0,"0,Sudikoff Hall,Sudikoff Hall,0,0,0,0",,,,,,,,,,,11776.0,1200.0,1164.0,1177.6,14.485241531373312,1169.0,1169.5,1189.0,10.0,2.0
28:05:2013,67799.0,3534.0,0.0,6001.0,0.0,0.0,0.0,1.0,0.0,0.0,59.0,"0,0,0,0,0",29360.0,2612.0,41.0,624.6808510638298,726.911276996957,121.0,202.0,938.5,47.0,1.0,12670.0,6001.0,600.0,1267.0,1684.0912485175302,600.0,601.0,1050.25,10.0,
29:03:2013,166800.0,12000.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,59.0,"0,0,0,Sudikoff Hall,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0",18958.0,4506.0,50.0,631.9333333333333,1121.2657851372885,95.25,146.5,383.75,30.0,1.0,11953.0,3600.0,1150.0,1992.1666666666667,987.6579198622702,1200.75,1801.5,2400.0,6.0,1.0
29:04:2013,94828.0,0.0,0.0,1201.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,"0,Dana Circle Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0",,,,,,,,,,,27996.0,2428.0,1133.0,1272.5454545454545,364.7097642252152,1156.0,1165.5,1167.75,22.0,1.5
29:05:2013,64201.0,0.0,0.0,0.0,1266.0,0.0,0.0,2.0,0.0,0.0,59.0,"Jewel of India,0,0,0,0,0,0,Life Sciences Greenhouse",23129.0,8829.0,61.0,1779.1538461538462,2426.111904747795,565.0,1018.0,1603.0,13.0,,7699.0,6000.0,499.0,1924.75,2717.2504945256705,574.75,600.0,1950.0,4.0,1.0
30:04:2013,0.0,3599.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,59.0,Class of 1953 Commons,,,,,,,,,,,24529.0,3600.0,1115.0,1362.7222222222222,630.4509875576516,1157.25,1164.5,1167.0,18.0,2.0
31:03:2013,151116.0,0.0,0.0,3600.0,0.0,0.0,0.0,-1.0,0.0,0.0,59.0,"0,0,0",44920.0,8283.0,81.0,1796.8,2000.611406545509,273.0,1079.0,2341.0,25.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,4.0
30:03:2013,,,,,,,,,,,,,42743.0,6445.0,110.0,1583.074074074074,1893.3205045008972,227.0,727.0,2351.0,27.0,2.0,4800.0,2400.0,1200.0,1600.0,692.8203230275509,1200.0,1200.0,1800.0,3.0,
06:04:2013,,,,,,,,,,,,,26241.0,9629.0,60.0,1457.8333333333333,2577.677323163809,254.75,554.0,1096.0,18.0,1.0,20400.0,9600.0,1202.0,6800.0,4848.010313520383,5400.0,9598.0,9599.0,3.0,
09:04:2013,,,,,,,,,,,,,25011.0,5720.0,50.0,658.1842105263158,1174.0015621165342,188.75,282.0,461.25,38.0,1.0,34815.0,15602.0,1205.0,5802.5,6089.513601265704,1206.0,3001.0,9299.0,6.0,
12:05:2013,,,,,,,,,,,,,40890.0,18556.0,70.0,1703.75,3797.909874265512,106.0,424.0,1537.0,24.0,,17505.0,9164.0,600.0,1945.0,2832.845124605297,600.0,600.0,1711.0,9.0,
20:05:2013,,,,,,,,,,,,,6527.0,836.0,40.0,362.6111111111111,269.46638749003205,123.25,320.5,572.25,18.0,1.0,7757.0,3000.0,558.0,1108.142857142857,948.1825472223916,599.5,600.0,1200.0,7.0,
25:05:2013,,,,,,,,,,,,,30481.0,5043.0,50.0,923.6666666666666,994.7899485150956,374.0,636.0,1039.0,33.0,,4800.0,3600.0,600.0,1600.0,1732.0508075688772,600.0,600.0,2100.0,3.0,
