,home_time,orthers,school_time,travel_time,recreational_activities,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
06:05:2013,13218.0,0.0,19213.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,"0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",3995,1887.0,61.0,399.5,576.83200905174,80.25,116.0,484.25,10.0,,7869.0,2400.0,1200.0,1573.8,545.1900586034195,1200.0,1200.0,1869.0,5.0,
07:04:2013,42000.0,2399.0,13201.0,18000.0,2400.0,2400.0,-1.0,0.0,0.0,32.0,"Sudikoff Hall,Hanover Park,Hanover Park,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Berry Sports Center,0,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,0,North Main Street,North Main Street,0,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,0",16005,1966.0,40.0,400.125,477.81013220305135,111.0,222.0,421.0,40.0,,14349.0,2402.0,1123.0,1434.9,510.0746023867489,1201.25,1206.0,1206.75,10.0,
08:04:2013,21600.0,0.0,37200.0,25121.0,1279.0,1520.0,0.0,0.0,0.0,32.0,"0,North Main Street,0,0,North Main Street,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Zahm Courtyard,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,0,0,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Hanover Park",34365,4097.0,40.0,701.3265306122449,986.5100816294084,121.0,253.0,880.0,49.0,,2405.0,1205.0,1200.0,1202.5,3.5355339059327378,1201.25,1202.5,1203.75,2.0,
08:05:2013,6000.0,1198.0,32296.0,45600.0,1306.0,0.0,2.0,0.0,0.0,32.0,"0,North Main Street,Wilder Hall,Sudikoff Hall,Hopkins Center for the Arts,Lot 6,Lot 6,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dewey Parking Lot,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",19072,2109.0,51.0,346.76363636363635,425.4832095584521,110.5,181.0,353.0,55.0,,6135.0,1319.0,1200.0,1227.0,51.82181008031271,1200.0,1201.0,1215.0,5.0,
09:04:2013,26663.0,0.0,19200.0,38555.0,1240.0,2052.0,1.0,0.0,0.0,32.0,"Hanover Park,Hopkins Center for the Arts,Lot 6,Lot 6,Dartmouth College,North Main Street,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,North Main Street,North Main Street,0,North Main Street,0,0,North Main Street,0,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0",20720,2783.0,40.0,493.3333333333333,597.2260538101076,105.25,227.0,607.25,42.0,,8440.0,1219.0,1200.0,1205.7142857142858,6.395683067879607,1202.0,1205.0,1206.0,7.0,
09:05:2013,419.0,0.0,93545.0,3181.0,0.0,0.0,3.0,0.0,0.0,32.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,North Main Street,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",16095,3892.0,30.0,459.8571428571428,822.0991117741413,101.0,262.0,444.0,35.0,,6000.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,5.0,
10:04:2013,9046.0,0.0,38399.0,37755.0,0.0,0.0,2.0,0.0,0.0,32.0,"North Main Street,Wilder Hall,Sudikoff Hall,Sudikoff Hall,0,0,North Main Street,Maynard Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,0,North Main Street,0,North Main Street,North Main Street,0,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall",32410,4550.0,50.0,558.7931034482758,888.9442537456399,104.25,282.5,468.75,58.0,,7347.0,1333.0,1200.0,1224.5,53.211840787554046,1200.75,1204.0,1205.75,6.0,
10:05:2013,3642.0,0.0,81599.0,1200.0,5999.0,1201.0,4.0,0.0,0.0,32.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Hanover Park,Black Family Visual Arts Center,Black Family Visual Arts Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Wilson Hall",20599,1492.0,51.0,316.9076923076923,312.39746933378615,110.0,222.0,412.0,65.0,,8343.0,2402.0,1107.0,1668.6,670.189003192383,1201.0,1233.0,2400.0,5.0,
11:04:2013,7201.0,0.0,79199.0,0.0,0.0,0.0,3.0,0.0,0.0,32.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Anonymous Hall,Sudikoff Hall,Sudikoff Hall,0,Life Sciences Greenhouse",29790,3671.0,40.0,458.3076923076923,702.2918491241045,91.0,212.0,454.0,65.0,,6000.0,2400.0,1200.0,1500.0,600.0,1200.0,1200.0,1500.0,4.0,
11:05:2013,143383.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,32.0,"0,0",16604,2087.0,30.0,404.9756097560976,515.3174015985138,71.0,191.0,454.0,41.0,,15599.0,4801.0,1200.0,2228.4285714285716,1756.3763697969046,1200.0,1200.0,2999.0,7.0,
12:04:2013,6000.0,0.0,56377.0,24492.0,0.0,0.0,4.0,0.0,0.0,32.0,"Sudikoff Hall,Sudikoff Hall,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,North Main Street,0,Sudikoff Hall",14164,3690.0,30.0,314.7555555555556,553.2383242639138,90.0,152.0,353.0,45.0,2.0,6002.0,2400.0,1200.0,1500.5,599.6674078187008,1200.0,1201.0,1501.5,4.0,
12:05:2013,3017.0,0.0,8400.0,0.0,0.0,0.0,-1.0,0.0,0.0,32.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",16186,1916.0,30.0,394.780487804878,482.0615371607199,81.0,192.0,494.0,41.0,,2402.0,1202.0,1200.0,1201.0,1.4142135623730951,1200.5,1201.0,1201.5,2.0,
13:04:2013,84000.0,0.0,1223.0,1200.0,0.0,0.0,5.0,0.0,0.0,32.0,"Sudikoff Hall,0,North Main Street,0,0",18183,1846.0,50.0,443.4878048780488,409.5445105206038,141.0,332.0,585.0,41.0,,44351.0,21603.0,1200.0,11087.75,11425.530020528588,1204.5,10774.0,20657.25,4.0,4.0
13:05:2013,47396.0,0.0,33600.0,0.0,0.0,10800.0,0.0,0.0,0.0,32.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hanover Park,0",17693,2946.0,101.0,769.2608695652174,816.4875001766187,201.5,353.0,1317.5,23.0,,34872.0,15607.0,2399.0,8718.0,7308.6299217660035,2402.75,8433.0,14748.25,4.0,
14:04:2013,2400.0,34800.0,49200.0,0.0,0.0,0.0,-1.0,0.0,0.0,32.0,"0,0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall",28191,2835.0,50.0,375.88,488.95182872222784,131.0,222.0,428.0,75.0,1.0,4805.0,1205.0,1200.0,1201.25,2.5,1200.0,1200.0,1201.25,4.0,
14:05:2013,14400.0,19259.0,41760.0,0.0,8400.0,0.0,1.0,0.0,0.0,32.0,"0,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0",23042,3089.0,60.0,490.25531914893617,595.5417872421098,131.0,313.0,539.5,47.0,,4801.0,3600.0,1201.0,2400.5,1696.3491680665277,1800.75,2400.5,3000.25,2.0,
15:04:2013,5999.0,0.0,58864.0,25137.0,0.0,0.0,0.0,0.0,0.0,32.0,"0,North Main Street,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,La Casa,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,North Main Street,0,Sudikoff Hall,Sudikoff Hall",36166,4055.0,31.0,446.4938271604938,622.4240540711933,101.0,232.0,504.0,81.0,1.0,3607.0,1207.0,1200.0,1202.3333333333333,4.041451884327381,1200.0,1200.0,1203.5,3.0,1.0
15:05:2013,2401.0,0.0,73199.0,0.0,0.0,96000.0,2.0,0.0,0.0,32.0,"Sudikoff Hall,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Reed Hall,Hanover Park",30020,3095.0,50.0,469.0625,553.5601335253211,115.25,252.0,627.75,64.0,,8406.0,2400.0,1200.0,1401.0,489.4106660055541,1200.0,1201.0,1203.5,6.0,
16:04:2013,53999.0,0.0,15601.0,14400.0,0.0,0.0,1.0,0.0,0.0,32.0,"0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,North Main Street,0,North Main Street,0,0",41393,4578.0,30.0,667.6290322580645,841.1318922302952,152.0,343.0,827.0,62.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,1.0
17:04:2013,4800.0,0.0,49200.0,38400.0,0.0,0.0,2.0,0.0,0.0,32.0,"Sudikoff Hall,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dewey Parking Lot,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",31997,3843.0,60.0,639.94,867.8400682623686,146.75,297.5,609.75,50.0,1.0,2437.0,1237.0,1200.0,1218.5,26.16295090390226,1209.25,1218.5,1227.75,2.0,1.0
17:05:2013,7200.0,0.0,2400.0,0.0,0.0,94941.0,4.0,0.0,0.0,32.0,"0,Wilder Hall,Hanover Park,Hanover Park",3647,775.0,60.0,191.94736842105263,173.20459119017812,85.5,142.0,217.0,19.0,,12000.0,2400.0,1200.0,1500.0,555.4920598635309,1200.0,1200.0,1500.0,8.0,
18:04:2013,14402.0,0.0,33598.0,1200.0,0.0,30000.0,3.0,0.0,0.0,32.0,"North Main Street,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hanover Park,0,Life Sciences Greenhouse,Steele Hall",25340,3711.0,40.0,487.3076923076923,766.9580232003789,100.75,171.5,486.5,52.0,,4802.0,1202.0,1200.0,1200.5,1.0,1200.0,1200.0,1200.5,4.0,
18:05:2013,78000.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,32.0,"0,0,0",8100,1311.0,51.0,253.125,247.98162653062465,91.75,166.5,309.5,32.0,,14401.0,2400.0,1200.0,1440.1,505.9118170854152,1200.0,1200.0,1200.75,10.0,
19:04:2013,4834.0,0.0,76784.0,1200.0,2398.0,1184.0,4.0,0.0,0.0,32.0,"Sudikoff Hall,Sudikoff Hall,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Hanover Park,Sudikoff Hall",25387,3793.0,50.0,497.7843137254902,650.7004015282452,136.0,222.0,620.0,51.0,,3637.0,1232.0,1200.0,1212.3333333333333,17.214335111567145,1202.5,1205.0,1218.5,3.0,
19:05:2013,4800.0,0.0,85059.0,0.0,0.0,0.0,-1.0,0.0,0.0,32.0,"0,0,Sudikoff Hall,Sudikoff Hall",11547,2703.0,50.0,256.6,434.7785956929426,71.0,111.0,262.0,45.0,,166980.0,83859.0,83121.0,83490.0,521.8448045156721,83305.5,83490.0,83674.5,2.0,
20:04:2013,3600.0,0.0,54000.0,35768.0,0.0,0.0,5.0,0.0,0.0,32.0,"Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,North Main Street",21480,5134.0,61.0,596.6666666666666,862.3825137373786,218.75,399.5,644.5,36.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
20:05:2013,0.0,75600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,"0,Stop & Shop,0",10863,1140.0,31.0,285.8684210526316,278.0283060693964,90.25,186.0,413.75,38.0,,,,,,,,,,,
21:04:2013,49432.0,0.0,36000.0,0.0,0.0,0.0,-1.0,0.0,0.0,32.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",14947,2180.0,40.0,415.19444444444446,489.7850735312055,98.5,282.0,481.75,36.0,,8400.0,2400.0,1200.0,1680.0,657.2670690061993,1200.0,1200.0,2400.0,5.0,
22:04:2013,9600.0,0.0,66000.0,1200.0,3600.0,0.0,0.0,0.0,0.0,32.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,F Lot Parking",31811,4337.0,60.0,589.0925925925926,890.5591050383667,123.5,259.0,623.0,54.0,,5958.0,1235.0,1154.0,1191.6,31.421330334662787,1169.0,1200.0,1200.0,5.0,
22:05:2013,48001.0,26509.0,13199.0,0.0,0.0,1091.0,2.0,0.0,0.0,32.0,"0,Sudikoff Hall,La Casa,Wilder Hall,Wilder Hall,Nugget Arcade,Hanover Park,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,Hanover Post Office,0,Sudikoff Hall",23614,2833.0,50.0,454.11538461538464,545.9261838289543,113.5,282.5,602.5,52.0,,7200.0,2400.0,1200.0,1440.0,536.6563145999495,1200.0,1200.0,1200.0,5.0,
23:04:2013,1201.0,0.0,95998.0,1200.0,2401.0,1200.0,1.0,0.0,0.0,32.0,"Hopkins Center for the Arts,Webster Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hanover Park,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",33418,4388.0,60.0,903.1891891891892,1011.1949706998986,181.0,545.0,1099.0,37.0,,3565.0,1206.0,1165.0,1188.3333333333333,21.07921567168317,1179.5,1194.0,1200.0,3.0,
23:05:2013,19840.0,0.0,64800.0,0.0,0.0,0.0,3.0,0.0,0.0,32.0,"0,Sudikoff Hall",9801,3892.0,70.0,612.5625,986.2155929781952,141.0,211.5,448.5,16.0,,4682.0,1200.0,1082.0,1170.5,59.0,1170.5,1200.0,1200.0,4.0,
24:04:2013,82800.0,0.0,0.0,3600.0,0.0,8400.0,2.0,0.0,0.0,32.0,"0,Hanover Park,0,Lot 6,Lot 6,0",8663,3541.0,50.0,376.6521739130435,713.8308692410429,106.0,212.0,267.0,23.0,,8400.0,4800.0,1200.0,2100.0,1800.0,1200.0,1200.0,2100.0,4.0,
24:05:2013,8400.0,0.0,98823.0,0.0,0.0,0.0,4.0,0.0,0.0,32.0,"0,Wilder Hall,Sudikoff Hall",807,807.0,807.0,807.0,,807.0,807.0,807.0,1.0,,1200.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,2.0,
25:04:2013,2400.0,0.0,61200.0,0.0,0.0,0.0,3.0,0.0,0.0,32.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",32870,3236.0,40.0,538.8524590163935,609.7054708645691,131.0,313.0,747.0,61.0,,2405.0,1205.0,1200.0,1202.5,3.5355339059327378,1201.25,1202.5,1203.75,2.0,
25:05:2013,6600.0,0.0,131108.0,3000.0,0.0,0.0,5.0,0.0,0.0,32.0,"Sudikoff Hall,0,North Main Street,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",18129,2149.0,41.0,453.225,470.4339779013656,128.5,247.5,560.0,40.0,,30001.0,13205.0,600.0,3750.125,4987.168404658957,1050.0,1200.0,3899.0,8.0,
26:04:2013,79200.0,0.0,24095.0,3505.0,0.0,0.0,4.0,0.0,0.0,32.0,"0,Wilder Hall,Wilder Hall,Sudikoff Hall,North Main Street,Sudikoff Hall,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,Sudikoff Hall,North Main Street,0",8884,2411.0,70.0,444.2,552.7763990696609,153.5,232.0,531.75,20.0,,5955.0,1200.0,1155.0,1191.0,20.12461179749811,1200.0,1200.0,1200.0,5.0,
26:05:2013,251455.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,32.0,0,3106,767.0,101.0,388.25,241.2697068190937,196.0,348.0,557.0,8.0,,1200.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,2.0,
27:04:2013,0.0,0.0,0.0,4801.0,0.0,79199.0,5.0,0.0,0.0,32.0,"North Main Street,South Block Parking Garage,Hanover Park,Hanover Park",3762,1009.0,40.0,179.14285714285714,207.6016102332267,81.0,121.0,192.0,21.0,,9601.0,4800.0,1195.0,1920.2,1609.861857427525,1200.0,1200.0,1206.0,5.0,
28:03:2013,33600.0,0.0,15594.0,34800.0,0.0,0.0,3.0,0.0,0.0,32.0,"Sudikoff Hall,Sudikoff Hall,0,0,0,0,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,0,North Main Street,0,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,North Main Street,0,North Main Street,0,0,North Main Street,North Main Street,0,0,0,Sudikoff Hall",26243,3643.0,50.0,452.4655172413793,704.104587912835,123.5,192.0,370.5,58.0,2.0,19099.0,4805.0,1197.0,1736.2727272727273,1116.1973921228353,1200.0,1200.0,1745.5,11.0,
28:04:2013,4801.0,0.0,38400.0,33600.0,0.0,0.0,-1.0,0.0,0.0,32.0,"North Main Street,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",19333,3773.0,70.0,604.15625,750.5560136572731,118.5,308.0,905.5,32.0,,4811.0,1206.0,1200.0,1202.75,3.2015621187164243,1200.0,1202.5,1205.25,4.0,
29:03:2013,38127.0,2400.0,32673.0,13198.0,0.0,0.0,4.0,0.0,0.0,32.0,"Sudikoff Hall,Sudikoff Hall,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,0,0,0,Class of 1978 Life Sciences Center,Sudikoff Hall,Byrne II Hall",38166,6254.0,31.0,471.1851851851852,882.8972068014359,121.0,232.0,403.0,81.0,2.0,17675.0,3598.0,1126.0,1606.8181818181818,790.8089299169325,1199.5,1205.0,1669.0,11.0,4.0
29:04:2013,27563.0,0.0,46802.0,0.0,3636.0,0.0,0.0,0.0,0.0,32.0,"Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts",17713,1664.0,30.0,402.5681818181818,436.51055011237474,118.5,242.0,464.75,44.0,,4801.0,1202.0,1198.0,1200.25,1.707825127659933,1199.5,1200.5,1201.25,4.0,
29:05:2013,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,32.0,Life Sciences Greenhouse,1130,1130.0,1130.0,1130.0,,1130.0,1130.0,1130.0,1.0,,,,,,,,,,,
