,recreational_activities,school_time,working,home_time,shopping,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
06:04:2013,0.0,0.0,0.0,0.0,0.0,0.0,223435.0,5.0,0.0,0.0,58.0,"Terminal A,Terminal A,Terminal A Satellite,Terminal A Satellite",6477,1210.0,41.0,281.60869565217394,262.4767936288385,126.0,191.0,352.5,23.0,1.0,,,,,,,,,,1.0
06:05:2013,4190.0,22626.0,51789.0,4804.0,0.0,0.0,588.0,0.0,0.0,0.0,58.0,"Alpha Theta,Black Family Visual Arts Center,Black Family Visual Arts Center,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Alpha Theta,Alpha Theta,Peaceful Serenity,Native American House,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Native American House,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sigma Alpha Epsilon Fraternity,Phi Tau,Phi Tau,Alpha Theta,Phi Tau,Dartmouth College,Alpha Theta,Phi Tau,Phi Tau",11801,1825.0,60.0,590.05,569.9169353141691,123.5,353.5,1097.5,20.0,0.0,11376.0,1205.0,595.0,669.1764705882352,189.66392490867815,600.0,603.0,605.0,17.0,3.0
08:04:2013,8357.0,0.0,0.0,0.0,0.0,2337.0,48087.0,0.0,0.0,0.0,58.0,"Arby's,National / Alamo,Detroit Metropolitan Airport,Level 2 Gates,Level 2 Gates,A Concourse",14974,4478.0,50.0,440.4117647058824,937.7040018091596,80.25,165.5,352.75,34.0,1.0,,,,,,,,,,1.0
08:05:2013,9601.0,18591.0,27516.0,15665.0,0.0,5387.0,9707.0,2.0,0.0,0.0,58.0,"Collis Student Center,0,Phi Tau,0,Phi Tau,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Post Office Northbound,Hanover Post Office Northbound,Dartmouth College,Phi Tau,Phi Tau,Alpha Theta,0,Dartmouth College,Phi Tau,Dartmouth College,Dartmouth College,Phi Tau,Dartmouth College,0,Phi Tau,Alpha Theta,Alpha Theta,Peaceful Serenity,Peaceful Serenity,Native American House,Peaceful Serenity,Native American House,Peaceful Serenity,Alpha Theta,Native American House,Native American House,Peaceful Serenity,Alpha Theta,Peaceful Serenity,Native American House,Native American House,Alpha Theta,Native American House,Native American House,Peaceful Serenity,Peaceful Serenity,Native American House,Peaceful Serenity,Native American House,Peaceful Serenity,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Native American House,Alpha Theta",16343,3450.0,50.0,398.609756097561,562.7231058899563,141.0,232.0,545.0,41.0,1.0,11381.0,1131.0,476.0,632.2777777777778,135.4342929704966,595.75,604.0,610.5,18.0,1.0
09:04:2013,0.0,9548.0,47996.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,58.0,"Alpha Theta,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall",23873,4739.0,61.0,852.6071428571429,1104.641967781474,143.5,428.0,1015.5,28.0,1.0,14551.0,1316.0,1087.0,1212.5833333333333,64.71680733407011,1194.25,1201.5,1253.0,12.0,4.0
09:05:2013,3116.0,29901.0,36047.0,1719.0,0.0,4800.0,11320.0,3.0,0.0,0.0,58.0,"Native American House,Native American House,Alpha Theta,Alpha Theta,Lot 3,Lot 3,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Baker Memorial Library,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Casque & Gauntlet Senior Society,Native American House,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Dartmouth College,Peaceful Serenity,Alpha Theta,Native American House,Native American House,Alpha Theta,Alpha Theta,Native American House,Peaceful Serenity,Native American House,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Native American House,Peaceful Serenity,Alpha Theta,Alpha Theta,Peaceful Serenity,Alpha Theta,Native American House,Peaceful Serenity,Alpha Theta,Alpha Theta,Peaceful Serenity,Peaceful Serenity,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Peaceful Serenity,Alpha Theta,Native American House,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,Alpha Theta,Native American House,Native American House,Peaceful Serenity,Alpha Theta",24978,5435.0,50.0,1040.75,1534.5224225202417,118.25,292.5,1163.25,24.0,2.0,8626.0,1204.0,512.0,663.5384615384615,171.7962045489827,595.0,605.0,671.0,13.0,4.0
10:04:2013,2403.0,17945.0,57712.0,7196.0,0.0,0.0,0.0,2.0,0.0,0.0,58.0,"Alpha Theta,Dartmouth College,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta",32292,5415.0,71.0,787.609756097561,1069.5093005217109,182.0,393.0,877.0,41.0,2.0,9822.0,1310.0,1196.0,1227.75,50.83235752381126,1199.0,1201.5,1231.25,8.0,1.0
10:05:2013,0.0,50678.0,27346.0,5271.0,0.0,1192.0,3009.0,4.0,0.0,0.0,58.0,"0,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Peaceful Serenity,Peaceful Serenity,Alpha Theta,Peaceful Serenity,Alpha Theta,Native American House,Alpha Theta,Native American House,Native American House,Native American House,Alpha Theta,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Alpha Theta,Native American House,Native American House,Dartmouth College,Sanborn House,0,Phi Tau,Phi Tau,0,Phi Tau",13478,2570.0,30.0,434.7741935483871,598.2340517265472,121.0,232.0,408.0,31.0,,7827.0,702.0,540.0,602.0769230769231,35.854942798405396,600.0,604.0,605.0,13.0,
11:04:2013,2513.0,23887.0,53078.0,4691.0,0.0,0.0,3431.0,3.0,0.0,0.0,58.0,"Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Alumni Gymnasium,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Coldwell Banker,Coldwell Banker,Alpha Theta,Alpha Theta,Collis Student Center,Bartlett Hall,Alpha Theta,Class of 1978 Life Sciences Center",26751,3782.0,41.0,955.3928571428572,1131.430243321543,177.75,494.5,1096.75,28.0,1.0,18039.0,1311.0,1089.0,1202.6,52.72137002338669,1201.0,1201.0,1224.5,15.0,4.0
11:05:2013,3600.0,17463.0,5933.0,48371.0,0.0,14464.0,0.0,5.0,0.0,0.0,58.0,"Phi Tau,Phi Tau,Phi Tau,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Alpha Theta,Alpha Theta,Sudikoff Hall,Alpha Theta,Alpha Theta,Native American House,Native American House,Alpha Theta,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Hood Museum of Art,Hopkins Center for the Arts,0,Dartmouth College",26376,4303.0,60.0,561.1914893617021,758.3171482416171,141.0,251.0,731.0,47.0,,51881.0,26793.0,596.0,5188.1,8633.2473155303,599.5,601.0,7351.5,10.0,
12:04:2013,2400.0,7200.0,64796.0,24000.0,0.0,0.0,0.0,4.0,0.0,0.0,58.0,"Class of 1978 Life Sciences Center,Alpha Theta,Alpha Theta,Wheeler Hall,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College",22814,3569.0,60.0,600.3684210526316,700.8033005079565,123.5,463.0,821.75,38.0,1.0,8471.0,1282.0,1105.0,1210.142857142857,59.84265081981961,1198.0,1204.0,1242.0,7.0,1.0
12:05:2013,1799.0,10433.0,57985.0,1200.0,0.0,0.0,10786.0,-1.0,0.0,0.0,58.0,"0,Caring Family Dentistry,Caring Family Dentistry,Alpha Theta,Native American House,Peaceful Serenity,Alpha Theta,Alpha Theta,Peaceful Serenity,Peaceful Serenity,Alpha Theta,Alpha Theta,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Peaceful Serenity,Native American House,Dartmouth College,Alpha Theta,Alpha Theta,Collis Student Center",22119,6181.0,40.0,670.2727272727273,1242.790440720178,90.0,161.0,634.0,33.0,,5209.0,609.0,490.0,578.7777777777778,39.02171759987564,568.0,599.0,600.0,9.0,
13:04:2013,6003.0,2475.0,222324.0,2402.0,0.0,0.0,0.0,5.0,0.0,0.0,58.0,"Alpha Theta,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Alpha Theta,Black Family Visual Arts Center,Black Family Visual Arts Center,Dartmouth College,Alpha Theta",31440,6851.0,50.0,982.5,1557.9614057913898,106.0,292.0,1139.25,32.0,1.0,180344.0,107174.0,2413.0,45086.0,51275.99396078702,3282.25,35378.5,77182.25,4.0,1.0
13:05:2013,1201.0,17989.0,65299.0,1202.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,"Collis Student Center,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Collis Student Center,Hopkins Center for the Arts,Alpha Theta,Alpha Theta",29266,7884.0,50.0,680.6046511627907,1298.1478039615645,161.5,302.0,529.0,43.0,,8895.0,1809.0,538.0,741.25,379.6774049350077,593.75,601.5,603.25,12.0,
14:05:2013,4200.0,12050.0,71401.0,3655.0,0.0,0.0,604.0,1.0,0.0,0.0,58.0,"Class of 1953 Commons,Class of 1953 Commons,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Class of 1953 Commons,Class of 1953 Commons,Haldeman Center,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,0,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Collis Student Center,Alpha Theta",18475,3237.0,60.0,615.8333333333334,746.4397836227064,138.5,327.5,681.0,30.0,1.0,31106.0,22101.0,585.0,2592.1666666666665,6182.720360861072,596.75,603.0,604.0,12.0,1.0
15:04:2013,0.0,0.0,7198.0,6002.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,"Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta",17236,4335.0,41.0,556.0,1032.5104680663856,95.5,151.0,348.0,31.0,1.0,8416.0,1247.0,1178.0,1202.2857142857142,21.990257583107766,1191.5,1200.0,1204.0,7.0,2.0
15:05:2013,1081.0,4196.0,84162.0,1315.0,0.0,0.0,0.0,2.0,0.0,0.0,58.0,"Alpha Theta,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Alpha Theta,Alpha Theta,Collis Student Center,Collis Student Center,Dartmouth College,Alpha Theta",19914,3237.0,60.0,452.59090909090907,689.7134328475248,87.5,156.0,481.5,44.0,1.0,4140.0,706.0,498.0,591.4285714285714,63.11855813429502,563.0,602.0,604.0,7.0,1.0
16:04:2013,9612.0,7191.0,66001.0,3596.0,0.0,0.0,0.0,1.0,0.0,0.0,58.0,"Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,Class of 1953 Commons,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall",24164,9356.0,40.0,690.4,1581.033805494888,120.5,272.0,549.0,35.0,1.0,8367.0,1266.0,1139.0,1195.2857142857142,43.0879499230519,1174.0,1204.0,1205.0,7.0,2.0
16:05:2013,0.0,11801.0,11878.0,4821.0,0.0,48003.0,0.0,3.0,0.0,0.0,58.0,"Alpha Theta,Dartmouth College,Dartmouth College,Webster Hall,Dartmouth College,0,Alpha Theta,Dartmouth College,Alpha Theta,Alpha Theta,Phi Tau,Phi Tau,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta,Phi Tau,Phi Tau,Phi Tau,Phi Tau",27582,3236.0,60.0,811.2352941176471,900.1528846180934,202.0,378.0,1061.0,34.0,1.0,11976.0,1200.0,475.0,630.3157894736842,147.24471415963703,597.0,603.0,603.5,19.0,1.0
17:04:2013,0.0,12004.0,74397.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,58.0,"Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta",20470,3509.0,50.0,476.04651162790697,648.7225525339111,111.0,212.0,564.5,43.0,1.0,7159.0,1205.0,1139.0,1193.1666666666667,26.581321762972337,1201.75,1204.5,1205.0,6.0,2.0
17:05:2013,0.0,9000.0,20407.0,56151.0,0.0,1200.0,0.0,4.0,0.0,0.0,58.0,"Alpha Theta,0,Dartmouth College,Collis Student Center,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Bones Gate,Bones Gate,Dartmouth College,Alpha Theta,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Alpha Theta,Sanborn House,Dartmouth College,Dartmouth College,Alpha Theta",26444,5063.0,60.0,1202.0,1481.129266729243,186.0,564.0,1630.75,22.0,1.0,16818.0,2950.0,498.0,885.1578947368421,634.1188342151909,600.0,601.0,665.0,19.0,1.0
18:04:2013,0.0,16800.0,57661.0,7196.0,0.0,3544.0,0.0,3.0,0.0,0.0,58.0,"Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse",17282,4498.0,60.0,595.9310344827586,982.7971717440874,101.0,222.0,475.0,29.0,1.0,9724.0,1319.0,1197.0,1215.5,41.88078318274385,1199.75,1201.0,1203.25,8.0,1.0
18:05:2013,7269.0,4088.0,29833.0,0.0,0.0,56617.0,1790.0,5.0,0.0,0.0,58.0,"Alpha Theta,Starbucks,Starbucks,0,Starbucks,Alpha Theta,Alpha Theta,Dartmouth Hall,Dartmouth Hall,Alpha Theta,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,0,Alpha Theta,Alpha Theta,0,Alpha Theta,Alpha Theta,Left Bank Books,Hanover Post Office Northbound,Nugget Arcade,Alpha Theta,0",30248,7832.0,61.0,817.5135135135135,1445.010488651315,162.0,433.0,696.0,37.0,1.0,56034.0,27489.0,600.0,11206.8,14260.121973531644,600.0,1200.0,26145.0,5.0,1.0
19:04:2013,6000.0,7204.0,43945.0,3644.0,0.0,1204.0,24000.0,4.0,0.0,0.0,58.0,"Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Sudikoff Hall,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Alumni Gymnasium,Alumni Gymnasium,Alpha Theta,Alpha Theta,Peaceful Serenity,Peaceful Serenity,Alpha Theta,Life Sciences Greenhouse,0,Alpha Theta,Alpha Theta",28974,5062.0,60.0,1034.7857142857142,1336.871676080722,105.25,423.5,1446.5,28.0,,16765.0,8401.0,1090.0,2395.0,2686.3919421161663,1185.0,1200.0,1852.0,7.0,
19:05:2013,1800.0,3663.0,64492.0,3537.0,0.0,9000.0,0.0,-1.0,0.0,0.0,58.0,"0,0,Alpha Theta,Dartmouth College,0,0,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Dartmouth College,0,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta,Alpha Theta,Hopkins Center for the Arts,Alpha Theta",17314,2289.0,51.0,692.56,747.3913566532598,181.0,292.0,1018.0,25.0,1.0,6715.0,662.0,595.0,610.4545454545455,23.0189645134773,600.0,601.0,603.5,11.0,1.5
20:04:2013,25030.0,10908.0,4807.0,29937.0,10748.0,0.0,6170.0,5.0,0.0,0.0,58.0,"Dartmouth College,Phi Tau,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Native American House,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Lui Lui,Lui Lui,0,0,Roberts Flowers of Hanover,0,The Dowds' Country Inn & Event Center,The Dowds' Country Inn & Event Center,Mountainside Chiropractic",32508,6172.0,60.0,1250.3076923076924,1667.7944422315545,153.75,307.5,1837.25,26.0,1.0,55956.0,24233.0,1733.0,13989.0,10756.610618591712,6650.0,14995.0,22334.0,4.0,2.0
20:05:2013,1800.0,44401.0,33143.0,598.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,"Alpha Theta,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Collis Student Center,Alpha Theta,Alpha Theta,Sudikoff Hall",25536,6058.0,61.0,798.0,1146.2208310567328,183.5,534.0,867.0,32.0,1.0,4807.0,1200.0,597.0,686.7142857142857,226.34760457146015,601.0,602.0,603.0,7.0,1.0
21:04:2013,0.0,22431.0,44574.0,0.0,0.0,2400.0,15427.0,-1.0,0.0,0.0,58.0,"0,Alpha Theta,Alpha Theta,Carson Hall,Carson Hall,Alpha Theta,Alpha Theta,Peaceful Serenity,Native American House,Native American House,Alpha Theta,Alpha Theta,Peaceful Serenity,Alpha Theta,Alpha Theta",23685,9962.0,50.0,1127.857142857143,2312.5545028326205,223.0,414.0,584.0,21.0,1.0,14800.0,3601.0,1155.0,1644.4444444444443,827.9159243412207,1200.0,1315.0,1318.0,9.0,2.0
22:04:2013,9651.0,32181.0,17024.0,29940.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,"Dartmouth College,Dartmouth College,Carson Hall,Carson Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Berry Library,Berry Library,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Native American House,Alpha Theta,Native American House,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall",21112,3367.0,61.0,781.925925925926,947.81310742661,141.0,252.0,1084.0,27.0,,19548.0,2514.0,1199.0,1629.0,580.9595510876811,1202.75,1290.0,2355.75,12.0,
22:05:2013,10800.0,23093.0,3056.0,39596.0,0.0,0.0,0.0,2.0,0.0,0.0,58.0,"Alpha Theta,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Inn Dartmouth,Hanover Inn Dartmouth,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",22736,3549.0,60.0,582.974358974359,762.4612669085313,156.0,333.0,569.5,39.0,,6149.0,719.0,599.0,614.9,36.73765854753887,602.0,603.0,604.5,10.0,
23:04:2013,5947.0,8240.0,225927.0,3659.0,0.0,0.0,0.0,1.0,0.0,0.0,58.0,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Class of 1953 Commons,Class of 1953 Commons,Alumni Gymnasium,Alumni Gymnasium,Native American House,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Collis Student Center,Alpha Theta",20272,5817.0,60.0,653.9354838709677,1174.091022464723,161.0,262.0,448.5,31.0,0.0,91312.0,90112.0,1200.0,45656.0,62870.278128858314,23428.0,45656.0,67884.0,2.0,3.0
