,home_time,school_time,travel_time,recreational_activities,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
06:04:2013,90477.0,8400.0,0.0,0.0,0.0,5.0,0.0,0.0,54.0,"Sudikoff Hall,Anonymous Hall,0",11255,3047.0,51.0,375.1666666666667,570.9406082605437,122.25,156.5,393.75,30.0,1.0,7239.0,1252.0,1193.0,1206.5,22.438805672316875,1197.0,1198.5,1200.0,6.0,2.0
06:05:2013,73498.0,6001.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,"0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall",11062,4115.0,30.0,614.5555555555555,1096.7550116391335,126.0,277.5,350.5,18.0,,1086.0,1086.0,1086.0,1086.0,,1086.0,1086.0,1086.0,1.0,
07:04:2013,74400.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,54.0,"0,0,0,0,0",31208,7980.0,50.0,678.4347826086956,1404.400934399099,113.5,186.5,541.75,46.0,,5890.0,1200.0,1091.0,1178.0,48.63640611722869,1199.0,1200.0,1200.0,5.0,
08:04:2013,62400.0,33600.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,"0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",34401,3885.0,81.0,860.025,1161.7240611396362,139.25,282.5,817.5,40.0,,1634.0,1193.0,441.0,817.0,531.7442994522837,629.0,817.0,1005.0,2.0,
08:05:2013,70143.0,30000.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,"0,Sudikoff Hall,Sudikoff Hall,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",18116,3906.0,41.0,953.4736842105264,1129.9178125677524,101.0,373.0,1901.0,19.0,1.0,1996.0,1200.0,796.0,998.0,285.6711395993652,897.0,998.0,1099.0,2.0,1.0
09:04:2013,50400.0,37200.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,"Sudikoff Hall,Anonymous Hall,0,0,0,0,Sudikoff Hall,Sudikoff Hall",12009,3590.0,60.0,667.1666666666666,922.59801009719,70.25,246.5,1109.5,18.0,1.0,1175.0,1175.0,1175.0,1175.0,,1175.0,1175.0,1175.0,1.0,1.0
09:05:2013,84000.0,8400.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,0,0",8888,1433.0,60.0,317.42857142857144,333.89623899154424,111.0,181.5,345.5,28.0,1.0,2507.0,1200.0,172.0,835.6666666666666,575.6703339006912,653.5,1135.0,1167.5,3.0,1.0
10:04:2013,50400.0,8401.0,3600.0,0.0,0.0,2.0,0.0,0.0,54.0,"Sudikoff Hall,0,0,0,0,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",22952,4047.0,50.0,740.3870967741935,1104.6576748000366,116.0,322.0,680.5,31.0,,4600.0,1180.0,147.0,920.0,433.8473233754013,1086.0,1092.0,1095.0,5.0,
10:05:2013,172801.0,0.0,0.0,6000.0,0.0,4.0,0.0,0.0,54.0,"0,Black Family Visual Arts Center,Black Family Visual Arts Center,0",17480,4711.0,51.0,460.0,776.2237069577579,143.75,201.5,517.25,38.0,,10305.0,2370.0,1059.0,1288.125,439.7617658622515,1110.5,1136.5,1196.25,8.0,
11:04:2013,41927.0,45014.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",7595,3027.0,31.0,506.3333333333333,733.9732056871467,156.0,262.0,565.0,15.0,,9663.0,2457.0,1112.0,1610.5,630.7515358681261,1211.75,1253.0,2105.75,6.0,
12:04:2013,135529.0,30059.0,0.0,0.0,1241.0,4.0,0.0,0.0,54.0,"Dick's House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",11236,4084.0,71.0,802.5714285714286,1184.7189679274293,134.25,332.5,855.25,14.0,,4909.0,1312.0,1117.0,1227.25,87.92184029011221,1177.75,1240.0,1289.5,4.0,
12:05:2013,305999.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,54.0,"0,0,0,0,0",17078,2783.0,61.0,397.1627906976744,606.0759786659062,131.0,172.0,325.5,43.0,,1195.0,1195.0,1195.0,1195.0,,1195.0,1195.0,1195.0,1.0,
13:04:2013,7200.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,54.0,"0,0",15903,2178.0,40.0,429.8108108108109,504.8455120044061,111.0,202.0,464.0,37.0,1.0,5691.0,1200.0,1084.0,1138.2,41.55357986984996,1131.0,1131.0,1145.0,5.0,
14:04:2013,90576.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,54.0,"0,0",10781,1311.0,50.0,299.47222222222223,319.6423435306683,81.0,156.5,358.25,36.0,,5359.0,1174.0,797.0,1071.8,155.54002700269794,1113.0,1122.0,1153.0,5.0,1.0
15:04:2013,84000.0,4800.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,"0,0,0,0,Sudikoff Hall,Sudikoff Hall,0",12545,3791.0,41.0,570.2272727272727,887.3183748060209,141.0,267.0,504.75,22.0,1.0,5764.0,1200.0,1089.0,1152.8,48.83339021612159,1121.0,1154.0,1200.0,5.0,2.0
15:05:2013,36001.0,5999.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,"0,Thornton Hall,0,Sudikoff Hall,Sudikoff Hall,0",15655,2756.0,60.0,823.9473684210526,834.907078907202,172.0,282.0,1523.0,19.0,1.0,4454.0,1137.0,1083.0,1113.5,26.80174123696693,1095.0,1117.0,1135.5,4.0,1.0
16:04:2013,69485.0,9715.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,"0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall",3711,888.0,50.0,206.16666666666663,201.6097715885815,103.25,136.0,218.75,18.0,1.0,1083.0,1083.0,1083.0,1083.0,,1083.0,1083.0,1083.0,1.0,1.5
16:05:2013,258327.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,"0,0,0,0",12623,2027.0,60.0,280.5111111111111,394.5433852294102,101.0,131.0,172.0,45.0,1.0,9236.0,1200.0,1088.0,1154.5,35.552777669262355,1143.75,1152.0,1171.75,8.0,2.5
17:04:2013,19199.0,83415.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,"Sudikoff Hall,0",6647,3106.0,61.0,830.875,1174.3469233699943,88.5,161.5,1139.25,8.0,,,,,,,,,,,
18:04:2013,63600.0,6000.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse",8439,2005.0,40.0,421.95,491.51296765031645,178.5,252.0,434.0,20.0,,4512.0,1175.0,1086.0,1128.0,48.13176359397884,1086.75,1125.5,1166.75,4.0,
19:04:2013,60002.0,22801.0,1200.0,2398.0,0.0,4.0,0.0,0.0,54.0,"Sudikoff Hall,Sudikoff Hall,0,0,Alumni Gymnasium,Alumni Gymnasium,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Maynard Parking Lot",23082,5628.0,40.0,854.8888888888889,1291.9520214160532,126.5,282.0,1018.0,27.0,1.0,10762.0,1447.0,1098.0,1195.7777777777778,102.19317220071233,1168.0,1174.0,1200.0,9.0,1.0
19:05:2013,70529.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,54.0,"0,0,0",1028,504.0,70.0,171.33333333333334,166.1874443713082,78.25,115.5,146.75,6.0,,1197.0,1197.0,1197.0,1197.0,,1197.0,1197.0,1197.0,1.0,
20:04:2013,160800.0,14400.0,0.0,0.0,3599.0,5.0,0.0,0.0,54.0,"Dick's House,Dick's House,Sudikoff Hall,Sudikoff Hall,0",22421,3028.0,60.0,431.1730769230769,495.7199051470239,138.5,267.0,501.75,52.0,,54416.0,54416.0,54416.0,54416.0,,54416.0,54416.0,54416.0,1.0,
20:05:2013,67202.0,19201.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,"0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",21275,4096.0,70.0,607.8571428571429,836.460545212671,131.5,272.0,726.5,35.0,1.0,5770.0,1202.0,1082.0,1154.0,50.24440267333268,1139.0,1145.0,1202.0,5.0,1.0
22:04:2013,80400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,"0,0,0,0,0,0,0,0,0",8300,1483.0,30.0,436.8421052631579,410.6280099714332,146.0,292.0,545.0,19.0,,9490.0,1202.0,1119.0,1186.25,28.902545612058866,1190.75,1199.5,1200.25,8.0,1.0
22:05:2013,2400.0,14400.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",13322,3874.0,50.0,555.0833333333334,920.5244212648176,108.5,201.5,423.75,24.0,1.0,3601.0,1201.0,1200.0,1200.3333333333333,0.5773502691896258,1200.0,1200.0,1200.5,3.0,1.0
23:04:2013,88800.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,"0,0,0",11439,1857.0,50.0,336.44117647058823,371.24101386340857,106.0,256.5,386.25,34.0,2.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,4.0
23:05:2013,251963.0,9599.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,0",7697,2894.0,70.0,513.1333333333333,727.6029987634216,151.5,243.0,489.5,15.0,,,,,,,,,,,
24:04:2013,73199.0,10801.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,"0,Berry Hall,Sudikoff Hall,0,0",17758,2300.0,70.0,612.3448275862069,733.0838129759043,111.0,202.0,494.0,29.0,,1134.0,1134.0,1134.0,1134.0,,1134.0,1134.0,1134.0,1.0,
25:04:2013,63603.0,20398.0,2399.0,0.0,0.0,3.0,0.0,0.0,54.0,"0,Maynard Parking Lot,Maynard Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,0,0,0,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",20953,3209.0,60.0,634.939393939394,671.5565379862824,213.0,343.0,817.0,33.0,1.0,,,,,,,,,,1.0
26:04:2013,70800.0,16802.0,0.0,0.0,0.0,4.0,0.0,0.0,54.0,"Sudikoff Hall,Sudikoff Hall,0,0,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Berry Hall,Sudikoff Hall,Dartmouth College",22878,8122.0,30.0,586.6153846153846,1310.360730072059,116.0,262.0,464.0,39.0,,2396.0,1200.0,1196.0,1198.0,2.8284271247461903,1197.0,1198.0,1199.0,2.0,
26:05:2013,242402.0,0.0,1198.0,0.0,0.0,-1.0,0.0,0.0,54.0,"0,0,0",17843,2411.0,50.0,557.59375,732.5263337499183,80.0,206.0,662.75,32.0,,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,
27:03:2013,0.0,55861.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,Sudikoff Hall,12846,4691.0,50.0,676.1052631578947,1099.8653399766135,151.0,182.0,766.5,19.0,1.0,7873.0,4805.0,1200.0,2624.3333333333335,1917.8207250244568,1534.0,1868.0,3336.5,3.0,
27:04:2013,85198.0,19200.0,0.0,0.0,0.0,5.0,0.0,0.0,54.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,0,0,0",17853,3097.0,60.0,595.1,723.5676623985939,156.75,343.0,559.75,30.0,,24430.0,10189.0,1129.0,3490.0,3252.174759551932,1213.0,2402.0,4142.0,7.0,
28:03:2013,67201.0,9599.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",18962,9090.0,81.0,1185.125,2181.613863633984,205.75,590.5,1187.0,16.0,1.0,7085.0,1201.0,1116.0,1180.8333333333333,32.81107536589843,1182.5,1193.5,1200.0,6.0,1.0
28:04:2013,145200.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,54.0,"0,0",16339,1936.0,50.0,453.8611111111111,465.573265848691,101.0,231.5,769.25,36.0,,7046.0,2356.0,1092.0,1409.2,531.3145960727975,1198.0,1200.0,1200.0,5.0,
28:05:2013,1200.0,7200.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",13556,5880.0,80.0,1042.7692307692307,1648.349485285516,242.0,343.0,747.0,13.0,,5014.0,1200.0,459.0,1002.8,306.2347139042208,1101.0,1124.0,1130.0,5.0,
29:03:2013,76800.0,22800.0,0.0,0.0,0.0,4.0,0.0,0.0,54.0,"0,0,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",30885,8748.0,71.0,1625.5263157894738,2238.208121799943,121.0,534.0,2329.5,19.0,1.0,7203.0,1203.0,1195.0,1200.5,3.0166206257996713,1200.0,1201.0,1202.75,6.0,1.0
29:04:2013,97264.0,4736.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,"0,Sudikoff Hall,Sudikoff Hall,0,0",7000,4358.0,60.0,636.3636363636364,1250.2832697214876,90.5,312.0,464.0,11.0,1.0,3697.0,1296.0,1200.0,1232.3333333333333,55.139217743211894,1200.5,1201.0,1248.5,3.0,1.5
29:05:2013,74399.0,9527.0,0.0,0.0,0.0,2.0,0.0,0.0,54.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",9944,3884.0,40.0,368.2962962962963,742.3020230656073,81.0,112.0,338.0,27.0,,14461.0,3484.0,1125.0,1606.7777777777778,815.5520795414874,1200.0,1214.0,1312.0,9.0,
30:03:2013,70800.0,2400.0,0.0,0.0,0.0,5.0,0.0,0.0,54.0,"Sudikoff Hall,0,0,Dartmouth College,Dartmouth College,Dartmouth College,0",26919,4205.0,40.0,672.975,1092.662954754259,131.75,287.0,588.25,40.0,1.0,58799.0,52795.0,1197.0,9799.833333333334,21063.244056096075,1200.5,1202.0,1202.75,6.0,1.5
30:05:2013,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,54.0,0,13015,908.0,51.0,282.9347826086956,246.3146499160881,113.5,161.0,421.25,46.0,,15730.0,2450.0,1090.0,1310.8333333333333,363.226659347309,1170.5,1217.5,1261.0,12.0,
31:03:2013,118800.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,54.0,"0,0,0",41300,8268.0,50.0,2429.4117647058824,2738.6610793146606,101.0,1604.0,4055.0,17.0,,55205.0,55205.0,55205.0,55205.0,,55205.0,55205.0,55205.0,1.0,
21:04:2013,,,,,,,,,,,27685,2764.0,51.0,553.7,674.0647413343944,153.5,292.0,557.5,50.0,1.0,65432.0,59521.0,1115.0,13086.4,25963.213395109626,1193.0,1203.0,2400.0,5.0,
30:04:2013,,,,,,,,,,,8541,3077.0,60.0,569.4,823.8857236985514,151.0,182.0,665.5,15.0,1.0,9575.0,2423.0,1114.0,1367.857142857143,468.178181383765,1177.0,1199.0,1242.5,7.0,
11:05:2013,,,,,,,,,,,35016,4899.0,60.0,384.7912087912088,579.1198593360543,201.0,232.0,312.5,91.0,,2274.0,1141.0,1133.0,1137.0,5.656854249492381,1135.0,1137.0,1139.0,2.0,
13:05:2013,,,,,,,,,,,9880,1281.0,40.0,429.5652173913044,334.60815972321967,171.0,383.0,580.0,23.0,,3640.0,1200.0,55.0,910.0,570.0356713984369,903.25,1192.5,1199.25,4.0,
14:05:2013,,,,,,,,,,,4459,1161.0,51.0,318.5,327.54629737348114,66.0,232.0,375.5,14.0,,4653.0,1200.0,1120.0,1163.25,42.24827412648553,1130.5,1166.5,1199.25,4.0,
17:05:2013,,,,,,,,,,,20199,1493.0,60.0,255.68354430379748,262.93430710720025,101.0,141.0,317.5,79.0,,5833.0,1200.0,1130.0,1166.6,31.745865872582527,1150.0,1153.0,1200.0,5.0,
18:05:2013,,,,,,,,,,,6314,1523.0,191.0,789.25,600.6826473747539,323.0,504.5,1477.25,8.0,1.0,,,,,,,,,,
25:05:2013,,,,,,,,,,,5384,2350.0,91.0,489.45454545454544,647.6902598675332,186.0,252.0,453.5,11.0,,1090.0,1090.0,1090.0,1090.0,,1090.0,1090.0,1090.0,1.0,
27:05:2013,,,,,,,,,,,5752,1473.0,40.0,442.46153846153845,421.1127353778746,121.0,212.0,626.0,13.0,,3599.0,1200.0,1199.0,1199.6666666666667,0.5773502691896258,1199.5,1200.0,1200.0,3.0,
31:05:2013,,,,,,,,,,,1472,272.0,60.0,133.8181818181818,71.69075000558745,76.0,101.0,181.0,11.0,,1116.0,1116.0,1116.0,1116.0,,1116.0,1116.0,1116.0,1.0,
