,home_time,recreational_activities,school_time,travel_time,orthers,shopping,working,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
06:04:2013,44951.0,1200.0,25199.0,31204.0,0.0,0.0,0.0,5,0.0,0.0,9,"Hopkins Center for the Arts,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Thornton Hall,Dartmouth Row Parking Lot,Thornton Hall,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Class of 1953 Commons",26497,7737.0,41.0,946.3214285714286,1672.5282050120552,161.75,378.0,993.0,28.0,1.0,19200.0,13204.0,1200.0,6400.0,6160.650614991894,2998.0,4796.0,9000.0,3.0,1.0
06:05:2013,65999.0,0.0,9600.0,4201.0,0.0,0.0,0.0,0,0.0,3900.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Wheeler Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",22077,3844.0,41.0,469.7234042553192,732.3110737850136,86.0,211.0,539.0,47.0,,4628.0,602.0,470.0,578.5,45.28639026084043,587.25,597.5,600.0,8.0,
07:04:2013,10800.0,0.0,66000.0,6000.0,0.0,0.0,0.0,-1,0.0,0.0,9,"Bartlett Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Thornton Hall",33124,5177.0,70.0,871.6842105263158,1195.4576440271208,186.25,358.0,852.0,38.0,1.0,4800.0,3600.0,1200.0,2400.0,1697.056274847714,1800.0,2400.0,3000.0,2.0,1.0
08:04:2013,0.0,3601.0,25200.0,45600.0,0.0,0.0,0.0,0,0.0,3900.0,9,"Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Dartmouth Row Parking Lot,Thornton Hall,Dartmouth Row Parking Lot,Thornton Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts",25377,4257.0,40.0,563.9333333333333,897.4812836741804,121.0,241.0,575.0,45.0,1.0,4800.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,4.0,1.0
08:05:2013,70200.0,0.0,6600.0,7800.0,0.0,0.0,0.0,2,0.0,3900.0,9,"Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",32494,4106.0,50.0,649.88,829.5919488716444,161.75,353.0,722.75,50.0,1.0,1800.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,3.0,2.0
09:04:2013,46798.0,1200.0,11999.0,27602.0,0.0,0.0,0.0,1,0.0,0.0,9,"Thornton Hall,Dartmouth Row Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Thornton Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College",19809,2626.0,40.0,582.6176470588235,590.5602894173636,151.25,438.5,815.5,34.0,1.0,1201.0,1201.0,1201.0,1201.0,,1201.0,1201.0,1201.0,1.0,1.0
09:05:2013,78000.0,0.0,9000.0,0.0,0.0,0.0,0.0,3,0.0,3900.0,9,"Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Webster Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",20360,3996.0,60.0,484.7619047619048,703.8601166987729,111.0,237.5,519.0,42.0,1.0,5533.0,1801.0,600.0,1106.6,634.8903842396733,600.0,734.0,1798.0,5.0,2.0
10:04:2013,56400.0,1200.0,9598.0,18002.0,0.0,0.0,0.0,2,0.0,3900.0,9,"Dartmouth Row Parking Lot,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth College,Fairchild Physical Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Dartmouth College",27093,4187.0,30.0,732.2432432432432,940.5439149002324,151.0,313.0,747.0,37.0,0.0,2402.0,1202.0,1200.0,1201.0,1.4142135623730951,1200.5,1201.0,1201.5,2.0,2.3333333333333335
10:05:2013,55802.0,4199.0,4200.0,20999.0,0.0,600.0,0.0,4,0.0,3000.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hanover Park,Black Family Visual Arts Center,Black Family Visual Arts Center,Hood Museum of Art,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Middle Fayerweather Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",29622,3560.0,61.0,658.2666666666667,766.4062357404318,192.0,373.0,837.0,45.0,,5405.0,1200.0,600.0,675.625,211.88672007196945,600.0,600.0,601.25,8.0,
11:04:2013,21601.0,0.0,0.0,68399.0,0.0,0.0,0.0,3,1.0,3900.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot",17176,3459.0,51.0,477.1111111111111,671.8165471435435,98.5,257.0,607.75,36.0,1.0,,,,,,,,,,1.0
11:05:2013,63600.0,5400.0,0.0,18000.0,0.0,0.0,0.0,5,0.0,0.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot",25537,2742.0,40.0,580.3863636363636,700.8652863262433,100.75,242.0,712.5,44.0,,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,1.0,
12:04:2013,35999.0,2400.0,27600.0,16801.0,0.0,0.0,0.0,4,0.0,3000.0,9,"Dartmouth Row Parking Lot,Hopkins Center for the Arts,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall,Bartlett Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Hopkins Center for the Arts",24059,4681.0,40.0,559.5116279069767,913.3185271330202,86.0,161.0,584.5,43.0,1.0,2402.0,1202.0,1200.0,1201.0,1.4142135623730951,1200.5,1201.0,1201.5,2.0,2.0
12:05:2013,68402.0,0.0,1798.0,15600.0,0.0,0.0,0.0,-1,0.0,0.0,9,"Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,0,Sudikoff Hall,Sudikoff Hall,Dartmouth Row Parking Lot,Middle Fayerweather Hall,Reed Hall,Dartmouth College,Dartmouth College,South Fayerweather Hall,South Fayerweather Hall,Dartmouth College,Dartmouth College,Dartmouth College",25080,2744.0,50.0,557.3333333333334,591.9335036364074,181.0,262.0,716.0,45.0,,3000.0,1200.0,600.0,750.0,300.0,600.0,600.0,750.0,4.0,
13:04:2013,42000.0,0.0,1200.0,46800.0,0.0,0.0,0.0,5,0.0,0.0,9,"Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Bartlett Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot",16139,3399.0,51.0,461.1142857142857,686.8727415069039,100.0,212.0,449.0,35.0,1.0,,,,,,,,,,2.0
13:05:2013,68402.0,0.0,19799.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Webster Hall,Parker House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",18047,2472.0,40.0,474.92105263157896,569.0257383424404,102.75,216.0,625.75,38.0,,,,,,,,,,,
14:04:2013,73263.0,0.0,24000.0,7200.0,0.0,0.0,0.0,-1,0.0,0.0,9,"Bartlett Hall,Dartmouth Row Parking Lot,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Bartlett Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",17646,1563.0,50.0,430.390243902439,364.1714484997953,141.0,333.0,524.0,41.0,1.0,1201.0,1201.0,1201.0,1201.0,,1201.0,1201.0,1201.0,1.0,2.0
14:05:2013,53997.0,600.0,31804.0,7800.0,0.0,0.0,0.0,1,0.0,0.0,9,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Sudikoff Hall,Sudikoff Hall,Wentworth Hall,Middle Fayerweather Hall,Dartmouth College",9208,1281.0,70.0,263.0857142857143,269.06159052491734,110.5,151.0,343.0,35.0,,592.0,592.0,592.0,592.0,,592.0,592.0,592.0,1.0,
15:04:2013,4800.0,0.0,30000.0,30000.0,0.0,0.0,0.0,0,0.0,3900.0,9,"Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Bartlett Hall,Dartmouth Row Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",32243,5414.0,61.0,1240.1153846153843,1509.0342958839092,201.25,403.0,1984.75,26.0,1.0,6003.0,2400.0,1200.0,1500.75,599.5016680543933,1200.0,1201.5,1502.25,4.0,2.3333333333333335
15:05:2013,60599.0,9600.0,7800.0,0.0,0.0,0.0,0.0,2,0.0,3900.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall",36329,4999.0,41.0,844.8604651162791,1083.0527310162156,146.0,351.0,1318.0,43.0,,6001.0,1801.0,600.0,1000.1666666666666,617.620082790923,600.0,603.0,1497.0,6.0,
16:04:2013,51600.0,4803.0,28800.0,0.0,1197.0,0.0,0.0,1,0.0,0.0,9,"Dartmouth College,Steele Hall,Steele Hall,Hopkins Center for the Arts,0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",14213,1654.0,70.0,384.1351351351352,391.7943878392624,100.0,242.0,473.0,37.0,1.0,1116.0,1116.0,1116.0,1116.0,,1116.0,1116.0,1116.0,1.0,2.0
16:05:2013,68752.0,0.0,18000.0,0.0,0.0,0.0,0.0,3,0.0,3900.0,9,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,South Fayerweather Hall",29572,3891.0,30.0,704.0952380952381,924.076752422122,204.25,322.5,693.5,42.0,,1200.0,600.0,600.0,600.0,0.0,600.0,600.0,600.0,2.0,
17:04:2013,62402.0,0.0,13199.0,9600.0,1199.0,0.0,0.0,2,0.0,3900.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Winfred-Raven House,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Rollins Chapel,Dartmouth Row Parking Lot,South Fayerweather Hall,Bartlett Hall,South Fayerweather Hall,Dartmouth Row Parking Lot,Class of 1978 Life Sciences Center,Vail,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Dartmouth College",30344,4023.0,60.0,758.6,956.0174282286508,209.25,403.0,870.0,40.0,1.0,3601.0,1205.0,1196.0,1200.3333333333333,4.509249752822894,1198.0,1200.0,1202.5,3.0,2.0
17:05:2013,29403.0,598.0,4800.0,56400.0,1199.0,0.0,0.0,4,0.0,3000.0,9,"South Fayerweather Hall,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,South Fayerweather Hall,Dartmouth College,Dartmouth College,Reed Hall,Dartmouth College,Dartmouth Row Parking Lot,Middle Fayerweather Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",21420,4398.0,40.0,420.0,706.6773804219291,91.0,182.0,444.0,51.0,,22752.0,2400.0,552.0,948.0,499.38257530848944,600.0,600.0,1200.0,24.0,
18:04:2013,60000.0,0.0,12010.0,15590.0,0.0,0.0,0.0,3,0.0,3900.0,9,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Bartlett Hall,Dartmouth Row Parking Lot,Dartmouth Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",25448,3763.0,40.0,553.2173913043479,787.1123006998705,131.0,318.0,613.0,46.0,1.0,3504.0,2304.0,1200.0,1752.0,780.6458864299485,1476.0,1752.0,2028.0,2.0,2.5
18:05:2013,43200.0,0.0,39600.0,0.0,0.0,0.0,0.0,5,0.0,0.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Fayerweather Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College",11013,827.0,61.0,275.325,215.15866387627904,108.5,207.0,330.5,40.0,,2942.0,600.0,542.0,588.4,25.93838853899756,600.0,600.0,600.0,5.0,
19:04:2013,13200.0,0.0,1200.0,69600.0,3600.0,0.0,0.0,4,1.0,3000.0,9,"Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Bartlett Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot",23359,5440.0,30.0,440.7358490566038,809.6622076032078,91.0,192.0,494.0,53.0,,4799.0,1200.0,1199.0,1199.75,0.5,1199.75,1200.0,1200.0,4.0,
19:05:2013,33603.0,0.0,47400.0,1197.0,0.0,0.0,0.0,-1,0.0,0.0,9,"Dartmouth College,0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",17552,2975.0,70.0,408.1860465116279,633.1837638855591,91.0,152.0,413.5,43.0,1.0,2398.0,600.0,598.0,599.5,1.0,599.5,600.0,600.0,4.0,
20:04:2013,50401.0,4799.0,8402.0,26398.0,0.0,0.0,0.0,5,0.0,0.0,9,"Dartmouth Row Parking Lot,0,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,South Fayerweather Hall,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",13876,1675.0,40.0,433.625,451.2033909447047,100.75,282.0,499.75,32.0,1.0,7419.0,3819.0,1200.0,2473.0,1311.025171383067,1800.0,2400.0,3109.5,3.0,2.0
20:05:2013,83426.0,3001.0,7800.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,9,"Dartmouth College,Dartmouth College,South Fayerweather Hall,South Fayerweather Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",18746,3076.0,30.0,360.5,491.8849897458296,81.0,166.5,466.5,52.0,,5879.0,2400.0,474.0,1469.75,1075.490701958878,572.25,1502.5,2400.0,4.0,2.0
