,home_time,school_time,orthers,recreational_activities,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
08:04:2013,54000.0,32400.0,0.0,1200.0,0.0,0.0,0.0,0.0,3900.0,44.0,"Toscanni,Cronkhite Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College",12597.0,2401.0,81.0,787.3125,691.2151347446032,191.75,615.5,1106.75,16.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,1.0
08:05:2013,82200.0,12600.0,0.0,1800.0,0.0,0.0,2.0,0.0,3900.0,44.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Parker House,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Dartmouth College",31883.0,4670.0,70.0,1028.483870967742,960.5923821950612,393.0,748.0,1453.0,31.0,1.0,11356.0,1200.0,556.0,668.0,200.51932575190853,600.0,600.0,600.0,17.0,1.0
09:04:2013,80400.0,4800.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons",32668.0,17236.0,71.0,1166.7142857142858,3196.6545574691613,161.0,287.5,1006.5,28.0,1.0,3350.0,1200.0,950.0,1116.6666666666667,144.33756729740642,1075.0,1200.0,1200.0,3.0,1.0
09:05:2013,118078.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3900.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",5073.0,3942.0,91.0,845.5,1524.3790539101487,123.5,217.5,439.0,6.0,1.0,4800.0,1200.0,600.0,685.7142857142857,226.77868380553633,600.0,600.0,600.0,7.0,1.0
10:04:2013,77999.0,7201.0,0.0,0.0,0.0,0.0,2.0,0.0,3900.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Class of 1953 Commons,Dartmouth College",15505.0,1917.0,81.0,775.25,607.7562595750303,262.0,574.5,1444.5,20.0,1.0,2300.0,1197.0,1103.0,1150.0,66.46803743153546,1126.5,1150.0,1173.5,2.0,1.0
10:05:2013,41399.0,601.0,0.0,1199.0,0.0,0.0,4.0,1.0,3000.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College",16911.0,3146.0,30.0,704.625,777.4783549342736,126.0,348.5,1064.25,24.0,,192326.0,181023.0,600.0,12821.733333333334,46532.80447547065,600.0,600.0,1175.0,15.0,
11:04:2013,74402.0,2400.0,0.0,0.0,9598.0,0.0,3.0,1.0,3900.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Maynard Parking Lot,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",19821.0,2148.0,61.0,535.7027027027027,516.8007817796409,141.0,434.0,696.0,37.0,,4183.0,2442.0,1741.0,2091.5,495.68185361176984,1916.25,2091.5,2266.75,2.0,
11:05:2013,188832.0,6000.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,44.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",21358.0,2229.0,30.0,508.5238095238095,574.3424761473634,108.5,242.0,632.5,42.0,,,,,,,,,,,
12:04:2013,79202.0,7200.0,0.0,1198.0,0.0,0.0,4.0,0.0,3000.0,44.0,"Dartmouth College,Dartmouth College,0,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College",15864.0,2514.0,41.0,396.6,527.9098505013998,88.5,157.0,489.0,40.0,1.0,3602.0,1202.0,1200.0,1200.6666666666667,1.1547005383792517,1200.0,1200.0,1201.0,3.0,1.6666666666666667
13:04:2013,83919.0,1200.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",18311.0,3116.0,71.0,704.2692307692307,845.5083941720418,103.5,348.5,801.75,26.0,1.0,,,,,,,,,,2.0
13:05:2013,67800.0,18604.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,44.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College",33303.0,24741.0,41.0,1513.7727272727273,5206.09175167321,151.5,272.5,562.0,22.0,,7141.0,1771.0,570.0,714.1,371.4872362096264,600.0,600.0,600.0,10.0,
14:04:2013,74399.0,0.0,2401.0,4801.0,0.0,12000.0,-1.0,0.0,0.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Hanover Park,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",15096.0,2453.0,51.0,397.2631578947368,474.32066267284506,93.25,232.0,492.25,38.0,1.0,1194.0,1194.0,1194.0,1194.0,,1194.0,1194.0,1194.0,1.0,1.0
14:05:2013,60601.0,3600.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,"Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",15694.0,2158.0,50.0,402.4102564102564,459.0661412011356,126.0,201.0,529.5,39.0,,4202.0,602.0,600.0,600.2857142857143,0.7559289460184544,600.0,600.0,600.0,7.0,
15:04:2013,75535.0,19265.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,44.0,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College",32475.0,4219.0,60.0,649.5,818.5594676264005,161.0,343.0,743.5,50.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,2.3333333333333335
15:05:2013,83912.0,3600.0,0.0,0.0,0.0,0.0,2.0,0.0,3900.0,44.0,"North Fairbanks,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",23690.0,5102.0,60.0,764.1935483870968,1118.274218587279,151.0,343.0,847.0,31.0,1.0,2416.0,615.0,600.0,604.0,7.3484692283495345,600.0,600.5,604.5,4.0,1.0
16:04:2013,67309.0,3491.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,"Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons",43848.0,15989.0,70.0,1289.6470588235295,2728.5004526557445,315.5,620.0,1369.25,34.0,0.0,2404.0,1200.0,4.0,801.3333333333334,690.5109219507924,602.0,1200.0,1200.0,3.0,3.0
16:05:2013,85202.0,600.0,0.0,0.0,0.0,0.0,3.0,1.0,3900.0,44.0,"Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",16025.0,3117.0,50.0,616.3461538461538,702.8645355860652,163.5,343.0,940.25,26.0,1.0,2409.0,608.0,1.0,481.8,268.79769344248473,600.0,600.0,600.0,5.0,1.0
17:04:2013,86400.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3900.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Fairbanks,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",18830.0,2694.0,40.0,538.0,701.5882402260812,112.5,274.0,565.0,35.0,1.0,1187.0,1187.0,1187.0,1187.0,,1187.0,1187.0,1187.0,1.0,3.0
17:05:2013,172068.0,1200.0,0.0,0.0,0.0,0.0,4.0,1.0,3000.0,44.0,"Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College",,,,,,,,,,,,,,,,,,,,
18:04:2013,76800.0,9600.0,0.0,0.0,0.0,0.0,3.0,0.0,3900.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center",21482.0,5423.0,60.0,671.3125,951.9109282504224,201.25,443.5,802.0,32.0,0.0,3395.0,1200.0,1082.0,1131.6666666666667,61.17461347105785,1097.5,1113.0,1156.5,3.0,2.5
19:04:2013,84741.0,2400.0,0.0,0.0,0.0,0.0,4.0,0.0,3000.0,44.0,"Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Class of 1953 Commons,Dartmouth College",34757.0,4204.0,71.0,808.3023255813954,900.5941037761503,221.5,474.0,1001.5,43.0,,186929.0,171188.0,1.0,31154.833333333332,68797.84192957412,300.25,1117.0,10387.75,6.0,
19:05:2013,85692.0,600.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,44.0,"Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",4901.0,2229.0,61.0,306.3125,529.8810833573888,81.0,141.0,234.5,16.0,,1216.0,616.0,600.0,608.0,11.31370849898476,604.0,608.0,612.0,2.0,
20:04:2013,191591.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,44.0,"Dartmouth College,Dartmouth College",29197.0,4811.0,60.0,884.7575757575758,1149.940488414048,172.0,322.0,1180.0,33.0,,,,,,,,,,,
20:05:2013,84007.0,1800.0,0.0,0.0,0.0,0.0,0.0,1.0,3900.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College",24019.0,2169.0,30.0,632.078947368421,602.3812378892824,194.5,443.5,756.75,38.0,1.0,13799.0,6008.0,600.0,1149.9166666666667,1547.0454220477131,600.0,600.0,747.75,12.0,1.0
22:04:2013,58188.0,14400.0,0.0,0.0,0.0,0.0,0.0,0.0,3900.0,44.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",8779.0,1169.0,80.0,302.7241379310345,262.1554741195336,111.0,222.0,353.0,29.0,1.0,2391.0,1206.0,1185.0,1195.5,14.849242404917495,1190.25,1195.5,1200.75,2.0,2.5
22:05:2013,117023.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3900.0,44.0,Dartmouth College,,,,,,,,,,,,,,,,,,,,
23:04:2013,79201.0,22799.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College",40603.0,12521.0,71.0,725.0535714285714,1681.0117669767471,198.75,368.0,640.25,56.0,0.0,4414.0,2400.0,814.0,1471.3333333333333,827.0824223336712,1007.0,1200.0,1800.0,3.0,3.0
23:05:2013,61895.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3900.0,44.0,"Dartmouth College,Dartmouth College",6926.0,1452.0,80.0,532.7692307692307,418.64068799034055,192.0,464.0,666.0,13.0,,600.0,600.0,600.0,600.0,,600.0,600.0,600.0,1.0,
24:04:2013,64427.0,2400.0,0.0,0.0,0.0,0.0,2.0,1.0,3900.0,44.0,"Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",13979.0,3088.0,50.0,423.6060606060606,559.7226399853067,131.0,252.0,524.0,33.0,,5918.0,3517.0,1.0,1479.5,1471.2363281721034,900.25,1200.0,1779.25,4.0,
24:05:2013,77399.0,1200.0,0.0,0.0,0.0,0.0,4.0,1.0,3000.0,44.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons",4981.0,1049.0,40.0,311.3125,344.9664174476505,80.75,126.5,403.25,16.0,1.0,5400.0,1200.0,600.0,675.0,212.1320343559643,600.0,600.0,600.0,8.0,1.0
