,home_time,school_time,recreational_activities,working,travel_time,orthers,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
09:04:2013,39601.0,29999.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,"Anonymous Hall,Class of 1953 Commons,Class of 1953 Commons,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0,Class of 1953 Commons",15431.0,1372.0,40.0,385.775,338.0067126855809,138.5,292.5,489.0,40.0,2.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,4.0
10:04:2013,49200.0,51600.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7800.0,36.0,"Class of 1953 Commons,Anonymous Hall,Anonymous Hall,Sudikoff Hall,0,0,Anonymous Hall",20627.0,5117.0,70.0,825.08,1101.7813954380124,181.0,454.0,1018.0,25.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
10:05:2013,4800.0,4800.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6000.0,36.0,"0,Class of 1953 Commons,Dartmouth College,Sudikoff Hall",8734.0,3388.0,30.0,794.0,980.3925744312836,227.0,455.0,953.0,11.0,,1056.0,1056.0,1056.0,1056.0,,1056.0,1056.0,1056.0,1.0,
11:04:2013,34800.0,34800.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,7800.0,36.0,"Anonymous Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Anonymous Hall,Anonymous Hall,0,0,North Fayerweather Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse",21420.0,3359.0,60.0,738.6206896551724,928.7538276711398,111.0,383.0,978.0,29.0,2.0,2401.0,1201.0,1200.0,1200.5,0.7071067811865476,1200.25,1200.5,1200.75,2.0,1.0
11:05:2013,13201.0,27599.0,0.0,40800.0,3600.0,1200.0,0.0,5.0,0.0,0.0,36.0,"Sudikoff Hall,0,0,0,Andres Hall,0,0,0,F Lot Parking,Wheelock Office Park,0",17612.0,7059.0,50.0,550.375,1251.25038751565,121.0,156.0,405.75,32.0,,18002.0,13200.0,2401.0,6000.666666666667,6234.805556978768,2401.0,2401.0,7800.5,3.0,
12:04:2013,57600.0,52800.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6000.0,36.0,"0,0,0,Class of 1953 Commons,Class of 1953 Commons,Anonymous Hall,Anonymous Hall,0,0,Anonymous Hall",14785.0,2319.0,40.0,476.9354838709677,452.51032662131,197.0,373.0,600.0,31.0,1.0,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,5.0
12:05:2013,15601.0,0.0,0.0,0.0,81600.0,0.0,0.0,-1.0,0.0,0.0,36.0,"F Lot Parking,F Lot Parking,0,0,0",17823.0,2471.0,60.0,387.4565217391304,467.8201319368488,116.0,227.0,441.5,46.0,0.0,27600.0,9600.0,1200.0,5520.0,4033.8567153531862,1200.0,7200.0,8400.0,5.0,3.0
13:04:2013,52801.0,13200.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,36.0,"Anonymous Hall,Anonymous Hall,Anonymous Hall,0",19310.0,4719.0,81.0,715.1851851851852,984.6249202707768,146.5,343.0,842.0,27.0,1.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,1.0
13:05:2013,66000.0,1201.0,0.0,17999.0,0.0,0.0,0.0,0.0,1.0,7800.0,36.0,"Wheelock Office Park,Class of 1953 Commons,0",8894.0,1513.0,51.0,423.5238095238095,431.00482816873625,151.0,242.0,413.0,21.0,,16800.0,15600.0,1200.0,8400.0,10182.337649086285,4800.0,8400.0,12000.0,2.0,
14:04:2013,64932.0,8400.0,0.0,0.0,13199.0,0.0,0.0,-1.0,0.0,0.0,36.0,"0,Class of 1978 Life Sciences Center,Vail Dartmouth Medical School,Anonymous Hall,0,0,0,0,0",4767.0,1049.0,70.0,476.7,436.3125918166673,95.25,275.5,935.0,10.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
14:05:2013,31199.0,0.0,0.0,117601.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,"0,Wheelock Office Park",9108.0,1816.0,61.0,479.3684210526316,491.0146196653886,96.0,363.0,665.5,19.0,,16800.0,15601.0,1199.0,8400.0,10183.751862648658,4799.5,8400.0,12000.5,2.0,
15:04:2013,46800.0,36000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,36.0,"Anonymous Hall,Anonymous Hall,0,0",847.0,353.0,50.0,169.4,120.3465828347444,81.0,151.0,212.0,5.0,1.0,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,2.5
15:05:2013,4799.0,22800.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7800.0,36.0,"0,Reed Hall",23198.0,5124.0,60.0,927.92,1299.7133632715586,241.0,504.0,888.0,25.0,,28705.0,14752.0,1954.0,9568.333333333334,6736.342207261544,6976.5,11999.0,13375.5,3.0,
16:04:2013,78000.0,1200.0,0.0,0.0,9600.0,0.0,0.0,1.0,0.0,0.0,36.0,"Dana Circle Parking Lot,Sudikoff Hall,0,0,Mass Parking Lot",3017.0,1583.0,41.0,335.22222222222223,517.0241236581176,71.0,101.0,212.0,9.0,1.0,,,,,,,,,,1.0
16:05:2013,302402.0,14070.0,0.0,4800.0,0.0,0.0,0.0,3.0,0.0,7800.0,36.0,"Wheelock Office Park,Dartmouth College,Class of 1953 Commons,0",5052.0,1876.0,40.0,421.0,509.79550267284094,83.5,307.5,506.75,12.0,,2400.0,1200.0,1.0,800.0,691.9544782715117,600.0,1199.0,1199.5,3.0,
17:04:2013,38404.0,19202.0,0.0,0.0,25194.0,0.0,2400.0,2.0,0.0,7800.0,36.0,"Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,F Lot Parking,Sudikoff Hall,Sudikoff Hall,0,0,Dana Parking Lot,F Lot Parking,F Lot Parking,Hanover Park",15691.0,2682.0,40.0,435.8611111111111,601.0397254652155,81.0,116.0,753.75,36.0,,2308.0,1164.0,1144.0,1154.0,14.142135623730953,1149.0,1154.0,1159.0,2.0,
18:04:2013,60000.0,36000.0,0.0,0.0,2400.0,0.0,0.0,3.0,0.0,7800.0,36.0,"0,F Lot Parking,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,0,0,Class of 1953 Commons,Mass Parking Lot,0",6455.0,2240.0,80.0,586.8181818181819,646.32450335444,126.0,333.0,711.5,11.0,1.0,3597.0,1200.0,1197.0,1199.0,1.7320508075688772,1198.5,1200.0,1200.0,3.0,1.5
19:04:2013,57600.0,12000.0,0.0,0.0,0.0,0.0,3600.0,4.0,0.0,6000.0,36.0,"0,0,0,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,0,0,0,Hanover Park,Hanover Park",21626.0,7675.0,70.0,865.04,1571.240313680035,131.0,373.0,836.0,25.0,,19104.0,14364.0,1140.0,3820.8,5893.885238109069,1200.0,1200.0,1200.0,5.0,
19:05:2013,22800.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,36.0,0,11044.0,1180.0,70.0,306.77777777777777,223.457776275022,181.0,257.0,336.5,36.0,1.0,25200.0,12000.0,1200.0,8400.0,6235.382907247958,6600.0,12000.0,12000.0,3.0,1.0
20:04:2013,140452.0,12000.0,3548.0,0.0,0.0,4800.0,0.0,5.0,0.0,0.0,36.0,"0,0,0,Sudikoff Hall,0,Hopkins Center for the Arts,Hopkins Center for the Arts,0",191.0,70.0,60.0,63.66666666666666,5.507570547286102,60.5,61.0,65.5,3.0,2.0,76845.0,44402.0,32443.0,38422.5,8456.289996209922,35432.75,38422.5,41412.25,2.0,4.0
20:05:2013,75600.0,1200.0,0.0,16800.0,0.0,0.0,0.0,0.0,1.0,7800.0,36.0,"Wheelock Office Park,Class of 1953 Commons,0",11315.0,4014.0,60.0,435.1923076923077,759.8933093128677,123.5,237.0,489.0,26.0,,,,,,,,,,,
21:04:2013,1200.0,1200.0,0.0,0.0,22800.0,0.0,0.0,-1.0,0.0,0.0,36.0,"0,Anonymous Hall,Maynard Parking Lot",7329.0,1997.0,20.0,261.75,390.9301941097242,77.5,116.0,264.5,28.0,1.0,3634.0,2399.0,1235.0,1817.0,823.0722933011414,1526.0,1817.0,2108.0,2.0,1.5
22:04:2013,54000.0,2400.0,0.0,0.0,16800.0,0.0,0.0,0.0,1.0,7800.0,36.0,"F Lot Parking,Mass Parking Lot,Class of 1953 Commons,0,0,Sudikoff Hall",10748.0,1331.0,21.0,238.84444444444443,279.2928534348811,91.0,161.0,232.0,45.0,,,,,,,,,,,
23:04:2013,43200.0,46800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Class of 1953 Commons",19512.0,4175.0,50.0,672.8275862068965,905.4444870956046,90.0,262.0,796.0,29.0,0.0,17521.0,16762.0,759.0,8760.5,11315.82981932832,4759.75,8760.5,12761.25,2.0,3.0
24:04:2013,52800.0,26400.0,0.0,0.0,3600.0,0.0,0.0,2.0,0.0,7800.0,36.0,"Class of 1953 Commons,0,0,0,Maynard Parking Lot,Maynard Parking Lot,0,0,0",17026.0,1806.0,40.0,436.56410256410254,448.01602384828976,121.0,232.0,620.5,39.0,,12355.0,4757.0,325.0,2059.1666666666665,1728.4457083364423,1176.75,1239.0,3039.0,6.0,
24:05:2013,3600.0,1200.0,0.0,9600.0,0.0,0.0,0.0,4.0,1.0,6000.0,36.0,"0,Class of 1953 Commons,Dartmouth College,Wheelock Office Park",20240.0,4568.0,30.0,880.0,1030.2652791657813,156.5,766.0,1079.0,23.0,,15597.0,11996.0,1200.0,5199.0,5916.925468518258,1800.5,2401.0,7198.5,3.0,
25:04:2013,228002.0,14400.0,0.0,0.0,14400.0,0.0,1198.0,3.0,0.0,7800.0,36.0,"0,Dewey Field Road,F Lot Parking,F Lot Parking,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,0",967.0,353.0,50.0,241.75,141.21703155073044,178.25,282.0,345.5,4.0,,9475.0,7162.0,1119.0,3158.3333333333335,3467.479824502708,1156.5,1194.0,4178.0,3.0,
25:05:2013,15117.0,28800.0,0.0,42000.0,0.0,0.0,0.0,5.0,0.0,0.0,36.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Robinson Hall,Wheelock Office Park,0",7278.0,1160.0,30.0,242.6,275.947096378998,81.0,126.0,279.5,30.0,,10794.0,9594.0,1200.0,5397.0,5935.45432127988,3298.5,5397.0,7495.5,2.0,
26:05:2013,132000.0,16799.0,0.0,0.0,1200.0,0.0,0.0,-1.0,0.0,0.0,36.0,"Sudikoff Hall,Sudikoff Hall,0,0",1554.0,757.0,41.0,310.8,291.5496527180233,60.0,313.0,383.0,5.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
27:03:2013,0.0,135270.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7800.0,36.0,Sudikoff Hall,2542.0,1695.0,101.0,423.6666666666667,626.1845308426795,123.5,181.5,254.5,6.0,,4803.0,1203.0,1200.0,1200.75,1.5,1200.0,1200.0,1200.75,4.0,
27:04:2013,6339.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,36.0,0,6154.0,3550.0,61.0,769.25,1152.1859658926592,159.25,399.0,706.0,8.0,,1201.0,1200.0,1.0,600.5,847.8210306426705,300.75,600.5,900.25,2.0,
27:05:2013,3601.0,11999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,36.0,"0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",18861.0,2259.0,71.0,554.7352941176471,616.4402356847928,116.0,277.5,618.0,34.0,,3782.0,1439.0,1143.0,1260.6666666666667,157.04882467988526,1171.5,1200.0,1319.5,3.0,
28:04:2013,79201.0,14399.0,21599.0,0.0,1200.0,0.0,0.0,-1.0,0.0,0.0,36.0,"0,F Lot Parking,0,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,0",27623.0,2138.0,61.0,476.2586206896552,448.2620067312932,131.0,358.0,650.75,58.0,,28792.0,28792.0,28792.0,28792.0,,28792.0,28792.0,28792.0,1.0,
28:05:2013,63600.0,22800.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0",22098.0,2935.0,70.0,789.2142857142857,840.6427592486885,201.75,433.5,1008.5,28.0,,2400.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,2.0,
29:03:2013,49200.0,46798.0,1200.0,0.0,1201.0,0.0,0.0,4.0,0.0,6000.0,36.0,"Sudikoff Hall,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hood Museum of Art,Anonymous Hall",18690.0,4235.0,40.0,566.3636363636364,814.908960336284,121.0,302.0,565.0,33.0,1.0,3598.0,1200.0,1198.0,1199.3333333333333,1.1547005383792517,1199.0,1200.0,1200.0,3.0,2.5
29:04:2013,9615.0,8400.0,0.0,37201.0,2384.0,0.0,0.0,0.0,0.0,7800.0,36.0,"Wheelock Office Park,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Dartmouth College,0",25901.0,4448.0,50.0,563.0652173913044,703.7619674032442,156.75,338.0,733.75,46.0,1.0,13844.0,13244.0,600.0,6922.0,8940.658141322707,3761.0,6922.0,10083.0,2.0,2.0
29:05:2013,143999.0,12001.0,0.0,0.0,0.0,1200.0,0.0,2.0,0.0,7800.0,36.0,"0,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,0,0,Life Sciences Greenhouse,Sudikoff Hall,0,0",13230.0,1634.0,40.0,508.84615384615387,471.2481038525412,108.5,333.0,900.25,26.0,,15600.0,8400.0,1200.0,3900.0,3446.737587922817,1200.0,3000.0,5700.0,4.0,
30:03:2013,79200.0,2400.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,36.0,"Anonymous Hall,Anonymous Hall,0",9702.0,3339.0,60.0,882.0,1165.3958983967636,136.0,303.0,1079.5,11.0,2.0,2200.0,2200.0,2200.0,2200.0,,2200.0,2200.0,2200.0,1.0,
30:04:2013,153600.0,7201.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,36.0,"0,Sudikoff Hall,0,0",161.0,91.0,70.0,80.5,14.849242404917495,75.25,80.5,85.75,2.0,1.0,,,,,,,,,,1.0
30:05:2013,5687.0,7200.0,0.0,0.0,5113.0,0.0,0.0,3.0,0.0,7800.0,36.0,"0,0,Class of 1953 Commons,Dartmouth College,0",11463.0,1291.0,70.0,369.7741935483871,291.03501618389714,201.5,262.0,534.5,31.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
31:03:2013,132000.0,19200.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,36.0,"0,0,0,Anonymous Hall,Anonymous Hall,0",9125.0,1452.0,101.0,536.7647058823529,365.63857315178143,313.0,383.0,787.0,17.0,2.0,2310.0,1200.0,1110.0,1155.0,63.63961030678928,1132.5,1155.0,1177.5,2.0,5.0
31:05:2013,89299.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,36.0,"0,0",7704.0,1755.0,70.0,385.2,399.1353285870794,128.5,272.0,435.75,20.0,,1202.0,1202.0,1202.0,1202.0,,1202.0,1202.0,1202.0,1.0,
28:03:2013,,,,,,,,,,,,,8249.0,3419.0,131.0,1374.8333333333333,1215.985594761166,496.5,1175.0,1852.75,6.0,,22801.0,15602.0,7199.0,11400.5,5941.818282310559,9299.75,11400.5,13501.25,2.0,
07:04:2013,,,,,,,,,,,,,4184.0,2602.0,60.0,697.3333333333334,994.912592475674,105.25,222.0,814.25,6.0,,,,,,,,,,,
03:05:2013,,,,,,,,,,,,,162.0,91.0,71.0,81.0,14.142135623730953,76.0,81.0,86.0,2.0,,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,
04:05:2013,,,,,,,,,,,,,11654.0,1161.0,41.0,342.7647058823529,278.19047963401226,110.25,262.0,518.0,34.0,,32400.0,16800.0,1200.0,10800.0,8400.0,7800.0,14400.0,15600.0,3.0,
09:05:2013,,,,,,,,,,,,,1079.0,847.0,101.0,359.6666666666667,422.3095231383414,116.0,131.0,489.0,3.0,,,,,,,,,,,
17:05:2013,,,,,,,,,,,,,211.0,60.0,50.0,52.75,4.856267428111155,50.0,50.5,53.25,4.0,,2304.0,1200.0,1104.0,1152.0,67.88225099390856,1128.0,1152.0,1176.0,2.0,
18:05:2013,,,,,,,,,,,,,172.0,91.0,81.0,86.0,7.071067811865476,83.5,86.0,88.5,2.0,,3600.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,3.0,
22:05:2013,,,,,,,,,,,,,342.0,111.0,61.0,85.5,23.81176179958132,67.75,85.0,102.75,4.0,1.0,6000.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,5.0,
23:05:2013,,,,,,,,,,,,,60.0,60.0,60.0,60.0,,60.0,60.0,60.0,1.0,,,,,,,,,,,
26:04:2013,,,,,,,,,,,,,,,,,,,,,,,7237.0,7237.0,7237.0,7237.0,,7237.0,7237.0,7237.0,1.0,
