,home_time,orthers,recreational_activities,school_time,working,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level,dur_sum,max,min,mean,std,25%,med or 50%,75%,freq,final_level
05:05:2013,75730.0,0.0,0.0,10891.0,0.0,0.0,0.0,-1,0.0,0.0,3,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College",22013.0,3277.0,50.0,628.9428571428572,795.554410564147,116.0,373.0,883.5,35.0,,15552.0,4771.0,564.0,1196.3076923076924,1465.4944208136371,600.0,600.0,605.0,13.0,
06:04:2013,80400.0,0.0,3600.0,0.0,2400.0,0.0,0.0,5,0.0,0.0,3,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Harpoon Brewery,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kappa Pi Kappa,Dartmouth College,Dartmouth College",25433.0,3197.0,70.0,794.78125,741.7480110490094,192.0,600.0,1197.75,32.0,,7180.0,1204.0,1175.0,1196.6666666666667,10.838204033264306,1198.5,1200.0,1202.25,6.0,
06:05:2013,61801.0,0.0,4799.0,16800.0,0.0,1200.0,0.0,0,0.0,3900.0,3,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Hopkins Center for the Arts,Hood Museum of Art,East Wheelock Street,Hopkins Center for the Arts,Hopkins Center for the Arts",10620.0,4237.0,50.0,442.5,883.8937079516528,98.5,161.5,343.75,24.0,1.0,18018.0,4204.0,595.0,948.3157894736842,832.6750768611553,600.0,603.0,1196.0,19.0,1.0
07:04:2013,62398.0,0.0,0.0,26402.0,0.0,0.0,0.0,-1,0.0,0.0,3,"Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons",13978.0,4137.0,70.0,635.3636363636364,926.8906826925912,100.5,196.5,717.0,22.0,2.0,10683.0,3507.0,1168.0,1526.142857142857,873.5699606731428,1198.5,1203.0,1204.0,7.0,4.0
08:04:2013,62400.0,0.0,1200.0,20400.0,0.0,0.0,0.0,0,0.0,3900.0,3,"Class of 1953 Commons,Class of 1953 Commons,Collis Student Center,Collis Student Center,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College",25481.0,7009.0,71.0,821.9677419354839,1374.4467367846833,121.0,323.0,932.5,31.0,1.0,4800.0,1200.0,1200.0,1200.0,0.0,1200.0,1200.0,1200.0,4.0,1.0
08:05:2013,58783.0,1797.0,13201.0,12646.0,0.0,0.0,0.0,2,0.0,10500.0,3,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Wilder Hall,Wilder Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Nugget Arcade,Nugget Arcade,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Hanover Inn Dartmouth,Hanover Inn Dartmouth",7803.0,4054.0,60.0,520.2,1005.5994800544172,115.5,222.0,393.5,15.0,1.0,8520.0,1200.0,600.0,710.0,231.1229503572031,600.0,600.5,632.0,12.0,1.0
09:04:2013,66000.0,9600.0,9600.0,2400.0,0.0,0.0,0.0,1,1.0,6600.0,3,"0,Wilson Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,0,0,Reed Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Berry Sports Center,Alumni Gymnasium,New Hampshire Hall,Dartmouth College",24909.0,4297.0,81.0,1245.45,1487.47045879556,136.0,514.5,2007.0,20.0,1.0,10472.0,2399.0,1114.0,1309.0,442.5284494486525,1115.75,1160.5,1203.25,8.0,1.0
09:05:2013,47694.0,1800.0,8400.0,26401.0,0.0,600.0,1199.0,3,0.0,6900.0,3,"Wilson Hall,Wilson Hall,Hood Museum of Art,Wilson Hall,Wilson Hall,Wilson Hall,Wilson Hall,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Collis Student Center,Hanover Park,Hanover Post Office Northbound,0,Hanover Park,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts",24214.0,7933.0,50.0,1729.571428571429,2285.534063636759,227.25,773.5,2117.75,14.0,,11810.0,3000.0,411.0,843.5714285714286,661.3007827567765,600.0,600.0,600.0,14.0,
10:04:2013,55201.0,0.0,1200.0,28799.0,0.0,0.0,0.0,2,0.0,10500.0,3,"Dartmouth College,Wilder Hall,Fairchild Physical Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Sarner Underground,Parkhurst Hall,Dartmouth College,Dartmouth College,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Collis Student Center,Collis Student Center,Hopkins Center for the Arts",18766.0,5212.0,70.0,938.3,1466.5373503596832,108.5,237.0,839.75,20.0,,8414.0,1205.0,1195.0,1202.0,3.4641016151377544,1201.5,1203.0,1204.0,7.0,
10:05:2013,70799.0,0.0,601.0,16200.0,0.0,0.0,0.0,4,0.0,3000.0,3,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Rockefeller Center,Dartmouth College,Dartmouth College",4256.0,1100.0,61.0,236.44444444444449,253.7625620703273,75.25,141.5,308.0,18.0,,12559.0,2400.0,486.0,784.9375,482.7586655531588,600.0,600.0,659.0,16.0,
11:04:2013,66000.0,1200.0,3600.0,14400.0,1200.0,0.0,0.0,3,0.0,6900.0,3,"Wilson Hall,0,Wilson Hall,Wilson Hall,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Alumni Gymnasium,0,Alumni Gymnasium,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",30938.0,5779.0,30.0,1189.923076923077,1703.633479902926,113.5,353.0,1247.75,26.0,1.0,19224.0,2403.0,1200.0,1602.0,589.365606548107,1203.0,1204.0,2396.75,12.0,
11:05:2013,69498.0,4200.0,7200.0,5400.0,0.0,0.0,0.0,5,0.0,0.0,3,"Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,Byrne II Hall,Byrne II Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Wilson Hall,Hopkins Center for the Arts,Black Family Visual Arts Center,Hood Museum of Art,Hood Museum of Art,Dartmouth College,Dartmouth College,Class of 1953 Commons",27253.0,5605.0,81.0,1297.7619047619048,1557.4854703900744,424.0,534.0,1482.0,21.0,,6875.0,1200.0,480.0,625.0,197.9009853436814,546.5,600.0,603.0,11.0,
12:04:2013,67200.0,0.0,2400.0,16800.0,0.0,0.0,0.0,4,0.0,3000.0,3,"Dartmouth College,Dartmouth College,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Collis Student Center",12390.0,2420.0,292.0,1032.5,769.6963391789353,385.25,759.5,1495.0,12.0,,19218.0,7200.0,1203.0,2745.4285714285716,2655.8620607468088,1203.5,1204.0,3602.0,7.0,1.0
12:05:2013,67200.0,0.0,4802.0,14397.0,0.0,4201.0,0.0,-1,0.0,0.0,3,"Dartmouth College,0,Berry Sports Center Parking Lot,Berry Sports Center,Berry Sports Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Maynard Parking Lot,Byrne II Hall,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons",8038.0,2421.0,101.0,574.1428571428571,583.6393587643838,264.5,378.0,705.75,14.0,,1799.0,600.0,599.0,599.6666666666666,0.5773502691896257,599.5,600.0,600.0,3.0,
13:04:2013,3600.0,9600.0,3573.0,7200.0,0.0,0.0,62427.0,5,0.0,0.0,3,"0,Wilson Hall,New Hampshire Hall,Wilson Hall,0,Best Buy,Best Buy,BJ's Wholesale Club,Interchange Drive,Interchange Drive,BJ's Wholesale Club,Dartmouth College,Class of 1953 Commons",26721.0,5635.0,60.0,1336.05,1591.8626783872107,118.5,478.5,2106.5,20.0,1.0,14415.0,2405.0,1196.0,1310.4545454545455,363.0389410617995,1198.0,1203.0,1204.5,11.0,
13:05:2013,55800.0,0.0,2400.0,22800.0,0.0,0.0,0.0,0,0.0,3900.0,3,"Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,La Casa,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Collis Student Center,Collis Student Center,Hood Museum of Art,Hood Museum of Art",12028.0,2734.0,60.0,388.0,506.4305151416793,171.0,242.0,368.0,31.0,,6497.0,600.0,502.0,590.6363636363636,29.4355999676335,600.0,600.0,600.0,11.0,
14:04:2013,63600.0,1198.0,9530.0,16872.0,0.0,0.0,0.0,-1,0.0,0.0,3,"Class of 1953 Commons,Summer Court Dental,Alexis Boss Tennis Center,Alexis Boss Tennis Center,Collis Student Center,Collis Student Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Class of 1953 Commons",23996.0,6646.0,60.0,799.8666666666667,1295.310367103744,158.5,252.0,860.25,30.0,1.0,4710.0,1205.0,1130.0,1177.5,34.27827300200522,1163.75,1187.5,1201.25,4.0,1.0
14:05:2013,68995.0,0.0,7804.0,9601.0,0.0,0.0,0.0,1,0.0,6600.0,3,"Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Collis Student Center,Collis Student Center,Rockefeller Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,Berry Sports Center,Topliff Hall",9360.0,9360.0,9360.0,9360.0,,9360.0,9360.0,9360.0,1.0,,6000.0,1200.0,600.0,666.6666666666666,200.0,600.0,600.0,600.0,9.0,
15:04:2013,62397.0,0.0,0.0,26403.0,0.0,0.0,0.0,0,0.0,3900.0,3,"Class of 1953 Commons,Kemeny Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Sarner Underground,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Collis Student Center,Sudikoff Hall",24230.0,3445.0,40.0,692.2857142857143,830.3979050264211,141.0,323.0,923.0,35.0,1.0,7196.0,1215.0,1176.0,1199.3333333333333,12.738393409950357,1200.0,1201.0,1202.75,6.0,1.5
15:05:2013,62998.0,0.0,2400.0,21002.0,0.0,0.0,0.0,2,0.0,10500.0,3,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Baker Memorial Library,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Thornton Hall,Dartmouth College,Collis Student Center,Collis Student Center,Hopkins Center for the Arts",23718.0,8120.0,60.0,790.6,1455.5444437000908,143.75,317.5,979.5,30.0,,15186.0,5526.0,600.0,1518.6,1801.816194843414,600.0,600.0,1093.5,10.0,
16:04:2013,66003.0,2400.0,7198.0,2400.0,1199.0,0.0,0.0,1,1.0,6600.0,3,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sphinx Secret Society,0,Alumni Gymnasium,0,Robinson Hall,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College",28265.0,6202.0,71.0,1130.6,1681.6287987147064,182.0,474.0,947.0,25.0,1.0,4815.0,1205.0,1200.0,1203.75,2.5,1203.75,1205.0,1205.0,4.0,2.0
16:05:2013,67916.0,0.0,17400.0,3000.0,0.0,0.0,0.0,3,1.0,6900.0,3,"Hood Museum of Art,New Hampshire Hall,Wilson Hall,Wilson Hall,Hood Museum of Art,New Hampshire Hall,New Hampshire Hall,Wilson Hall,Wilson Hall,New Hampshire Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Harpoon Brewery,Harpoon Brewery,Harpoon Brewery,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Sports Center",1180.0,505.0,50.0,236.0,216.18394945046225,70.0,121.0,434.0,5.0,,9451.0,4202.0,506.0,945.1,1144.8453025045203,600.0,600.0,600.0,10.0,
17:04:2013,49200.0,4800.0,2400.0,30000.0,0.0,0.0,0.0,2,0.0,10500.0,3,"Dartmouth College,Fairchild Physical Sciences Center,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Collis Student Center,Hanover Inn Dartmouth,0,0,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Collis Student Center,Collis Student Center,Hopkins Center for the Arts",33179.0,7110.0,40.0,1327.16,2105.2133636918297,121.0,302.0,948.0,25.0,2.0,5774.0,1204.0,1093.0,1154.8,48.85386371618932,1122.0,1153.0,1202.0,5.0,4.0
17:05:2013,67203.0,0.0,0.0,16202.0,0.0,1195.0,0.0,4,0.0,3000.0,3,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,0",19526.0,9350.0,121.0,1502.0,2483.9796027074512,232.0,686.0,1587.0,13.0,,10665.0,1793.0,526.0,820.3846153846154,395.45765438319233,600.0,600.0,1169.0,13.0,
18:04:2013,60002.0,2400.0,8398.0,16800.0,0.0,0.0,0.0,3,0.0,6900.0,3,"Wilson Hall,Wilson Hall,Wilson Hall,Wilson Hall,Sudikoff Hall,Sudikoff Hall,0,0,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College",27854.0,4640.0,60.0,844.060606060606,1100.9539880086363,111.0,403.0,978.0,33.0,2.0,1200.0,1200.0,1200.0,1200.0,,1200.0,1200.0,1200.0,1.0,4.0
18:05:2013,82202.0,0.0,3000.0,1200.0,0.0,0.0,0.0,5,0.0,0.0,3,"Dartmouth College,Dartmouth College,Dartmouth College,Hanover Inn Dartmouth,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons",35277.0,6941.0,101.0,1306.5555555555557,1642.7361868197763,322.5,695.0,1331.0,27.0,,14751.0,4200.0,489.0,1134.6923076923076,1144.6448783076337,600.0,600.0,1200.0,13.0,
19:04:2013,48000.0,0.0,0.0,37200.0,0.0,0.0,0.0,4,0.0,3000.0,3,"Dartmouth College,Fairchild Physical Sciences Center,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Collis Student Center",27125.0,4405.0,40.0,821.969696969697,1018.8554388641356,101.0,252.0,1292.0,33.0,,5921.0,2403.0,1118.0,1480.25,616.3799558713764,1179.5,1200.0,1500.75,4.0,
19:05:2013,99600.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,3,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",232.0,232.0,232.0,232.0,,232.0,232.0,232.0,1.0,,4204.0,605.0,599.0,600.5714285714286,1.98805959477601,600.0,600.0,600.0,7.0,
20:04:2013,71931.0,0.0,0.0,18069.0,0.0,0.0,0.0,5,0.0,0.0,3,"Wilson Hall,Wilson Hall,Dartmouth College,Hitchcock Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons",28002.0,5367.0,61.0,1077.0,1283.6588643405223,171.25,625.5,1477.5,26.0,2.0,10694.0,1202.0,1089.0,1188.2222222222222,37.22155886639414,1200.0,1200.0,1201.0,9.0,4.0
20:05:2013,48000.0,1197.0,1800.0,22203.0,0.0,0.0,0.0,0,0.0,3900.0,3,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Collis Student Center,0",9959.0,3384.0,61.0,711.3571428571429,986.6802620709708,231.25,343.0,581.25,14.0,,3502.0,600.0,505.0,583.6666666666666,38.55731664245669,597.75,600.0,600.0,6.0,
21:04:2013,73200.0,0.0,1200.0,8400.0,0.0,0.0,0.0,-1,0.0,0.0,3,"Class of 1953 Commons,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",25008.0,2884.0,70.0,675.8918918918919,815.8871376123791,121.0,262.0,1009.0,37.0,,10802.0,3601.0,1198.0,2160.4,1314.6266770456166,1200.0,1203.0,3600.0,5.0,
22:04:2013,58856.0,0.0,1200.0,33544.0,0.0,0.0,0.0,0,0.0,3900.0,3,"Dartmouth College,Collis Student Center,0,Collis Student Center,Collis Student Center,Sarner Underground,Sarner Underground,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Collis Student Center,Collis Student Center,Sudikoff Hall",23248.0,9114.0,50.0,968.6666666666666,1898.2398864913423,222.0,353.5,605.0,24.0,,2404.0,1204.0,1200.0,1202.0,2.8284271247461903,1201.0,1202.0,1203.0,2.0,
22:05:2013,51600.0,0.0,7200.0,29400.0,0.0,0.0,0.0,2,0.0,10500.0,3,"Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hood Museum of Art,Hanover Inn Dartmouth",8824.0,3561.0,141.0,1470.6666666666667,1392.1492257177986,604.25,842.0,2395.25,6.0,,3532.0,600.0,532.0,588.6666666666666,27.76088375154269,600.0,600.0,600.0,6.0,
23:04:2013,47899.0,0.0,8427.0,22874.0,0.0,0.0,0.0,1,0.0,6600.0,3,"Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sarner Underground,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts",32356.0,3923.0,40.0,980.4848484848484,978.4088844014848,212.0,676.0,1453.0,33.0,1.0,10566.0,1205.0,1.0,1056.6,373.8060102958931,1113.0,1198.5,1203.0,10.0,1.0
23:05:2013,57002.0,598.0,7202.0,19198.0,0.0,0.0,0.0,3,0.0,6900.0,3,"Hanover Inn Dartmouth,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall,Berry Sports Center,Berry Sports Center,0",8834.0,8512.0,151.0,2944.6666666666665,4821.46246831118,161.0,171.0,4341.5,3.0,,2400.0,1800.0,600.0,1200.0,848.5281374238571,900.0,1200.0,1500.0,2.0,
