date,home_time,orthers,recreational_activities,school_time,travel_time,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,level
06:04:2013,17862.0,0.0,523.0,77327.0,0.0,192.0,0.0,5.0,0.0,0.0,60.0,"Sudikoff Hall,Robinson Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Baker Memorial Library,Sudikoff Hall,Baker Memorial Library,Sudikoff Hall,Baker Memorial Library,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Berry Library,Sudikoff Hall,Berry Library,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Kappa Pi Kappa,Sudikoff Hall,Rockefeller Center,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Kappa Pi Kappa,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall",1.0
06:05:2013,85595.0,0.0,3501.0,15600.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,"Hopkins Center for the Arts,Russell Sage Hall,Class of 1953 Commons,Butterfield Hall,Wentworth Hall,Wentworth Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Butterfield Hall",2.5
07:04:2013,46487.0,0.0,1200.0,36120.0,0.0,0.0,0.0,-1.0,0.0,0.0,60.0,"Hopkins Center for the Arts,Dartmouth College,Class of 1953 Commons,Butterfield Hall,Dartmouth College",1.8
07:05:2013,33483.0,0.0,0.0,33717.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,"Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Butterfield Hall,Wentworth Hall,Butterfield Hall,Collis Student Center",1.5
08:04:2013,40723.0,0.0,6001.0,34026.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,"Sudikoff Hall,Robinson Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Wentworth Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Robinson Hall,Class of 1953 Commons,Robinson Hall",2.0
08:05:2013,39600.0,1198.0,7199.0,40803.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,"Collis Student Center,CVS Pharmacy,Butterfield Hall,Butterfield Hall,Robinson Hall,Dartmouth College,Berry Library,Sudikoff Hall,Sudikoff Hall,Silsby Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Butterfield Hall",1.3333333333333333
09:04:2013,57600.0,0.0,8413.0,41117.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,"Robinson Hall,Baker Memorial Library,Baker Memorial Library,Butterfield Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Butterfield Hall,Wentworth Hall,Robinson Hall,Robinson Hall,Class of 1953 Commons,Class of 1953 Commons,Robinson Hall",2.0
09:05:2013,61109.0,0.0,14400.0,9598.0,0.0,0.0,0.0,3.0,0.0,0.0,60.0,"Dartmouth College,Dartmouth College,Collis Student Center,Russell Sage Hall,Dartmouth College,Berry Library,Dartmouth College,Butterfield Hall,Dartmouth College,Wentworth Hall,Class of 1953 Commons,Class of 1953 Commons,Butterfield Hall,Berry Library,Berry Library,Dartmouth College",4.0
10:04:2013,56399.0,0.0,0.0,10800.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons",2.0
10:05:2013,60195.0,0.0,0.0,26108.0,600.0,0.0,0.0,4.0,0.0,0.0,60.0,"Dartmouth College,Robinson Hall,Collis Student Center,Collis Student Center,Butterfield Hall,Wentworth Hall,0,Russell Sage Hall,Parkhurst Hall,Dartmouth College,Dartmouth College,Russell Sage Hall,Butterfield Hall,Class of 1953 Commons,Butterfield Hall,Butterfield Hall,0",1.0
11:04:2013,61693.0,1201.0,1201.0,19907.0,0.0,0.0,0.0,3.0,0.0,0.0,60.0,"Dartmouth College,Baker Memorial Library,Dartmouth College,CVS Pharmacy,Butterfield Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Latin American, Latino/a, and Caribbean House,Latin American, Latino/a, and Caribbean House,Sherman House,Latin American, Latino/a, and Caribbean House,Dartmouth College,Butterfield Hall,Dartmouth College,Dartmouth College,Butterfield Hall,Wentworth Hall,Class of 1953 Commons,Class of 1953 Commons,Robinson Hall,Robinson Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Life Sciences Greenhouse",1.75
11:05:2013,0.0,140664.0,0.0,0.0,4477.0,0.0,0.0,5.0,0.0,0.0,60.0,"0,Terminal A,Terminal A,0,0,Terminal A,Terminal A,0",3.0
12:04:2013,34827.0,0.0,0.0,51617.0,0.0,0.0,0.0,4.0,0.0,0.0,60.0,"Dartmouth College,Robinson Hall,Butterfield Hall,Wentworth Hall,Butterfield Hall,Class of 1953 Commons",2.75
12:05:2013,18600.0,24601.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,60.0,"0,0,0,0,0,0,0,0,0,0,0",2.5
13:04:2013,81584.0,0.0,0.0,3600.0,0.0,1221.0,0.0,5.0,0.0,0.0,60.0,"Class of 1953 Commons,Dartmouth College,Russell Sage Hall,Class of 1953 Commons,Class of 1953 Commons,Butterfield Hall,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall",3.25
13:05:2013,8399.0,62466.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",
14:04:2013,32431.0,0.0,23969.0,37239.0,0.0,0.0,0.0,-1.0,0.0,0.0,60.0,"Russell Sage Hall,Russell Sage Hall,Butterfield Hall,Russell Sage Hall,Berry Library,Russell Sage Hall,Class of 1953 Commons,Class of 1953 Commons,Russell Sage Hall,Starbucks",3.25
14:05:2013,10801.0,114844.0,0.0,599.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,"0,0,0,0,0,Louisiana State University Health Sciences Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terminal Ramp,Terminal Ramp,Terminal Ramp",
15:04:2013,16130.0,0.0,0.0,65962.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,"Dartmouth College,Latin American, Latino/a, and Caribbean House,Russell Sage Hall,Russell Sage Hall,Class of 1953 Commons,Dartmouth College,Robinson Hall,Dartmouth College,Wentworth Hall,Robinson Hall",3.3333333333333335
15:05:2013,41493.0,0.0,2397.0,3000.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,"Butterfield Hall,Thornton Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall",2.0
16:04:2013,62184.0,1202.0,0.0,21591.0,1199.0,0.0,0.0,1.0,0.0,0.0,60.0,"Dartmouth College,Dartmouth College,Thel,Dartmouth College,Butterfield Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,0,Sudikoff Hall,Morton Hall,0,0,Russell Sage Hall",2.6666666666666665
16:05:2013,39629.0,0.0,2403.0,42913.0,0.0,0.0,0.0,3.0,0.0,0.0,60.0,"Butterfield Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Russell Sage Hall,Butterfield Hall,Dartmouth College,Dartmouth College,Butterfield Hall,Wentworth Hall,Collis Student Center,Baker Memorial Library,Baker Memorial Library",1.0
17:04:2013,68312.0,0.0,0.0,18088.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,"Robinson Hall,Russell Sage Hall,0,0,Butterfield Hall,Sudikoff Hall,Sudikoff Hall,Russell Sage Hall,Wentworth Hall,Butterfield Hall",1.8
17:05:2013,37228.0,0.0,1766.0,48015.0,0.0,0.0,0.0,4.0,0.0,0.0,60.0,"Dartmouth College,Dartmouth College,Baker Memorial Library,Robinson Hall,Collis Student Center,Dartmouth College,Class of 1953 Commons,Collis Student Center,Butterfield Hall,Russell Sage Hall,Wentworth Hall,Butterfield Hall,Russell Sage Hall,Collis Student Center",1.0
18:04:2013,54080.0,1129.0,9563.0,17957.0,0.0,0.0,1271.0,3.0,0.0,0.0,60.0,"Baker Memorial Library,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Russell Sage Hall,Russell Sage Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Butterfield Hall,Russell Sage Hall,Russell Sage Hall,Nugget Arcade,Hanover Park,Hopkins Center for the Arts,Hopkins Center for the Arts,Collis Student Center,Dartmouth College,Dartmouth College,Butterfield Hall,Wentworth Hall,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse",1.0
18:05:2013,74806.0,0.0,6621.0,4664.0,0.0,1199.0,0.0,5.0,0.0,0.0,60.0,"Dartmouth College,Robinson Hall,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Butterfield Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Butterfield Hall,Russell Sage Hall,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Nu Delta Beta,Rockefeller Center,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
19:04:2013,60002.0,2496.0,14147.0,9595.0,1105.0,0.0,0.0,4.0,0.0,0.0,60.0,"Butterfield Hall,Topliff Courts,Berry Sports Center,Berry Sports Center,Hood Museum of Art,Dartmouth College,Collis Student Center,Hopkins Center for the Arts,Blunt Alumni Center,Butterfield Hall,Wentworth Hall,Life Sciences Greenhouse,0,Von Bargen's Jewelry,Boloco,Dartmouth Co-Op,Dartmouth College",2.2857142857142856
19:05:2013,83465.0,0.0,2778.0,599.0,0.0,0.0,0.0,-1.0,0.0,0.0,60.0,"Dartmouth College,Butterfield Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Butterfield Hall,Collis Student Center,Butterfield Hall,Butterfield Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Russell Sage Hall",4.0
20:04:2013,79122.0,0.0,1199.0,1200.0,0.0,3678.0,0.0,5.0,0.0,0.0,60.0,"Butterfield Hall,Baker Memorial Library,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Butterfield Hall,Russell Sage Hall,Latin American, Latino/a, and Caribbean House,Dartmouth College,Cutter Shabazz Hall,Butterfield Hall,Dartmouth College,Kappa Pi Kappa,Dartmouth College,Cutter Shabazz Hall,Kappa Pi Kappa,Kappa Pi Kappa,Butterfield Hall,Dartmouth College,Dartmouth College",4.5
20:05:2013,40802.0,0.0,2400.0,44415.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Butterfield Hall,Class of 1953 Commons,Butterfield Hall,Dartmouth College,Wentworth Hall,Collis Student Center,Collis Student Center,Dartmouth College,Butterfield Hall",4.0
21:04:2013,81002.0,0.0,2456.0,3600.0,0.0,0.0,0.0,-1.0,0.0,0.0,60.0,"Class of 1953 Commons,Class of 1953 Commons,Butterfield Hall,Dartmouth College,Butterfield Hall,Butterfield Hall,Russell Sage Hall,Butterfield Hall,Topliff Hall,0,Butterfield Hall,Hopkins Center for the Arts,Hopkins Center for the Arts",1.0
21:05:2013,58818.0,0.0,6599.0,19524.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,"Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Collis Student Center,Hopkins Center for the Arts,Collis Student Center,Butterfield Hall,Russell Sage Hall,Collis Student Center,Dartmouth College,Butterfield Hall,Wentworth Hall,Wheeler Hall,Berry Library,Berry Library,Sudikoff Hall,Sudikoff Hall,Berry Library,Berry Library,Butterfield Hall",3.25
22:04:2013,52864.0,0.0,0.0,33537.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,"Collis Student Center,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall,Wentworth Hall,Wentworth Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Russell Sage Hall",1.0
22:05:2013,49218.0,0.0,0.0,37805.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,"Butterfield Hall,Robinson Hall,Collis Student Center,Robinson Hall,Collis Student Center,Collis Student Center,House Center B,Butterfield Hall,Russell Sage Hall,Russell Sage Hall,Butterfield Hall,Butterfield Hall,Collis Student Center",3.3333333333333335
23:04:2013,27049.0,0.0,2375.0,60099.0,0.0,0.0,0.0,1.0,0.0,0.0,60.0,"Butterfield Hall,Dartmouth College,Baker Memorial Library,Sudikoff Hall,Sudikoff Hall,Butterfield Hall,Butterfield Hall,Russell Sage Hall,Berry Library,Sudikoff Hall,Carson Hall,Wentworth Hall,Butterfield Hall",1.6666666666666667
23:05:2013,72380.0,0.0,3001.0,19198.0,0.0,0.0,0.0,3.0,0.0,0.0,60.0,"Dartmouth College,Butterfield Hall,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Blunt Alumni Center,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Butterfield Hall,Robinson Hall",4.0
24:04:2013,71173.0,0.0,0.0,15600.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,"Collis Student Center,Robinson Hall,Butterfield Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Butterfield Hall",2.0
24:05:2013,61209.0,0.0,0.0,16199.0,0.0,0.0,0.0,4.0,0.0,0.0,60.0,"Collis Student Center,Butterfield Hall,Wentworth Hall,Butterfield Hall,Dartmouth College",2.5
25:04:2013,57607.0,0.0,5999.0,18000.0,1199.0,0.0,0.0,3.0,0.0,0.0,60.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Sanborn House,Butterfield Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall,Wentworth Hall,Maynard Parking Lot,Berry Library,Berry Library,Carpenter Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Guarini Institute for International Education",2.5
25:05:2013,67203.0,0.0,18000.0,600.0,0.0,0.0,0.0,5.0,0.0,0.0,60.0,"Collis Student Center,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Butterfield Hall,Berry Library,Russell Sage Hall,Butterfield Hall",1.0
26:04:2013,72000.0,0.0,0.0,14400.0,0.0,0.0,0.0,4.0,0.0,0.0,60.0,"Dartmouth College,Dartmouth College,Collis Student Center,Robinson Hall,Russell Sage Hall,Dartmouth College,Dartmouth College,Butterfield Hall,Russell Sage Hall,Wentworth Hall,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Butterfield Hall",4.0
26:05:2013,73640.0,0.0,3000.0,8999.0,5323.0,0.0,0.0,-1.0,0.0,0.0,60.0,"Russell Sage Hall,Russell Sage Hall,Russell Sage Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Inn Dartmouth,Butterfield Hall,Dartmouth College,South Block Parking Garage,Butterfield Hall,Butterfield Hall,Class of 1953 Commons,Butterfield Hall,Russell Sage Hall,Collis Student Center,House Center B,Russell Sage Hall,Dartmouth College,Russell Sage Hall,Butterfield Hall,Russell Sage Hall,Butterfield Parking Lot,Russell Sage Hall,Russell Sage Hall,Russell Sage Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",4.0
27:03:2013,31201.0,0.0,4798.0,9599.0,0.0,0.0,0.0,2.0,0.0,0.0,60.0,"Butterfield Hall,Alumni Gymnasium,Alumni Gymnasium,Butterfield Hall,Butterfield Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Reed Hall,Reed Hall,Hopkins Center for the Arts",1.8
27:04:2013,59862.0,0.0,15589.0,8845.0,0.0,7198.0,0.0,5.0,0.0,0.0,60.0,"Berry Library,Berry Library,Baker Memorial Library,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Berry Library,Berry Library,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Butterfield Hall,Russell Sage Hall,Russell Sage Hall,Butterfield Hall,Butterfield Hall,Beta Alpha Omega,Dartmouth College,Beta Alpha Omega,Beta Alpha Omega,Collis Student Center,Butterfield Hall",1.0
27:05:2013,10203.0,1199.0,66598.0,3001.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Butterfield Hall,Dartmouth College,Berry Library,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dick's House",3.0
28:03:2013,34714.0,0.0,6000.0,44485.0,1201.0,0.0,0.0,3.0,0.0,0.0,60.0,"Hopkins Center for the Arts,Baker Memorial Library,Baker Memorial Library,Dartmouth College,Robinson Hall,Robinson Hall,Dartmouth College,Robinson Hall,Collis Student Center,Dartmouth College,Collis Student Center,Collis Student Center,Russell Sage Hall,Dartmouth College,Collis Student Center,Dartmouth College,Butterfield Hall,Wentworth Hall,Wentworth Hall,Robinson Hall,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",1.8571428571428572
28:04:2013,67913.0,0.0,3600.0,11448.0,0.0,0.0,0.0,-1.0,0.0,0.0,60.0,"Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Russell Sage Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Butterfield Hall,Butterfield Hall,Dartmouth College,Berry Library,Berry Library,Russell Sage Hall",3.25
28:05:2013,63136.0,1068.0,6599.0,9002.0,5401.0,599.0,0.0,1.0,0.0,0.0,60.0,"Butterfield Hall,Dartmouth College,Butterfield Hall,Russell Sage Hall,Butterfield Hall,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Sushiya,0,Dartmouth College,Butterfield Hall,Dartmouth College,Dartmouth College,Berry Library,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Sphinx Secret Society,0,Dartmouth College,Butterfield Hall,Wentworth Hall,Butterfield Hall,Butterfield Hall,Hopkins Center for the Arts,Butterfield Hall,Dartmouth College,Berry Library,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Dick's House",3.0
29:03:2013,37230.0,0.0,0.0,49170.0,0.0,0.0,0.0,4.0,0.0,0.0,60.0,"Robinson Hall,Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College,Russell Sage Hall,Russell Sage Hall,Dartmouth College,Robinson Hall,Collis Student Center,Robinson Hall,Dartmouth College,Dartmouth College,Butterfield Hall,Wentworth Hall,Wentworth Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Robinson Hall",3.8
29:04:2013,31200.0,0.0,12000.0,40799.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,"Berry Library,Class of 1953 Commons,Collis Student Center,Collis Student Center,Robinson Hall,Robinson Hall,Sudikoff Hall,Butterfield Hall,Wentworth Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Butterfield Hall,Russell Sage Hall,Butterfield Hall",1.5714285714285714
29:05:2013,67531.0,0.0,0.0,27359.0,1200.0,0.0,0.0,2.0,0.0,0.0,60.0,"Maynard Parking Lot,Robinson Hall,Butterfield Hall,Butterfield Hall,Collis Student Center,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Butterfield Hall",2.0
