date,home_time,orthers,travel_time,school_time,shopping,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names,level
12:04:2013,67227.0,0.0,0.0,19200.0,0.0,0.0,4.0,0.0,0.0,46.0,"Dartmouth College,Anonymous Hall,0,Life Sciences Greenhouse,Life Sciences Greenhouse",3.0
12:05:2013,76800.0,7200.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,46.0,"Dartmouth College,Dick's House,Dick's House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
13:04:2013,14318.0,44400.0,1200.0,34882.0,0.0,0.0,5.0,0.0,0.0,46.0,"Dartmouth College,Dartmouth College,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0,0,0",1.0
13:05:2013,44400.0,43200.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",
14:04:2013,0.0,54001.0,0.0,26968.0,0.0,0.0,-1.0,0.0,0.0,46.0,"Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0,0,0,0,0,0,0,0,0,0",3.0
14:05:2013,30000.0,132192.0,0.0,2400.0,0.0,0.0,1.0,0.0,0.0,46.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,0,0,0,0,0,0",
15:04:2013,0.0,49713.0,0.0,38398.0,0.0,0.0,0.0,0.0,0.0,46.0,"Anonymous Hall,0",3.0
15:05:2013,13201.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,Dartmouth College,
16:04:2013,37065.0,140839.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"Dartmouth College,Dartmouth College,Dartmouth College,0,0,0",
16:05:2013,3600.0,0.0,0.0,0.0,0.0,183240.0,3.0,0.0,0.0,46.0,"0,Dartmouth College,0,Dartmouth College,Dartmouth College,Berry Library,Berry Library",
18:04:2013,3600.0,55140.0,9659.0,12000.0,0.0,0.0,3.0,0.0,0.0,46.0,"F Lot Parking,F Lot Parking,0,0,0,0,0,0,0,0",
18:05:2013,2399.0,154620.0,6000.0,0.0,0.0,0.0,5.0,0.0,0.0,46.0,"0,0,0,0,0",
19:04:2013,7128.0,0.0,196916.0,0.0,0.0,0.0,4.0,0.0,0.0,46.0,"Dartmouth College,F Lot Parking,0,0,0,0",
20:05:2013,26399.0,55200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"Dartmouth College,0",
21:04:2013,0.0,46806.0,21600.0,0.0,0.0,0.0,-1.0,0.0,0.0,46.0,"0,0,F Lot Parking",
21:05:2013,9602.0,64801.0,7198.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0",
22:04:2013,40800.0,32400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"0,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0",
22:05:2013,263890.0,1198.0,0.0,0.0,0.0,1202.0,2.0,0.0,0.0,46.0,"Dartmouth College,Dartmouth College,0,Jewel of India,Dartmouth College",
23:04:2013,38493.0,46707.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",
24:04:2013,349028.0,0.0,1181.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,"G Lot Parking,Dartmouth College,Dartmouth College,Dartmouth College",
25:05:2013,38405.0,44400.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,46.0,"Dartmouth College,Thomas Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0",
26:05:2013,87384.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,46.0,"Dartmouth College,Dartmouth College",
27:05:2013,76801.0,24000.0,0.0,1199.0,0.0,0.0,0.0,0.0,0.0,46.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0",
28:04:2013,86269.0,0.0,9686.0,10798.0,0.0,0.0,-1.0,0.0,0.0,46.0,"0,F Lot Parking,Dartmouth College,Dartmouth College,0,Dartmouth College",
28:05:2013,25200.0,49200.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0",
29:04:2013,38445.0,20400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0,0",3.0
29:05:2013,22800.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,"Dartmouth College,Dartmouth College",
30:04:2013,45600.0,40400.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"0,0,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0",3.0
