date,home_time,school_time,travel_time,orthers,shopping,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names,level
09:04:2013,40799.0,2400.0,0.0,0.0,0.0,6000.0,1.0,0.0,0.0,57.0,"0,Moore Psychology Building,Dartmouth College,Dartmouth College,Berry Library",2.5
10:04:2013,66000.0,21603.0,0.0,1198.0,0.0,0.0,2.0,0.0,0.0,57.0,"Dartmouth College,Dartmouth College,Dartmouth College,Moore Psychology Building,Emerson House,0,Moore Psychology Building",1.0
11:04:2013,142799.0,14400.0,0.0,2400.0,0.0,0.0,3.0,0.0,0.0,57.0,"Dartmouth College,Dartmouth College,Moore Psychology Building,Emerson House,0,0,Emerson House,0",4.0
12:04:2013,0.0,34800.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,57.0,Moore Psychology Building,1.0
13:04:2013,219602.0,0.0,1200.0,2400.0,0.0,0.0,5.0,0.0,0.0,57.0,"0,0,0",1.0
13:05:2013,2398.0,27600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,"Dartmouth College,Dartmouth College,Moore Psychology Building",
14:05:2013,54000.0,27600.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,"0,0,Moore Psychology Building",
15:04:2013,0.0,13201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,Moore Psychology Building,2.0
15:05:2013,45599.0,7201.0,14400.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,"Native American House Parking Lot,0,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Dartmouth College,Moore Psychology Building",1.0
16:04:2013,52800.0,26400.0,1199.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,"0,Moore Psychology Building,0,Moore Psychology Building,Moore Psychology Building",2.0
16:05:2013,61199.0,45602.0,2400.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,"Moore Psychology Building,Moore Psychology Building,Native American House Parking Lot,Native American House,Moore Psychology Building,Moore Psychology Building,Dartmouth College,Moore Psychology Building,Moore Psychology Building,0,Moore Psychology Building",1.0
17:04:2013,58800.0,36000.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,"Dartmouth College,Dartmouth College,Dartmouth College,Moore Psychology Building,0,Moore Psychology Building",2.0
17:05:2013,50399.0,24000.0,1200.0,0.0,0.0,0.0,4.0,0.0,0.0,57.0,"Dartmouth College,0,0,Dartmouth College,Moore Psychology Building",1.0
18:04:2013,45600.0,45603.0,0.0,8401.0,3599.0,0.0,3.0,0.0,0.0,57.0,"Dartmouth College,Dartmouth College,Moore Psychology Building,0,Hanover Park,0,Moore Psychology Building",1.0
18:05:2013,238005.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,0,1.0
19:04:2013,49200.0,9603.0,1200.0,0.0,0.0,1197.0,4.0,0.0,0.0,57.0,"Berry Library,Dartmouth College,Dartmouth College,0,0,Moore Psychology Building,Dartmouth College,Moore Psychology Building",
20:04:2013,101997.0,14400.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,"Dartmouth College,Dartmouth College,Moore Psychology Building,Dartmouth College",2.0
20:05:2013,0.0,37200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,Moore Psychology Building,1.0
21:04:2013,136677.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,57.0,0,
21:05:2013,46800.0,8405.0,2400.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,"Dartmouth College,Dartmouth College,0,0,0,Moore Psychology Building",1.0
22:04:2013,0.0,31200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,Moore Psychology Building,2.0
22:05:2013,45593.0,43201.0,2402.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,"Dartmouth College,Moore Psychology Building,Moore Psychology Building,Dartmouth College,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,0,0,0,Dartmouth College,Moore Psychology Building",1.0
23:04:2013,55200.0,8400.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,"Dartmouth College,0,Moore Psychology Building",3.0
23:05:2013,67200.0,18000.0,1200.0,1199.0,0.0,0.0,3.0,0.0,0.0,57.0,"White Mountains Insurance Group,0,Moore Psychology Building,Dartmouth College,0,Dartmouth College",1.0
24:04:2013,49200.0,34800.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,"Dartmouth College,Dartmouth College,Moore Psychology Building,0,Moore Psychology Building,Dartmouth College",
24:05:2013,45600.0,26400.0,9600.0,1200.0,0.0,0.0,4.0,0.0,0.0,57.0,"White Mountains Insurance Group,Moore Psychology Building,Dartmouth College,Hanover Inn Valet Lot,Dartmouth College,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Dartmouth College,Dartmouth College,0,Moore Psychology Building",1.0
25:04:2013,72000.0,20400.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,"Dartmouth College,Moore Psychology Building,Moore Psychology Building,Dartmouth College,Dartmouth College,Moore Psychology Building,0,0,0,Moore Psychology Building",3.0
25:05:2013,53999.0,55200.0,1200.0,1201.0,0.0,0.0,5.0,0.0,0.0,57.0,"0,Moore Psychology Building,Dartmouth College,Moore Psychology Building,Dartmouth College,0,0,Moore Psychology Building",
26:04:2013,49200.0,32400.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,57.0,"0,Moore Psychology Building,0,Moore Psychology Building",3.0
26:05:2013,76546.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,57.0,0,
27:03:2013,4800.0,4799.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,"Moore Psychology Building,Moore Psychology Building,Dartmouth College",
27:04:2013,229201.0,19200.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,57.0,"Dartmouth College,0,0,Moore Psychology Building,Moore Psychology Building,Dartmouth College,Moore Psychology Building,0",3.0
27:05:2013,38400.0,27601.0,1200.0,0.0,0.0,1199.0,0.0,0.0,0.0,57.0,"0,Moore Psychology Building,0,Moore Psychology Building,Berry Library,0,0",
28:03:2013,0.0,39602.0,0.0,53999.0,0.0,0.0,3.0,0.0,0.0,57.0,"Moore Psychology Building,0,Moore Psychology Building",4.5
28:05:2013,56870.0,32400.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,"0,Moore Psychology Building,Dartmouth College,0",
29:03:2013,47426.0,20401.0,0.0,0.0,0.0,222158.0,4.0,0.0,0.0,57.0,"Dartmouth College,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,0,0,Dartmouth College,Boloco",4.0
29:04:2013,0.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,Moore Psychology Building,3.0
29:05:2013,64800.0,20400.0,1200.0,0.0,0.0,0.0,2.0,0.0,0.0,57.0,"Moore Psychology Building,Native American House Parking Lot,Moore Psychology Building,0,Moore Psychology Building,Moore Psychology Building,Dartmouth College",
30:04:2013,55201.0,46801.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,57.0,"0,0,Moore Psychology Building,0,Moore Psychology Building",2.5
30:05:2013,68401.0,27600.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,57.0,"Dartmouth College,Moore Psychology Building,0,0,Moore Psychology Building,0,Dartmouth College",
31:05:2013,58795.0,4800.0,4804.0,6000.0,0.0,0.0,4.0,0.0,0.0,57.0,"Dartmouth College,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Dartmouth College,Dartmouth College,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Dartmouth College,White Mountains Insurance Group,White Mountains Insurance Group,Dartmouth College,Moore Psychology Building,Moore Psychology Building,Dartmouth College,Dartmouth College,Dartmouth College",
