date,home_time,recreational_activities,travel_time,school_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,level
10:04:2013,8398.0,3602.0,44791.0,21600.0,0.0,2,0.0,17100.0,26,"Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Sanborn House,Hopkins Center for the Arts,Lodge Parking Lot,Class of 1978 Life Sciences Center,Berry Library,Dartmouth College,Dartmouth College,Moore Psychology Building",
11:04:2013,58987.0,15598.0,7201.0,2400.0,2401.0,3,1.0,9900.0,26,"Moore Psychology Building,Dartmouth College,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,West Stands,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,The Lodge,Lodge Parking Lot,Hood Museum of Art,Dartmouth College,Dartmouth College,Sanborn House,Dartmouth College,Dartmouth College,Four Seasons | Sotheby's,0,Life Sciences Greenhouse,Life Sciences Greenhouse",
12:04:2013,65830.0,12002.0,0.0,8399.0,0.0,4,0.0,3000.0,26,"The Lodge,Wentworth Hall,Alumni Gymnasium,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Moore Psychology Building",
13:04:2013,11999.0,127838.0,33600.0,2400.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Moore Psychology Building,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Alumni Gymnasium",3.0
15:04:2013,67195.0,9604.0,0.0,7200.0,0.0,0,0.0,3900.0,26,"The Lodge,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,The Lodge,Moore Psychology Building",
15:05:2013,37200.0,0.0,2404.0,4798.0,3599.0,2,1.0,17100.0,26,"Sudikoff Hall,Dartmouth College,Four Seasons | Sotheby's,Lodge Parking Lot,Moore Psychology Building",
16:04:2013,45600.0,28798.0,7202.0,3600.0,0.0,1,1.0,13200.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,West Stands,Alumni Gymnasium,The Lodge,Lodge Parking Lot,Dartmouth College,Dartmouth College,Lodge Parking Lot,Lodge Parking Lot,Hopkins Center for the Arts,The Lodge,Lodge Parking Lot,Dartmouth College,Alumni Gymnasium,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Dartmouth College",3.5
16:05:2013,778304.0,8400.0,2400.0,5998.0,10804.0,3,1.0,9900.0,26,"Moore Psychology Building,Alumni Gymnasium,Lodge Parking Lot,Four Seasons | Sotheby's,Dartmouth College,Dartmouth Outing Club House,Dartmouth College,House Center B,House Center B,Dartmouth College",
17:04:2013,0.0,0.0,85357.0,2406.0,0.0,2,1.0,17100.0,26,"Lodge Parking Lot,Moore Psychology Building",
18:04:2013,44399.0,12568.0,14403.0,6000.0,8400.0,3,1.0,9900.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,The Lodge,Lodge Parking Lot,Alumni Gymnasium,Dartmouth College,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Sudikoff Hall,Sudikoff Hall,Four Seasons | Sotheby's,4 Currier Place Parking Lot,Lodge Parking Lot,4 Currier Place Parking Lot,Lodge Parking Lot,The Lodge,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",1.0
19:04:2013,53999.0,10800.0,19201.0,2400.0,0.0,4,0.0,3000.0,26,"Lodge Parking Lot,Alumni Gymnasium,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Lodge Parking Lot,Dartmouth College,Lodge Parking Lot,Dartmouth College,South Fayerweather Hall,Dartmouth College,Moore Psychology Building",
20:04:2013,28800.0,1200.0,67807.0,7200.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Hopkins Center for the Arts,The Lodge,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Lodge Parking Lot",
21:04:2013,70807.0,1200.0,2400.0,3600.0,0.0,-1,0.0,0.0,26,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Berry Library,Dartmouth College,Gile Hall,0,Lodge Parking Lot,Dartmouth College,The Lodge",
22:04:2013,63600.0,5999.0,2400.0,4800.0,0.0,0,0.0,3900.0,26,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Life Sciences Greenhouse,Lodge Parking Lot,The Lodge,Moore Psychology Building",
23:04:2013,2416.0,37461.0,22788.0,25199.0,0.0,1,0.0,13200.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Berry Library,Lodge Parking Lot,Alumni Gymnasium,Lodge Parking Lot,Lodge Parking Lot,Dartmouth College,Lodge Parking Lot",
24:04:2013,70800.0,5998.0,8400.0,0.0,0.0,2,1.0,17100.0,26,"Alumni Gymnasium,Dartmouth College,Dartmouth College,The Lodge,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Lodge Parking Lot,Hanover Public Parking Garage,The Lodge,The Lodge,Hopkins Center for the Arts",
25:04:2013,140966.0,9600.0,4800.0,0.0,0.0,3,1.0,9900.0,26,"Hopkins Center for the Arts,Alumni Gymnasium,Alumni Gymnasium,Lodge Parking Lot,Lodge Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
25:05:2013,74830.0,1199.0,0.0,0.0,0.0,5,0.0,0.0,26,"Berry Library,Dartmouth College,Andres Hall,Dartmouth College",
26:04:2013,8399.0,0.0,1200.0,7200.0,0.0,4,0.0,3000.0,26,"Lodge Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Moore Psychology Building",
26:05:2013,157296.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,26,Dartmouth College,
27:04:2013,0.0,10800.0,91200.0,8400.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Hopkins Center for the Arts,Hopkins Center for the Arts,Alumni Gymnasium,Lodge Parking Lot,Parker House,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot",
28:03:2013,64140.0,4799.0,6003.0,8399.0,1200.0,3,0.0,9900.0,26,"Dartmouth College,Lodge Parking Lot,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Four Seasons | Sotheby's,Lodge Parking Lot,Dartmouth College,Dartmouth College,Dana Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",4.0
28:04:2013,0.0,2400.0,0.0,0.0,91924.0,-1,0.0,0.0,26,"Hopkins Center for the Arts,Hopkins Center for the Arts,Four Seasons | Sotheby's",
28:05:2013,121577.0,0.0,0.0,0.0,0.0,1,1.0,13200.0,26,Dartmouth College,
29:03:2013,53955.0,18002.0,7200.0,7203.0,0.0,4,0.0,3000.0,26,"Hopkins Center for the Arts,Hopkins Center for the Arts,Lodge Parking Lot,Lodge Parking Lot,Alumni Gymnasium,Lodge Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Moore Psychology Building",1.0
29:04:2013,48000.0,2400.0,3600.0,0.0,0.0,0,1.0,3900.0,26,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Lodge Parking Lot,Lodge Parking Lot,Hopkins Center for the Arts",
29:05:2013,0.0,0.0,4799.0,0.0,0.0,2,1.0,17100.0,26,"Lodge Parking Lot,Lodge Parking Lot,Dartmouth College",
30:03:2013,1200.0,25201.0,72000.0,1200.0,0.0,5,0.0,0.0,26,"Moore Psychology Building,Dartmouth College,Hopkins Center for the Arts,Lodge Parking Lot,Alumni Gymnasium",2.5
30:04:2013,20399.0,7200.0,62400.0,3601.0,1200.0,1,1.0,13200.0,26,"Hopkins Center for the Arts,Four Seasons | Sotheby's,The Lodge,Lodge Parking Lot,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Parker House,Lodge Parking Lot",
31:03:2013,104399.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,26,Dartmouth College,4.0
