date,home_time,school_time,travel_time,recreational_activities,working,orthers,date_in_week,cut_class,class_schedule,volunteer,level
11:04:2013,74402.0,8400.0,2398.0,0.0,0.0,0.0,3,0.0,0.0,53,
11:05:2013,80401.0,1202.0,0.0,7199.0,0.0,0.0,5,0.0,0.0,53,
12:04:2013,83481.0,3604.0,0.0,0.0,0.0,0.0,4,0.0,0.0,53,
12:05:2013,97193.0,1199.0,1200.0,0.0,8401.0,0.0,-1,0.0,0.0,53,
13:04:2013,106801.0,1198.0,0.0,0.0,0.0,0.0,5,0.0,0.0,53,
13:05:2013,60000.0,2398.0,0.0,0.0,0.0,0.0,0,0.0,0.0,53,
14:04:2013,65880.0,0.0,0.0,2396.0,0.0,0.0,-1,0.0,0.0,53,1.0
14:05:2013,80402.0,4799.0,0.0,0.0,0.0,0.0,1,0.0,0.0,53,
15:04:2013,76798.0,0.0,0.0,6001.0,0.0,0.0,0,0.0,0.0,53,2.0
15:05:2013,59148.0,3598.0,0.0,8401.0,13199.0,2401.0,2,0.0,0.0,53,
16:04:2013,70800.0,4800.0,0.0,0.0,9600.0,0.0,1,0.0,0.0,53,1.5
16:05:2013,83999.0,1201.0,0.0,1200.0,0.0,0.0,3,0.0,0.0,53,1.5
17:04:2013,93601.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,53,
17:05:2013,87600.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,53,3.0
18:04:2013,75603.0,2399.0,1199.0,0.0,0.0,0.0,3,0.0,0.0,53,
18:05:2013,77995.0,1200.0,3600.0,1200.0,3601.0,0.0,5,0.0,0.0,53,2.0
19:04:2013,88167.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,53,1.0
19:05:2013,84002.0,0.0,0.0,1200.0,0.0,0.0,-1,0.0,0.0,53,
20:04:2013,86400.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,53,
20:05:2013,81603.0,4799.0,0.0,0.0,0.0,0.0,0,0.0,0.0,53,1.0
21:04:2013,102000.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,53,
21:05:2013,70196.0,0.0,0.0,0.0,13201.0,1802.0,1,0.0,0.0,53,
22:04:2013,72669.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,53,1.0
22:05:2013,82201.0,3598.0,0.0,601.0,0.0,0.0,2,0.0,0.0,53,
23:04:2013,80400.0,0.0,0.0,0.0,0.0,2400.0,1,0.0,0.0,53,4.0
23:05:2013,87003.0,0.0,1799.0,0.0,0.0,0.0,3,0.0,0.0,53,1.0
24:04:2013,97310.0,2400.0,0.0,1200.0,0.0,0.0,2,0.0,0.0,53,
24:05:2013,80399.0,0.0,0.0,0.0,10801.0,0.0,4,0.0,0.0,53,
25:04:2013,75208.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,53,
25:05:2013,84101.0,0.0,0.0,5300.0,0.0,599.0,5,0.0,0.0,53,
26:04:2013,81606.0,2399.0,0.0,0.0,0.0,0.0,4,0.0,0.0,53,1.0
26:05:2013,76200.0,600.0,0.0,1200.0,0.0,0.0,-1,0.0,0.0,53,
27:04:2013,90000.0,1200.0,0.0,0.0,0.0,0.0,5,0.0,0.0,53,
27:05:2013,101698.0,0.0,0.0,600.0,0.0,0.0,0,0.0,0.0,53,
28:03:2013,65999.0,1233.0,8368.0,0.0,0.0,0.0,3,0.0,0.0,53,1.0
28:04:2013,82800.0,0.0,0.0,0.0,2400.0,0.0,-1,0.0,0.0,53,
28:05:2013,71399.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,53,
29:03:2013,79131.0,8397.0,0.0,0.0,0.0,0.0,4,0.0,0.0,53,1.0
29:04:2013,79200.0,0.0,1200.0,3525.0,0.0,0.0,0,0.0,0.0,53,1.0
29:05:2013,67202.0,10199.0,0.0,26794.0,0.0,0.0,2,0.0,0.0,53,
30:03:2013,85200.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,53,1.0
30:04:2013,84075.0,1200.0,0.0,0.0,0.0,0.0,1,0.0,0.0,53,1.5
30:05:2013,71409.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,53,
31:03:2013,98150.0,0.0,0.0,3000.0,0.0,0.0,-1,0.0,0.0,53,2.0
31:05:2013,87599.0,0.0,0.0,0.0,1200.0,0.0,4,0.0,0.0,53,
