date,home_time,school_time,recreational_activities,travel_time,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names,level
06:05:2013,9681.0,68399.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,"Dartmouth College,Class of 1953 Commons,Dartmouth College,House Center B,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",
07:04:2013,43200.0,57600.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,18.0,"House Center B,Dartmouth College",
07:05:2013,1199.0,92403.0,7200.0,3597.0,0.0,0.0,1.0,0.0,10500.0,18.0,"Dartmouth College,House Center B,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Vox Lane Parking Lot,Vox Lane Parking Lot,Mass Parking Lot,House Center B,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Mass Parking Lot,House Center B,House Center B",3.0
08:04:2013,2400.0,74400.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,"Dartmouth College,House Center B,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,House Center B",
08:05:2013,2400.0,67202.0,0.0,5399.0,0.0,0.0,2.0,0.0,14400.0,18.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,House Center B,Mass Parking Lot,Collis Student Center,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse,Dana Circle Parking Lot,Sudikoff Hall,House Center B",3.0
09:04:2013,1200.0,151200.0,0.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,"Dartmouth College,House Center B",
09:05:2013,3600.0,61804.0,89566.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,"Black Family Visual Arts Center,Hopkins Center for the Arts,Hood Museum of Art,Black Family Visual Arts Center,Hopkins Center for the Arts,Black Family Visual Arts Center,House Center B,Dartmouth College,Dartmouth College,House Center B,0,Hopkins Center for the Arts",3.0
10:04:2013,1200.0,7202.0,3599.0,0.0,1199.0,0.0,2.0,1.0,14400.0,18.0,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Rollins Chapel,Black Family Visual Arts Center",
10:05:2013,50886.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,18.0,Life Sciences Greenhouse,
11:04:2013,1201.0,75600.0,7200.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,"Sudikoff Hall,Sudikoff Hall,House Center B,Hopkins Center for the Arts,Class of 1978 Life Sciences Center,Life Sciences Greenhouse",
11:05:2013,0.0,70203.0,0.0,1200.0,0.0,0.0,5.0,0.0,0.0,18.0,"House Center B,Native American House Parking Lot,House Center B",3.0
12:04:2013,51600.0,34802.0,0.0,1200.0,0.0,0.0,4.0,0.0,6000.0,18.0,"Sudikoff Hall,House Center B,Sudikoff Hall,House Center B,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Sudikoff Hall,Sudikoff Hall",3.0
12:05:2013,4200.0,77400.0,1200.0,0.0,0.0,0.0,-1.0,0.0,0.0,18.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,0,Hopkins Center for the Arts,Dartmouth College,House Center B",
13:04:2013,0.0,175198.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,"Sanborn House,House Center B",
13:05:2013,5399.0,66601.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B,Dartmouth College,Sudikoff Hall,Dartmouth College,House Center B",
14:05:2013,0.0,81600.0,9000.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,"Sudikoff Hall,House Center B,Hopkins Center for the Arts,House Center B",
15:04:2013,16799.0,67271.0,1199.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,"Dartmouth College,Dartmouth College,House Center B,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,House Center B,Dartmouth College,Dartmouth College,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,House Center B",3.0
15:05:2013,0.0,77400.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,"Sudikoff Hall,Sudikoff Hall,Collis Student Center,Collis Student Center,House Center B,Sudikoff Hall",3.0
16:04:2013,1197.0,92404.0,8400.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,"House Center B,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B,Hopkins Center for the Arts,Hopkins Center for the Arts,House Center B",3.0
16:05:2013,0.0,158400.0,6000.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,"Sudikoff Hall,Sudikoff Hall,Hood Museum of Art,Hopkins Center for the Arts,House Center B",
17:04:2013,9598.0,58802.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B,Sudikoff Hall,Sudikoff Hall,Hitchcock Hall,House Center B,House Center B,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",2.0
17:05:2013,0.0,11400.0,0.0,0.0,0.0,0.0,4.0,0.0,6000.0,18.0,"Sudikoff Hall,Sudikoff Hall,House Center B",3.0
18:04:2013,20399.0,64800.0,0.0,1200.0,0.0,0.0,3.0,0.0,6900.0,18.0,"Dartmouth College,Sudikoff Hall,Dartmouth College,House Center B,House Center B,Dartmouth College,House Center B,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Life Sciences Greenhouse",3.0
18:05:2013,17997.0,228604.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,"Sanborn House,Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B,Dartmouth College,House Center B",3.0
19:04:2013,8398.0,67202.0,10800.0,0.0,0.0,0.0,4.0,0.0,6000.0,18.0,"Dartmouth College,House Center B,Berry Sports Center,Berry Sports Center,Berry Sports Center,House Center B,House Center B,Dartmouth College,Dartmouth College,House Center B,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts",3.0
20:04:2013,7200.0,82256.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,"House Center B,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,House Center B,Dartmouth College,House Center B,Dartmouth College",2.0
20:05:2013,600.0,15599.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,"Dartmouth College,Sudikoff Hall,House Center B",3.0
21:04:2013,86400.0,3600.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,18.0,"Dartmouth College,House Center B,House Center B,Dartmouth College,House Center B,Dartmouth College",3.0
21:05:2013,2999.0,143401.0,7196.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Collis Student Center,Collis Student Center,House Center B,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,House Center B",3.0
22:04:2013,14295.0,73305.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,House Center B,Robinson Hall,Collis Student Center,House Center B,Sudikoff Hall,Sudikoff Hall,House Center B",3.0
22:05:2013,0.0,19201.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,"Parker House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",3.0
23:04:2013,1200.0,77514.0,7200.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,"Sudikoff Hall,House Center B,Hopkins Center for the Arts,Sudikoff Hall,Dartmouth College,House Center B",3.0
23:05:2013,6596.0,68404.0,7800.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sanborn House,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,Hopkins Center for the Arts,Life Sciences Greenhouse,House Center B",
24:04:2013,0.0,79964.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,18.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,House Center B,Dartmouth Hall,House Center B",
24:05:2013,17998.0,75112.0,0.0,494.0,0.0,0.0,4.0,0.0,6000.0,18.0,"Life Sciences Greenhouse,Guarini Institute for International Education,Life Sciences Greenhouse,House Center B,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Mass Parking Lot,House Center B",3.0
25:04:2013,5999.0,72000.0,7200.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,House Center B,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse",
25:05:2013,6000.0,73200.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,House Center B,Dartmouth College,Dartmouth College,House Center B",
26:04:2013,8800.0,75601.0,1200.0,3199.0,0.0,0.0,4.0,0.0,6000.0,18.0,"Dartmouth College,House Center B,Sudikoff Hall,Dana Circle Parking Lot,Life Sciences Greenhouse,Dana Circle Parking Lot,Dartmouth College,House Center B,Baker Memorial Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B",3.0
26:05:2013,218401.0,20584.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,18.0,"Sanborn House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",3.0
27:03:2013,5998.0,7201.0,0.0,0.0,0.0,0.0,2.0,1.0,14400.0,18.0,"Wheeler Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",
27:04:2013,4800.0,79200.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,"House Center B,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,House Center B,Dartmouth College,Dartmouth College,Dartmouth College",
28:03:2013,15600.0,63603.0,7198.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B,Hopkins Center for the Arts,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",
28:04:2013,4802.0,159675.0,1123.0,0.0,0.0,0.0,-1.0,0.0,0.0,18.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,House Center B",
28:05:2013,1199.0,10202.0,7800.0,0.0,598.0,0.0,1.0,0.0,10500.0,18.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Rollins Chapel,Hopkins Center for the Arts,Dartmouth College,Sudikoff Hall",3.0
29:03:2013,3598.0,81603.0,0.0,0.0,0.0,0.0,4.0,0.0,6000.0,18.0,"Hallgarten Hall,Hallgarten Hall,House Center B,Dartmouth College,Sudikoff Hall,Sudikoff Hall,House Center B,Dartmouth College,House Center B,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall",1.0
29:04:2013,1200.0,9600.0,0.0,0.0,0.0,0.0,0.0,0.0,7800.0,18.0,"Hitchcock Hall,Sudikoff Hall",3.0
29:05:2013,3599.0,76806.0,0.0,0.0,0.0,1195.0,2.0,0.0,14400.0,18.0,"House Center B,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,House Center B,Parker House,Life Sciences Greenhouse",
30:03:2013,173997.0,74401.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,18.0,"Dartmouth College,House Center B,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,House Center B,Dartmouth College,House Center B,House Center B,Dartmouth College",
30:04:2013,0.0,104302.0,0.0,0.0,0.0,0.0,1.0,0.0,10500.0,18.0,"Sudikoff Hall,House Center B",3.0
30:05:2013,0.0,12000.0,0.0,0.0,0.0,0.0,3.0,0.0,6900.0,18.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,House Center B",
