date,home_time,recreational_activities,school_time,travel_time,working,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,level
12:04:2013,76802.0,3601.0,2397.0,0.0,1200.0,2398.0,4,0.0,3000.0,5,"Nugget Arcade,Dartmouth College,Ripley Hall,Ripley Hall,Collis Student Center,Ripley Hall,Hanover Information booth,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,0,0,Alumni Gymnasium,Dartmouth Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Ripley Hall,Ripley Hall,Sphinx Secret Society,Dartmouth College,Dartmouth College",3.0
12:05:2013,79202.0,2400.0,1200.0,3598.0,0.0,0.0,-1,0.0,0.0,5,"Bartlett Hall,Topliff Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hood Museum of Art,Ripley Hall,Maynard Parking Lot,Maynard Parking Lot,Ripley Hall,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College",
13:04:2013,82801.0,4800.0,0.0,0.0,0.0,0.0,5,0.0,0.0,5,"Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Topliff Hall,0,Dartmouth College,Ripley Hall",
13:05:2013,45601.0,0.0,45600.0,2399.0,0.0,0.0,0,0.0,3900.0,5,"Ripley Hall,Ripley Hall,North Fayerweather Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,0,Vox Lane Parking Lot,Topliff Hall,Topliff Hall,Topliff Hall,Bartlett Hall,Topliff Hall,Topliff Hall,Wentworth Hall,Collis Student Center,Collis Student Center,Ripley Hall,Ripley Hall,Robinson Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall",
14:04:2013,63603.0,1200.0,4798.0,1198.0,9602.0,8399.0,-1,0.0,0.0,5,"0,Alpha Delta,Thompson Arena Parking Lot,Upper Valley Esthetic Dentistry,Bartlett Hall,Ripley Hall,Dartmouth College,Hood Museum of Art,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Ripley Hall,Dartmouth Outing Club House,Ripley Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Ripley Hall,Collis Student Center,0,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College",
14:05:2013,70800.0,0.0,8400.0,0.0,0.0,0.0,1,0.0,0.0,5,"Dartmouth College,Dartmouth College,Class of 1953 Commons,Ripley Hall,Ripley Hall,Dartmouth College,Ripley Hall,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Ripley Hall",
15:04:2013,76801.0,3597.0,9601.0,0.0,0.0,0.0,0,0.0,3900.0,5,"Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Collis Student Center,Dartmouth College,Ripley Hall,Collis Student Center,Collis Student Center,0,Collis Student Center,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Collis Student Center,Ripley Hall",2.0
15:05:2013,63597.0,8398.0,10802.0,3604.0,0.0,1199.0,2,0.0,3900.0,5,"Ripley Woodward Smith Parking Lot,Robinson Hall,Black Family Visual Arts Center,Ripley Hall,Dick's House,Robinson Hall,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Collis Student Center,Collis Student Center,Topliff Hall,Dartmouth Row Parking Lot,Bildner Hall,Bildner Hall,0,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Robinson Hall,Robinson Hall,Ripley Hall,Ripley Hall",
16:04:2013,64801.0,1200.0,13199.0,0.0,0.0,0.0,1,0.0,0.0,5,"Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Hood Museum of Art,Ripley Hall,Robinson Hall,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Collis Student Center,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Floren Varsity House",2.6666666666666665
16:05:2013,60000.0,0.0,24000.0,1200.0,0.0,0.0,3,0.0,3900.0,5,"Ripley Hall,Topliff Hall,Topliff Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Robinson Hall,Ripley Hall,0,Ripley Hall,Robinson Hall,Robinson Hall,Collis Student Center,Collis Student Center,Sudikoff Hall,Ripley Hall,Ripley Hall",
17:04:2013,75604.0,2396.0,7200.0,1200.0,0.0,0.0,2,0.0,3900.0,5,"Floren Varsity House,Bartlett Hall,Dartmouth College,Hood Museum of Art,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Class of 1953 Commons,Hood Museum of Art,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,0,Ripley Hall,Collis Student Center,0,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Ripley Hall",1.0
17:05:2013,67204.0,13200.0,5996.0,0.0,0.0,0.0,4,0.0,3000.0,5,"Robinson Hall,Wentworth Hall,Black Family Visual Arts Center,Hood Museum of Art,Hood Museum of Art,Dartmouth College,Dartmouth College,Dartmouth College,Hood Museum of Art,Ripley Hall,Dartmouth College,Hood Museum of Art,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wilson Hall,Ripley Hall,Dartmouth Hall",
18:04:2013,74400.0,1200.0,9600.0,1200.0,0.0,0.0,3,0.0,3900.0,5,"Robinson Hall,0,Dartmouth College,Ripley Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Collis Student Center,Dartmouth College,Ripley Hall,0,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Topliff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse",1.0
18:05:2013,194748.0,1509.0,0.0,1202.0,4143.0,2398.0,5,0.0,0.0,5,"Ripley Hall,Ripley Hall,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Ripley Hall,Dartmouth College,Ripley Hall,Martha E. Diebold Real Estate,Ripley Hall,Alpha Delta,0,Ripley Hall,Ripley Hall,Casque & Gauntlet Senior Society,Dartmouth College",
19:04:2013,285600.0,0.0,3600.0,1200.0,0.0,0.0,4,0.0,3000.0,5,"Dartmouth College,Ripley Hall,Collis Student Center,Robinson Hall,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,East Wheelock Street,Ripley Hall,Topliff Hall,Ripley Hall,0,0,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College",
20:05:2013,54000.0,3600.0,2400.0,0.0,0.0,1200.0,0,1.0,3900.0,5,"Ripley Hall,Murphy's on the Green,0,Dartmouth College,Dartmouth College,Sudikoff Hall,Robinson Hall,Martha E. Diebold Real Estate,Ripley Hall",
21:05:2013,63600.0,0.0,13200.0,1200.0,1200.0,1200.0,1,0.0,0.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Ripley Hall,Martha E. Diebold Real Estate,Dartmouth College,Dartmouth College,Topliff Hall,Topliff Hall,Sphinx Secret Society,Ripley Hall,New Hampshire Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Collis Student Center,Robinson Hall,Sudikoff Hall,Sudikoff Hall,Robinson Hall,Robinson Hall",
22:04:2013,52800.0,0.0,9600.0,0.0,0.0,0.0,0,0.0,3900.0,5,"Parker House,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Collis Student Center,Collis Student Center,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Sudikoff Hall,Ripley Hall",1.0
22:05:2013,82803.0,0.0,12000.0,1198.0,0.0,0.0,2,0.0,3900.0,5,"Topliff Hall,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Robinson Hall,Collis Student Center,Dartmouth College,Dartmouth College,Thornton Hall,Ripley Hall",
23:04:2013,61199.0,1200.0,15601.0,0.0,1200.0,0.0,1,0.0,0.0,5,"Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Sphinx Secret Society,Ripley Hall,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Collis Student Center,Collis Student Center,Hood Museum of Art,Ripley Hall,Topliff Hall,Ripley Hall,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Parker House",
23:05:2013,15599.0,0.0,1200.0,0.0,8400.0,0.0,3,1.0,3900.0,5,"Dartmouth College,Dartmouth College,Casque & Gauntlet Senior Society,Ripley Hall,Ripley Hall,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall",
24:04:2013,64799.0,0.0,21601.0,1200.0,0.0,0.0,2,0.0,3900.0,5,"Floren Varsity House,Floren Varsity House,Collis Student Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall,Ripley Hall,Dartmouth College,Ripley Hall,Dartmouth College,Ripley Hall,0,Robinson Hall,Bartlett Hall,Ripley Hall,Ripley Hall,Collis Student Center,Dartmouth College,Wentworth Hall,Moore Psychology Building,Dartmouth College,Dartmouth College",
25:04:2013,24001.0,8399.0,50400.0,0.0,2400.0,0.0,3,0.0,3900.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sphinx Secret Society,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Wentworth Hall,Wentworth Hall,Wentworth Hall,Dartmouth College,Ripley Hall,Ripley Hall,Black Family Visual Arts Center,Hood Museum of Art,Dartmouth College,Robinson Hall,Reed Hall",3.0
26:04:2013,72000.0,9602.0,4798.0,0.0,0.0,0.0,4,0.0,3000.0,5,"Hood Museum of Art,Dartmouth College,Hopkins Center for the Arts,Black Family Visual Arts Center,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Robinson Hall,Ripley Hall,Dartmouth College,Ripley Hall,Topliff Hall,Ripley Hall,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College",3.0
27:03:2013,5998.0,2400.0,12003.0,0.0,0.0,0.0,2,0.0,3900.0,5,"Collis Student Center,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Alumni Gymnasium,Ripley Hall,Robinson Hall",1.0
27:04:2013,72005.0,1199.0,3600.0,0.0,2398.0,8400.0,5,0.0,0.0,5,"Dartmouth College,Alumni Gymnasium,Reed Hall,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Ripley Hall,Ripley Hall,0,Ripley Hall,Topliff Hall,Ripley Hall,Casque & Gauntlet Senior Society,Collis Student Center,Dartmouth College",
28:03:2013,37199.0,1199.0,18001.0,0.0,0.0,30000.0,3,0.0,3900.0,5,"Dartmouth College,Dartmouth College,Collis Student Center,Ripley Hall,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Collis Student Center,Dartmouth College,Dartmouth College,Rollins Chapel,Collis Student Center,Dartmouth College,Ripley Hall,Robinson Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse",2.5
28:04:2013,76684.0,0.0,7199.0,1198.0,0.0,0.0,-1,0.0,0.0,5,"Mass Parking Lot,Class of 1953 Commons,Ripley Hall,Ripley Hall,Reed Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sanborn House,Dartmouth College,Ripley Hall,Class of 1953 Commons,Class of 1953 Commons,Robinson Hall,Dartmouth College,Ripley Hall,Ripley Hall,Topliff Hall,Ripley Hall,Topliff Hall,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College",3.0
29:03:2013,73201.0,3599.0,10801.0,0.0,0.0,0.0,4,0.0,3000.0,5,"Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Collis Student Center,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Collis Student Center,Bartlett Hall,Dartmouth College",1.5
29:04:2013,66168.0,6067.0,16682.0,0.0,0.0,0.0,0,0.0,3900.0,5,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Class of 1953 Commons,Robinson Hall,Wentworth Hall,Collis Student Center,Dartmouth College,Ripley Hall,Ripley Hall,Topliff Hall,0,Ripley Hall,0,House Center A,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",3.0
30:03:2013,76801.0,1199.0,8399.0,0.0,0.0,0.0,5,0.0,0.0,5,"Berry Sports Center,Dartmouth College,Dartmouth College,Collis Student Center,Ripley Hall,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Robinson Hall,Ripley Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College",1.0
30:04:2013,70781.0,8400.0,7219.0,0.0,0.0,1200.0,1,0.0,0.0,5,"Ripley Hall,Ripley Hall,Hanover Information booth,Dartmouth College,Hanover Inn Dartmouth,Hanover Inn Dartmouth,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Topliff Hall,Ripley Hall,Dartmouth College,Sudikoff Hall",3.0
31:03:2013,70802.0,1198.0,8385.0,4800.0,1216.0,0.0,-1,0.0,0.0,5,"Ripley Hall,Ripley Hall,Dartmouth College,Ripley Hall,Class of 1953 Commons,Robinson Hall,Hopkins Center for the Arts,Ripley Hall,Vox Lane Parking Lot,Hallgarten Hall,Topliff Hall,Vox Lane Parking Lot,Ripley Hall,Sphinx Secret Society,Thornton Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
