date,home_time,orthers,school_time,recreational_activities,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,level
09:05:2013,46800.0,0.0,0.0,0.0,0.0,46803.0,3.0,1.0,3900.0,33.0,"Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Mass Parking Lot,Dartmouth College,Dartmouth College,Mass Parking Lot",1.0
10:04:2013,26400.0,0.0,8400.0,1200.0,0.0,52800.0,2.0,0.0,7800.0,33.0,"Kemeny Hall,Kemeny Hall,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall",4.0
10:05:2013,60601.0,1199.0,17397.0,0.0,0.0,0.0,4.0,0.0,6000.0,33.0,"Parker House,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Life Sciences Greenhouse,Nugget Arcade,Nugget Arcade,Dartmouth College,Kemeny Hall",
11:04:2013,81600.0,0.0,2400.0,0.0,0.0,0.0,3.0,1.0,3900.0,33.0,"Kemeny Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse",4.0
11:05:2013,165001.0,0.0,0.0,0.0,0.0,12600.0,5.0,0.0,0.0,33.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Dartmouth College,Middle Massachusetts Hall",1.0
12:04:2013,74400.0,0.0,3600.0,10800.0,0.0,0.0,4.0,1.0,6000.0,33.0,"Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,0,0,Berry Library,Middle Massachusetts Hall,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall",1.0
13:04:2013,69600.0,0.0,1200.0,4800.0,0.0,8400.0,5.0,0.0,0.0,33.0,"Kemeny Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Row Parking Lot,Dartmouth Row Parking Lot,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Berry Sports Center,Alumni Gymnasium,Alumni Gymnasium",4.0
13:05:2013,77399.0,0.0,3000.0,0.0,0.0,0.0,0.0,1.0,7800.0,33.0,"Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall",
14:04:2013,69600.0,7200.0,0.0,9908.0,0.0,0.0,-1.0,0.0,0.0,33.0,"Berry Sports Center,Berry Sports Center,Battle Field,Red Rolfe Field at Biondi Park,Middle Massachusetts Hall,0,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College",2.5
14:05:2013,82302.0,0.0,2298.0,0.0,0.0,0.0,1.0,1.0,3900.0,33.0,"Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",
15:04:2013,84000.0,0.0,3600.0,0.0,0.0,0.0,0.0,1.0,7800.0,33.0,"Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Kemeny Hall",1.0
15:05:2013,87001.0,0.0,599.0,0.0,0.0,0.0,2.0,1.0,7800.0,33.0,"Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College",1.0
16:04:2013,75600.0,0.0,6000.0,3600.0,0.0,0.0,1.0,0.0,3900.0,33.0,"Kemeny Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Berry Library,Berry Library,Sudikoff Hall,Sudikoff Hall",1.0
16:05:2013,79467.0,0.0,8400.0,0.0,0.0,933.0,3.0,0.0,3900.0,33.0,"Dartmouth College,Dartmouth College,Carpenter Hall,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Lot 3,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
17:04:2013,61198.0,0.0,27604.0,0.0,0.0,0.0,2.0,0.0,7800.0,33.0,"Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall",2.0
17:05:2013,20056.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,33.0,"Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
18:04:2013,68399.0,0.0,8398.0,7201.0,0.0,0.0,3.0,0.0,3900.0,33.0,"Kemeny Hall,Berry Library,Carpenter Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Middle Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse",4.0
19:04:2013,84001.0,0.0,0.0,1200.0,2399.0,0.0,4.0,1.0,6000.0,33.0,"Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Alumni Gymnasium,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
20:04:2013,97199.0,0.0,1200.0,3601.0,0.0,0.0,5.0,0.0,0.0,33.0,"Kemeny Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Middle Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Middle Massachusetts Hall",4.0
21:04:2013,86400.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,33.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Middle Massachusetts Hall",
22:04:2013,62368.0,0.0,2433.0,5999.0,0.0,0.0,0.0,1.0,7800.0,33.0,"Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Middle Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Kemeny Hall",1.0
23:04:2013,80498.0,0.0,4702.0,0.0,0.0,0.0,1.0,0.0,3900.0,33.0,"Kemeny Hall,Life Sciences Greenhouse,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Sudikoff Hall,Sudikoff Hall",4.0
24:04:2013,76295.0,0.0,4800.0,9600.0,0.0,0.0,2.0,1.0,7800.0,33.0,"Kemeny Hall,Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Middle Massachusetts Hall",
25:04:2013,81963.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3900.0,33.0,"0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",4.0
26:04:2013,75595.0,0.0,13201.0,1200.0,0.0,0.0,4.0,0.0,6000.0,33.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Berry Sports Center,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall",1.0
27:04:2013,85200.0,0.0,0.0,2400.0,0.0,0.0,5.0,0.0,0.0,33.0,"Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Middle Massachusetts Hall",1.0
28:04:2013,92336.0,7199.0,0.0,6006.0,0.0,0.0,-1.0,0.0,0.0,33.0,"Topliff Courts,Dartmouth College,Burnham Field,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Coldwell Banker,Coldwell Banker,Middle Massachusetts Hall,Dartmouth College,Coldwell Banker,Coldwell Banker,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Middle Massachusetts Hall",
29:04:2013,58927.0,0.0,3600.0,1131.0,0.0,0.0,0.0,1.0,7800.0,33.0,"Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Kemeny Hall",1.0
30:03:2013,93600.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,33.0,"Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
30:04:2013,79200.0,0.0,2400.0,3600.0,0.0,0.0,1.0,1.0,3900.0,33.0,"Kemeny Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall",2.5
31:03:2013,1200.0,68400.0,0.0,0.0,0.0,16800.0,-1.0,0.0,0.0,33.0,"0,0,0,0,0,0,0",4.0
