date,home_time,orthers,school_time,travel_time,shopping,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names,level
24:04:2013,163388.0,0.0,4800.0,0.0,0.0,0.0,2.0,1.0,10500.0,16.0,"Floren Varsity House,Floren Varsity House,Dartmouth College",
25:04:2013,0.0,0.0,2402.0,1199.0,0.0,0.0,3.0,1.0,6900.0,16.0,"Class of 1978 Life Sciences Center,0,Vail",
26:04:2013,260215.0,0.0,0.0,0.0,0.0,4799.0,4.0,1.0,3000.0,16.0,"Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College",
26:05:2013,96704.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
27:03:2013,40960.0,0.0,2396.0,3605.0,0.0,0.0,2.0,1.0,10500.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,0,0,Dartmouth College",
27:05:2013,79669.0,0.0,2399.0,0.0,0.0,0.0,0.0,1.0,3900.0,16.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College",
28:03:2013,108689.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
28:05:2013,58799.0,0.0,19202.0,0.0,0.0,0.0,1.0,0.0,6600.0,16.0,"Sudikoff Hall,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College",
29:03:2013,50401.0,0.0,8399.0,4800.0,0.0,0.0,4.0,0.0,3000.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Class of 1978 Life Sciences Center,0,0,Dartmouth College,Dartmouth College",1.0
29:04:2013,46787.0,0.0,31212.0,4800.0,0.0,0.0,0.0,0.0,3900.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Vail,Class of 1978 Life Sciences Center,0,0,Dartmouth College",
29:05:2013,13145.0,0.0,31910.0,0.0,0.0,64543.0,2.0,0.0,10500.0,16.0,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Life Sciences Greenhouse,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Sudikoff Hall",
30:03:2013,192000.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",4.0
30:04:2013,67197.0,0.0,13203.0,4800.0,0.0,0.0,1.0,0.0,6600.0,16.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,0",
30:05:2013,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,16.0,Dartmouth College,
