date,home_time,school_time,orthers,recreational_activities,travel_time,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names,level
13:04:2013,79200.0,0.0,0.0,19200.0,0.0,0.0,5.0,0.0,0.0,11.0,"Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College",1.0
13:05:2013,63600.0,0.0,0.0,2400.0,0.0,0.0,0.0,1.0,7800.0,11.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
14:04:2013,88800.0,1200.0,0.0,6000.0,0.0,0.0,-1.0,0.0,0.0,11.0,"Sudikoff Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College",1.0
14:05:2013,84000.0,0.0,0.0,1200.0,0.0,0.0,1.0,1.0,10500.0,11.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College",
15:04:2013,62400.0,1200.0,0.0,1200.0,0.0,0.0,0.0,1.0,7800.0,11.0,"Hopkins Center for the Arts,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
15:05:2013,64803.0,21598.0,0.0,1200.0,0.0,0.0,2.0,0.0,14400.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Carpenter Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College",1.0
16:04:2013,82804.0,0.0,0.0,2396.0,0.0,0.0,1.0,1.0,10500.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Berry Library,Berry Library",1.5
16:05:2013,79913.0,1199.0,0.0,6000.0,0.0,0.0,3.0,1.0,6900.0,11.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Remsen Medical Sciences Building,Berry Library,Berry Library",4.0
17:04:2013,84000.0,2400.0,0.0,1200.0,0.0,0.0,2.0,1.0,14400.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",1.6666666666666667
17:05:2013,70799.0,0.0,0.0,14401.0,0.0,0.0,4.0,1.0,6000.0,11.0,"Berry Library,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College",
18:04:2013,74402.0,5998.0,0.0,4800.0,0.0,0.0,3.0,0.0,6900.0,11.0,"Dartmouth College,Dartmouth College,Berry Library,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse",2.5
18:05:2013,79200.0,0.0,0.0,13200.0,0.0,0.0,5.0,0.0,0.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College",1.0
19:04:2013,81600.0,1200.0,0.0,4800.0,0.0,0.0,4.0,1.0,6000.0,11.0,"Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Berry Library,Berry Library,Dartmouth College,Dartmouth College",
19:05:2013,63601.0,0.0,0.0,16799.0,0.0,0.0,-1.0,0.0,0.0,11.0,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College",2.0
20:04:2013,78001.0,0.0,0.0,14399.0,0.0,0.0,5.0,0.0,0.0,11.0,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College",2.5
20:05:2013,84810.0,0.0,0.0,7200.0,0.0,0.0,0.0,1.0,7800.0,11.0,"Berry Library,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College",
21:04:2013,80400.0,9600.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,11.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College",4.0
21:05:2013,74401.0,2399.0,0.0,3600.0,0.0,0.0,1.0,1.0,10500.0,11.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College",
22:04:2013,70770.0,0.0,0.0,4800.0,0.0,1230.0,0.0,1.0,7800.0,11.0,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hanover Park,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",4.0
22:05:2013,77013.0,0.0,0.0,20400.0,0.0,0.0,2.0,1.0,14400.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Berry Library",
23:04:2013,84000.0,0.0,0.0,1200.0,0.0,0.0,1.0,1.0,10500.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College",2.1666666666666665
23:05:2013,70802.0,3599.0,0.0,1200.0,0.0,0.0,3.0,1.0,6900.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Life Sciences Greenhouse,Carpenter Hall",4.0
24:04:2013,96000.0,4800.0,0.0,3600.0,0.0,0.0,2.0,1.0,14400.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Dartmouth College",2.0
24:05:2013,80400.0,2399.0,0.0,10800.0,0.0,0.0,4.0,1.0,6000.0,11.0,"Carpenter Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College",
25:04:2013,64800.0,0.0,0.0,3600.0,0.0,0.0,3.0,1.0,6900.0,11.0,"Hopkins Center for the Arts,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse",3.0
25:05:2013,64800.0,0.0,0.0,19200.0,0.0,0.0,5.0,0.0,0.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Berry Library",
26:04:2013,86400.0,0.0,0.0,1200.0,0.0,0.0,4.0,1.0,6000.0,11.0,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",1.0
26:05:2013,28798.0,0.0,0.0,54002.0,0.0,0.0,-1.0,0.0,0.0,11.0,"Berry Library,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College",
27:04:2013,79200.0,12000.0,0.0,1200.0,0.0,0.0,5.0,0.0,0.0,11.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",3.0
27:05:2013,38409.0,0.0,0.0,47487.0,0.0,0.0,0.0,1.0,7800.0,11.0,"Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College",
28:04:2013,61198.0,10802.0,0.0,7200.0,0.0,0.0,-1.0,0.0,0.0,11.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Alumni Gymnasium",
28:05:2013,44401.0,7200.0,0.0,33600.0,0.0,0.0,1.0,1.0,10500.0,11.0,"Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College",
29:04:2013,78000.0,7200.0,0.0,2400.0,0.0,0.0,0.0,0.0,7800.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Berry Library,Dartmouth College",2.0
29:05:2013,72000.0,13199.0,0.0,2400.0,0.0,0.0,2.0,0.0,14400.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Carpenter Hall,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",
30:03:2013,64799.0,0.0,0.0,13200.0,0.0,0.0,5.0,0.0,0.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College",1.8
30:04:2013,90000.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10500.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College",3.0
30:05:2013,85636.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College",
31:03:2013,73200.0,0.0,0.0,9600.0,0.0,0.0,-1.0,0.0,0.0,11.0,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College",2.8
31:05:2013,97201.0,0.0,0.0,12000.0,0.0,0.0,4.0,1.0,6000.0,11.0,"Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Dartmouth College",
