date,home_time,school_time,recreational_activities,travel_time,working,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,level
13:05:2013,0.0,13800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,Haldeman Center,1.0
14:04:2013,230.0,14403.0,6001.0,56341.0,3875.0,5724.0,-1.0,0.0,0.0,50.0,"Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Sidney Street,Sidney Street,Novartis Amenities Building,Novartis Amenities Building,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,0,Dr. Paul Dudley White Path,Black Family Visual Arts Center",5.0
14:05:2013,31200.0,46200.0,12600.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Berry Library",
15:04:2013,46909.0,17867.0,18166.0,1203.0,0.0,0.0,0.0,0.0,0.0,50.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Zahm Courtyard,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Library,Dartmouth College,Reed Hall,Reed Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Library,Berry Library,Dartmouth College,Haldeman Center",4.0
15:05:2013,42601.0,20399.0,15600.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Reed Hall,Reed Hall,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",2.0
16:04:2013,67204.0,8397.0,9600.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,"Haldeman Center,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College,Reed Hall,Reed Hall,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College",1.0
16:05:2013,71769.0,10431.0,20400.0,0.0,0.0,1200.0,3.0,0.0,0.0,50.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Haldeman Center,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Reed Hall,Reed Hall,Berry Library,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Consolidated Communications,0,Dartmouth College,Dartmouth College,0,Dartmouth College",
17:04:2013,247507.0,4785.0,8626.0,0.0,0.0,1213.0,2.0,0.0,0.0,50.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,X-Delta,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,MacLean Engineering Sciences Center,MacLean Engineering Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College",4.0
17:05:2013,34801.0,0.0,38400.0,0.0,0.0,0.0,4.0,0.0,0.0,50.0,"Berry Library,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College",5.0
18:05:2013,90000.0,0.0,8399.0,0.0,3600.0,0.0,5.0,0.0,0.0,50.0,"Hopkins Center for the Arts,Dartmouth College,0,Dartmouth College",4.0
19:05:2013,73800.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,50.0,"Maxwell Hall,Dartmouth College",5.0
20:04:2013,71931.0,10800.0,1200.0,0.0,0.0,0.0,5.0,0.0,0.0,50.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons",1.0
20:05:2013,61201.0,19199.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,"Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall",
21:04:2013,82337.0,0.0,1199.0,27598.0,0.0,0.0,-1.0,0.0,0.0,50.0,"Dartmouth College,Berry Library,Dartmouth College,State Route 10",
21:05:2013,66000.0,5400.0,12000.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,"Dartmouth College,Reed Hall,Reed Hall,Baker Memorial Library,Berry Library,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Berry Library",1.0
22:04:2013,11979.0,44400.0,3598.0,2056.0,0.0,0.0,0.0,0.0,0.0,50.0,"Class of 1953 Commons,Sarner Underground,Class of 1953 Commons,Sudikoff Hall,Dartmouth College,Reed Hall,Reed Hall,Life Sciences Greenhouse,0,Berry Library,Berry Library,Haldeman Center",
22:05:2013,43800.0,3600.0,37800.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Maxwell Hall,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Reed Hall,Reed Hall,Reed Hall,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College",
23:04:2013,39572.0,31841.0,31755.0,1201.0,0.0,0.0,1.0,0.0,0.0,50.0,"Haldeman Center,Dartmouth College,Dartmouth College,South Fairbanks,Collis Student Center,Collis Student Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Zahm Courtyard,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Reed Hall,Collis Student Center,Collis Student Center,Berry Library",5.0
23:05:2013,21602.0,46799.0,4200.0,35662.0,0.0,4799.0,3.0,0.0,0.0,50.0,"Berry Library,Berry Library,Sudikoff Hall,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,X-Delta,Dartmouth College,Dartmouth College,0,0,0",4.5
24:04:2013,324004.0,10800.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,50.0,"Sudikoff Hall,Sudikoff Hall,Haldeman Center,Haldeman Center,Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College",
24:05:2013,50999.0,3190.0,13470.0,0.0,0.0,0.0,4.0,0.0,0.0,50.0,"Dartmouth College,Reed Hall,Reed Hall,Berry Library,Dartmouth College",4.0
25:05:2013,97404.0,0.0,14196.0,0.0,0.0,0.0,5.0,0.0,0.0,50.0,"Hood Museum of Art,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Berry Library,Dartmouth College,Hood Museum of Art,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Hanover Inn Dartmouth,Dartmouth College,Hanover Inn Dartmouth,Hanover Inn Dartmouth,Dartmouth College,Hanover Inn Dartmouth,Dartmouth College,Hanover Inn Dartmouth,Dartmouth College",
26:05:2013,67200.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,50.0,"Maxwell Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Maxwell Hall,Dartmouth College,Maxwell Hall,Dartmouth College,Maxwell Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Maxwell Hall,Dartmouth College,Maxwell Hall,Dartmouth College,Maxwell Hall,Dartmouth College,Maxwell Hall,Dartmouth College,Maxwell Hall,Dartmouth College,Maxwell Hall,Dartmouth College,Dartmouth College,Dartmouth College,Maxwell Hall,Dartmouth College,Maxwell Hall,Dartmouth College,Maxwell Hall,Dartmouth College,Maxwell Hall,Dartmouth College,Maxwell Hall,Maxwell Hall,Dartmouth College,Dartmouth College",
27:05:2013,56648.0,2009.0,14738.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,"0,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Berry Library,Berry Library,Dartmouth College,Berry Library,Cutter Shabazz Hall,Berry Library,Dartmouth College,Berry Library",1.0
28:03:2013,0.0,149408.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,50.0,Sudikoff Hall,
28:04:2013,160890.0,43196.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,50.0,"Sudikoff Hall,Dartmouth College,Dartmouth College",
28:05:2013,50887.0,30500.0,5015.0,359.0,0.0,0.0,1.0,0.0,0.0,50.0,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,McNutt Hall,Sudikoff Hall,Sarner Underground,Sudikoff Hall,Sarner Underground,Sudikoff Hall,Sarner Underground,Sudikoff Hall,Berry Library,Sudikoff Hall,Berry Library,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Berry Library,Reed Hall,Berry Library,Reed Hall,0,Reed Hall,Reed Hall,Collis Student Center,Collis Student Center,Dartmouth College,Berry Library",
29:03:2013,12539.0,8400.0,2322.0,0.0,0.0,0.0,4.0,0.0,0.0,50.0,"Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Berry Library,Berry Library,Dartmouth College",3.0
29:05:2013,76497.0,3086.0,6147.0,104.0,237.0,3000.0,2.0,0.0,0.0,50.0,"Berry Library,0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Reed Hall,Reed Hall,Life Sciences Greenhouse,Berry Library,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Reed Hall,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,Dana Circle Parking Lot,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Life Sciences Greenhouse,Dartmouth College",
30:03:2013,65388.0,15984.0,0.0,0.0,0.0,6000.0,5.0,0.0,0.0,50.0,"Sarner Underground,Sarner Underground,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,0,0,Dartmouth College",3.0
30:04:2013,0.0,499524.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,50.0,Sudikoff Hall,5.0
30:05:2013,68902.0,16957.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,50.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Haldeman Center,Class of 1953 Commons,Sarner Underground,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College",5.0
31:03:2013,281412.0,2402.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,50.0,"Class of 1953 Commons,New Hampshire Hall,Dartmouth College,Dartmouth College",2.3333333333333335
31:05:2013,69235.0,4200.0,1680.0,474.0,7197.0,0.0,4.0,0.0,0.0,50.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Seven Allen,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Zahm Courtyard,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.0
