date,home_time,orthers,recreational_activities,school_time,travel_time,shopping,working,date_in_week,cut_class,class_schedule,volunteer,location_names,level
19:04:2013,81818.0,0.0,0.0,0.0,2400.0,0.0,0.0,4.0,1.0,6000.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,Zahm Courtyard,Zahm Courtyard,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College",
19:05:2013,83248.0,2400.0,0.0,0.0,1200.0,0.0,0.0,-1.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,0,0,Heating & Electric Plant,New Hampshire Hall,Dartmouth College,French Hall",
20:04:2013,73241.0,4800.0,1200.0,0.0,5871.0,0.0,1200.0,5.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,Chi Heorot,New Hampshire Hall,Dartmouth College,Dartmouth College,0,Dartmouth College,New Hampshire Hall,Dartmouth College,Dartmouth College,0,0,0,0,0,Channing Cox Parking Lot,Channing Cox Parking Lot,French Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
20:05:2013,80379.0,2421.0,0.0,0.0,2400.0,0.0,0.0,0.0,1.0,7800.0,47.0,"0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Channing Cox Parking Lot,French Hall",1.0
21:04:2013,57621.0,0.0,34800.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Hopkins Center for the Arts,New Hampshire Hall,Berry Library,French Hall",
21:05:2013,73147.0,1200.0,2430.0,9525.0,0.0,0.0,0.0,1.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Jewel of India,Jewel of India,Martha E. Diebold Real Estate,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,Sudikoff Hall",
22:04:2013,81600.0,1200.0,3598.0,0.0,0.0,0.0,0.0,0.0,1.0,7800.0,47.0,"Sushiya,Nugget Arcade,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,French Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College",
22:05:2013,122230.0,0.0,0.0,0.0,6000.0,0.0,0.0,2.0,1.0,7800.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall,Channing Cox Parking Lot,French Hall,Dartmouth College,Dartmouth College,Dartmouth College",
23:04:2013,66018.0,0.0,4800.0,0.0,5987.0,0.0,4799.0,1.0,0.0,0.0,47.0,"Berry Library,Zahm Courtyard,New Hampshire Hall,Alumni Gymnasium,Alumni Gymnasium,New Hampshire Hall,New Hampshire Hall,Amarna,Kappa Kappa Gamma,Kappa Kappa Gamma,Amarna,0,New Hampshire Hall,Dartmouth College,Dartmouth College,French Hall",
23:05:2013,47977.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,7800.0,47.0,French Hall,
24:04:2013,67278.0,3600.0,14495.0,0.0,10816.0,0.0,0.0,2.0,1.0,7800.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Berry Library,Channing Cox Parking Lot,Channing Cox Parking Lot,French Hall",
24:05:2013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,47.0,Dartmouth College,4.0
25:04:2013,69682.0,0.0,8542.0,1198.0,2384.0,0.0,0.0,3.0,1.0,7800.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Hanover High School,Dartmouth College,Hopkins Center for the Arts,Zahm Courtyard,Zahm Courtyard,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Judge Hall,French Hall",
26:04:2013,69601.0,0.0,9696.0,0.0,0.0,0.0,0.0,4.0,1.0,6000.0,47.0,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Berry Library,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,French Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College",
27:04:2013,32421.0,0.0,0.0,1198.0,58377.0,0.0,0.0,5.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,Anonymous Hall,New Hampshire Hall,Dartmouth College,0,Dartmouth College,New Hampshire Hall,Dartmouth College,0,0,0,0,0,0,0,0,0,0",
28:04:2013,45771.0,0.0,7894.0,0.0,40437.0,0.0,0.0,-1.0,0.0,0.0,47.0,"Universel Déjeuners et Grillades,0,P1,P1,P1,Place Marie-Victorin,0,0,Universel Déjeuners et Grillades,0,0,0,0,0,0,0",
29:04:2013,76800.0,0.0,1200.0,6000.0,0.0,0.0,0.0,0.0,1.0,7800.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,French Hall,Dartmouth College",
30:04:2013,82081.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,47.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,French Hall",2.0
