date,home_time,school_time,travel_time,recreational_activities,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names,level
24:04:2013,103967.0,27551.0,0.0,0.0,0.0,2.0,0.0,0.0,55.0,"Bartlett Hall,New Hampshire Hall,0,0,Dartmouth College,Dartmouth College,Dartmouth College",
25:04:2013,42097.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,55.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",
26:04:2013,89969.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,55.0,"Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
27:03:2013,3542.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,55.0,"Dartmouth College,Dartmouth College,Dartmouth College",
27:04:2013,80538.0,0.0,0.0,1150.0,0.0,5.0,0.0,0.0,55.0,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
28:03:2013,76897.0,3101.0,0.0,7199.0,0.0,3.0,0.0,0.0,55.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hanover Inn Dartmouth,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
28:04:2013,79231.0,0.0,0.0,8438.0,0.0,-1.0,0.0,0.0,55.0,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
29:03:2013,76492.0,0.0,0.0,7199.0,2446.0,4.0,0.0,0.0,55.0,"Dartmouth College,0,Dartmouth College,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
29:04:2013,85373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College",
29:05:2013,60001.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,55.0,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College",
30:03:2013,0.0,0.0,17891.0,77073.0,0.0,5.0,0.0,0.0,55.0,"Hopkins Center for the Arts,Hopkins Center for the Arts,0",1.0
30:04:2013,94935.0,32272.0,0.0,0.0,0.0,1.0,0.0,0.0,55.0,"Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College",3.0
30:05:2013,85889.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,55.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,F Lot Parking",
31:03:2013,0.0,0.0,0.0,170208.0,0.0,-1.0,0.0,0.0,55.0,"Courtyard Marriott,Courtyard Marriott,Courtyard Marriott,Courtyard Marriott",
