date,home_time,school_time,orthers,recreational_activities,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,level
09:05:2013,532875.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,19.0,"Dartmouth College,Dartmouth College",1.5
10:04:2013,55200.0,8400.0,3600.0,2400.0,0.0,2.0,1.0,10500.0,19.0,"0,0,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Remsen Medical Sciences Building,Dartmouth College,Dartmouth College,Hopkins Center for the Arts",2.0
11:04:2013,84001.0,0.0,0.0,2403.0,0.0,3.0,1.0,6900.0,19.0,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Topliff Hall,Topliff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse",2.0
12:04:2013,154796.0,10800.0,3599.0,3601.0,0.0,4.0,0.0,3000.0,19.0,"Dartmouth College,Berry Library,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Thornton Hall,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College",2.0
14:04:2013,115203.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.0
15:04:2013,75598.0,8399.0,0.0,0.0,0.0,0.0,0.0,3900.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College",1.0
15:05:2013,68401.0,0.0,0.0,4800.0,0.0,2.0,1.0,10500.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College",1.0
16:04:2013,63600.0,0.0,0.0,0.0,0.0,1.0,1.0,6600.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.75
16:05:2013,43201.0,0.0,0.0,45600.0,0.0,3.0,1.0,6900.0,19.0,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library",2.6666666666666665
17:04:2013,62400.0,14399.0,3601.0,3601.0,0.0,2.0,0.0,10500.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Sudikoff Hall,Sudikoff Hall,Berry Library",2.0
17:05:2013,164396.0,0.0,0.0,3603.0,0.0,4.0,1.0,3000.0,19.0,"Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",3.0
18:04:2013,77999.0,3600.0,0.0,1200.0,2400.0,3.0,1.0,6900.0,19.0,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse",2.0
18:05:2013,1201.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,Dartmouth College,3.0
19:04:2013,99599.0,0.0,4800.0,3601.0,0.0,4.0,1.0,3000.0,19.0,"Berry Library,Dartmouth College,Dartmouth College,Berry Sports Center,0,0,Berry Library,Dartmouth College",1.0
19:05:2013,88799.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,19.0,"Dartmouth College,Dartmouth College",
20:04:2013,76800.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
20:05:2013,79388.0,4800.0,0.0,0.0,0.0,0.0,0.0,3900.0,19.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",4.0
21:04:2013,73199.0,3601.0,0.0,0.0,0.0,-1.0,0.0,0.0,19.0,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College",2.0
21:05:2013,250799.0,0.0,0.0,0.0,0.0,1.0,1.0,6600.0,19.0,"Dartmouth College,Dartmouth College",1.0
22:04:2013,92400.0,10800.0,0.0,0.0,0.0,0.0,0.0,3900.0,19.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College",
23:04:2013,68400.0,0.0,0.0,0.0,0.0,1.0,1.0,6600.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
23:05:2013,4800.0,0.0,0.0,7201.0,0.0,3.0,1.0,6900.0,19.0,"Dartmouth College,Dartmouth College,Berry Library",3.0
24:04:2013,79201.0,3600.0,0.0,2400.0,0.0,2.0,1.0,10500.0,19.0,"Berry Library,Berry Library,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College",
24:05:2013,183601.0,0.0,0.0,0.0,1198.0,4.0,1.0,3000.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Maynard Parking Lot,Dartmouth College,Dartmouth College",2.0
25:04:2013,71421.0,15600.0,0.0,0.0,0.0,3.0,0.0,6900.0,19.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
26:04:2013,76800.0,13200.0,0.0,3600.0,0.0,4.0,0.0,3000.0,19.0,"Berry Library,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Sudikoff Hall",2.0
26:05:2013,321034.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",2.0
27:03:2013,5998.0,8402.0,0.0,0.0,0.0,2.0,1.0,10500.0,19.0,"Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College",1.0
27:04:2013,0.0,0.0,0.0,184800.0,0.0,5.0,0.0,0.0,19.0,Berry Library,1.0
28:03:2013,102003.0,0.0,0.0,5998.0,0.0,3.0,1.0,6900.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College",2.0
29:03:2013,56401.0,6002.0,0.0,1197.0,0.0,4.0,0.0,3000.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College",1.0
29:04:2013,50400.0,0.0,0.0,0.0,15600.0,0.0,1.0,3900.0,19.0,"Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College",2.5
29:05:2013,8921.0,0.0,0.0,0.0,0.0,2.0,1.0,10500.0,19.0,"Life Sciences Greenhouse,Dartmouth College",
30:03:2013,108002.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",1.0
30:04:2013,242401.0,0.0,0.0,2399.0,0.0,1.0,1.0,6600.0,19.0,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College",3.0
30:05:2013,1199.0,0.0,0.0,0.0,0.0,3.0,1.0,6900.0,19.0,"Dartmouth College,Dartmouth College",4.0
31:03:2013,31312.0,47891.0,0.0,2396.0,0.0,-1.0,0.0,0.0,19.0,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Moore Psychology Building,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Dartmouth College",1.5
