date,home_time,recreational_activities,school_time,shopping,orthers,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names,level
12:04:2013,70800.0,4800.0,9600.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,8,"Wilder Hall,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall,Alumni Gymnasium,Class of 1953 Commons,Morton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Dartmouth College",1.0
12:05:2013,37198.0,0.0,14401.0,0.0,0.0,0.0,9601.0,-1,0.0,0.0,8,"0,0,Maynard Parking Lot,0,Maynard Parking Lot,Maynard Parking Lot,Maynard Parking Lot,Dartmouth College,0,Maynard Parking Lot,Morton Hall",
13:04:2013,98398.0,8402.0,0.0,0.0,0.0,1200.0,0.0,5,0.0,0.0,8,"Life Sciences Greenhouse,Life Sciences Greenhouse,Morton Hall,Chi Heorot,Hopkins Center for the Arts,Hopkins Center for the Arts,Black Family Visual Arts Center,Zimmerman Hall,Morton Hall",4.0
13:05:2013,81604.0,0.0,1197.0,0.0,0.0,0.0,0.0,0,1.0,10500.0,8,"Dartmouth College,Dartmouth College,Morton Hall,Bartlett Hall,Dartmouth College,Dartmouth College",
14:04:2013,67200.0,1478.0,16522.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,8,"Class of 1953 Commons,Morton Hall,Morton Hall,0,0,Sherman House,0,0,Thomas Hall,Thomas Hall,0,0,Morton Hall",4.0
14:05:2013,60000.0,2400.0,27599.0,0.0,0.0,0.0,0.0,1,0.0,6600.0,8,"Class of 1953 Commons,Class of 1953 Commons,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Morton Hall",
15:04:2013,63923.0,2400.0,0.0,0.0,0.0,0.0,0.0,0,1.0,10500.0,8,"Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall",2.0
15:05:2013,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,2,0.0,3900.0,8,"Wilder Hall,Morton Hall",
16:04:2013,54003.0,3600.0,22800.0,0.0,1200.0,0.0,2398.0,1,0.0,6600.0,8,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall,Hopkins Center for the Arts,0,0,0,Bartlett Hall,0,0,Lot 7,0,Morton Hall",1.0
17:04:2013,52801.0,1200.0,33598.0,0.0,0.0,0.0,0.0,2,0.0,3900.0,8,"Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Sudikoff Hall,Hopkins Center for the Arts,0,Morton Hall,Life Sciences Greenhouse,Morton Hall",4.0
18:04:2013,77605.0,5195.0,1200.0,0.0,0.0,0.0,1200.0,3,1.0,6900.0,8,"Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse,Alumni Gymnasium,Morton Hall,Class of 1953 Commons,Morton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot",4.0
19:04:2013,68400.0,7199.0,12001.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,8,"Dartmouth College,Class of 1953 Commons,Wilder Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Morton Hall,Hopkins Center for the Arts,Morton Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts",
20:04:2013,177444.0,8515.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,8,"Life Sciences Greenhouse,Life Sciences Greenhouse,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Morton Hall",4.0
22:04:2013,62441.0,4800.0,7200.0,0.0,0.0,0.0,0.0,0,1.0,10500.0,8,"Dartmouth College,Hopkins Center for the Arts,Morton Hall,Morton Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall",
23:04:2013,58800.0,0.0,28800.0,0.0,0.0,0.0,0.0,1,0.0,6600.0,8,"Life Sciences Greenhouse,Life Sciences Greenhouse,Morton Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Morton Hall,0,Dartmouth College,0,0,Morton Hall",4.5
24:04:2013,69600.0,1200.0,12000.0,0.0,0.0,0.0,0.0,2,0.0,3900.0,8,"Wilder Hall,Morton Hall,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Morton Hall",
25:04:2013,85202.0,0.0,0.0,0.0,1198.0,0.0,0.0,3,1.0,6900.0,8,"Dartmouth College,Dartmouth College,Morton Hall,Dick's House,Dartmouth College,Dartmouth College",
26:04:2013,82801.0,3599.0,1200.0,0.0,0.0,0.0,0.0,4,1.0,3000.0,8,"0,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall",
27:03:2013,1199.0,5998.0,4801.0,0.0,0.0,0.0,0.0,2,0.0,3900.0,8,"0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Alumni Gymnasium,Alumni Gymnasium",1.8
27:04:2013,88800.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,8,"0,Morton Hall",
28:03:2013,68398.0,12004.0,7199.0,0.0,0.0,0.0,0.0,3,0.0,6900.0,8,"Hopkins Center for the Arts,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse,Morton Hall,Alumni Gymnasium,Dartmouth College,Class of 1953 Commons,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Anonymous Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center",2.5
28:04:2013,84000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,8,"Dartmouth College,Morton Hall",
29:03:2013,57598.0,9600.0,18001.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,8,"Fairchild Physical Sciences Center,Alumni Gymnasium,Alumni Gymnasium,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Morton Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College",2.5
29:04:2013,82737.0,2400.0,0.0,0.0,0.0,0.0,1197.0,0,1.0,10500.0,8,"Dartmouth College,Dartmouth College,Morton Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall,McCulloch Hall,Morton Hall,Dana Circle Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Morton Hall",
30:03:2013,63674.0,3619.0,0.0,0.0,19612.0,0.0,1199.0,5,0.0,0.0,8,"Hopkins Center for the Arts,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse,Alumni Gymnasium,0,Berry Sports Center Parking Lot,Morton Hall",4.333333333333333
30:04:2013,80876.0,2361.0,3557.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,8,"Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall",
31:03:2013,48000.0,0.0,15600.0,0.0,18696.0,0.0,6000.0,-1,0.0,0.0,8,"0,Morton Hall,Morton Hall,Dartmouth College,Dartmouth College,Morton Hall,Morton Hall,0,Vail Dartmouth Medical School,0,0,Dana Parking Lot,0,Dartmouth College,0,0,0,0,Dana Parking Lot,Morton Hall",3.8333333333333335
