date,home_time,orthers,school_time,travel_time,recreational_activities,shopping,working,date_in_week,cut_class,class_schedule,volunteer,location_names,level
15:05:2013,8400.0,0.0,599276.0,0.0,0.0,0.0,0.0,2.0,0.0,14400.0,43.0,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall",5.0
17:04:2013,2366.0,0.0,12001.0,70833.0,0.0,0.0,0.0,2.0,0.0,14400.0,43.0,"Dartmouth College,Sudikoff Hall,F Lot Parking,Life Sciences Greenhouse,F Lot Parking,0",
18:04:2013,2400.0,0.0,2400.0,0.0,1200.0,0.0,79304.0,3.0,1.0,6900.0,43.0,"Hood Museum of Art,Sudikoff Hall,Sudikoff Hall,0,Wheelock Office Park",
19:04:2013,10800.0,0.0,12000.0,64800.0,2400.0,0.0,0.0,4.0,0.0,6000.0,43.0,"Duende Tapas,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,F Lot Parking,0,0,0,0,0,Dartmouth College",
20:04:2013,150017.0,0.0,7201.0,0.0,8399.0,0.0,0.0,5.0,0.0,0.0,43.0,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Class of 1953 Commons,Dartmouth College",
21:04:2013,0.0,0.0,7200.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,43.0,"0,0",
22:04:2013,14400.0,0.0,6000.0,70800.0,0.0,0.0,0.0,0.0,0.0,7800.0,43.0,"0,0,0,0,0,0,0,Dartmouth College",
22:05:2013,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,2.0,1.0,14400.0,43.0,"Sudikoff Hall,Sudikoff Hall",4.0
23:04:2013,14400.0,0.0,68400.0,0.0,0.0,0.0,0.0,1.0,0.0,10500.0,43.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College",1.0
24:04:2013,0.0,0.0,73200.0,0.0,0.0,0.0,15600.0,2.0,0.0,14400.0,43.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Wheelock Office Park",
25:04:2013,0.0,0.0,140574.0,15600.0,0.0,0.0,0.0,3.0,0.0,6900.0,43.0,"0,Maynard Parking Lot,Sudikoff Hall",
26:04:2013,97520.0,0.0,2400.0,1200.0,0.0,0.0,0.0,4.0,1.0,6000.0,43.0,"Class of 1978 Life Sciences Center,0,Dartmouth College",4.0
28:04:2013,0.0,0.0,0.0,159600.0,0.0,0.0,0.0,-1.0,0.0,0.0,43.0,"F Lot Parking,F Lot Parking",
29:04:2013,15602.0,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7800.0,43.0,"Life Sciences Greenhouse,0,Dartmouth College",1.0
30:04:2013,0.0,0.0,81600.0,0.0,0.0,0.0,0.0,1.0,0.0,10500.0,43.0,Sudikoff Hall,
