date,orthers,school_time,travel_time,home_time,working,shopping,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names,level
10:04:2013,0.0,86032.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,Sudikoff Hall,
10:05:2013,51007.0,0.0,25200.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,46.0,"F Lot Parking,F Lot Parking,F Lot Parking,F Lot Parking,F Lot Parking,F Lot Parking,F Lot Parking,0",
11:04:2013,0.0,41999.0,1173.0,42000.0,0.0,0.0,0.0,3.0,0.0,0.0,46.0,"Anonymous Hall,Dartmouth College,Anonymous Hall,0,Steele Hall,Class of 1978 Life Sciences Center,0",
11:05:2013,61201.0,11999.0,9606.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,46.0,"F Lot Parking,Hanover Post Office,Guarini Institute for International Education,0,0",
12:04:2013,0.0,39627.0,0.0,46800.0,0.0,0.0,0.0,4.0,0.0,0.0,46.0,"Sudikoff Hall,Anonymous Hall,0,Life Sciences Greenhouse,Life Sciences Greenhouse",
12:05:2013,8400.0,75600.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,46.0,"0,Dick's House,Dick's House,0,Dick's House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall",
13:04:2013,44400.0,38400.0,1200.0,10800.0,0.0,0.0,0.0,5.0,0.0,0.0,46.0,"Class of 1953 Commons,Class of 1953 Commons,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0,0,0",5.0
13:05:2013,43200.0,44400.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",
14:04:2013,54001.0,26968.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,46.0,"Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0,0,0,0,0,0,0,0,0,0",5.0
14:05:2013,132192.0,32400.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0",
15:04:2013,49713.0,38398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"Anonymous Hall,0",5.0
15:05:2013,0.0,13201.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,Sudikoff Hall,
16:04:2013,140839.0,35865.0,0.0,1200.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0",5.0
16:05:2013,0.0,0.0,0.0,183240.0,1200.0,0.0,2400.0,3.0,0.0,0.0,46.0,"0,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College",
18:04:2013,55140.0,12000.0,9659.0,3600.0,0.0,0.0,0.0,3.0,0.0,0.0,46.0,"F Lot Parking,F Lot Parking,0,0,0,0,0,0,0,0",5.0
18:05:2013,154620.0,0.0,6000.0,2399.0,0.0,0.0,0.0,5.0,0.0,0.0,46.0,"0,0,0,0,0",2.0
19:04:2013,0.0,7128.0,196916.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,46.0,"Sudikoff Hall,F Lot Parking,0,0,0,0",
20:05:2013,81599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"Dick's House,0",2.0
21:04:2013,46806.0,0.0,21600.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,46.0,"0,0,F Lot Parking",
21:05:2013,64801.0,2400.0,7198.0,7202.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,0,0,0,0,0,0,0",
22:04:2013,32400.0,24021.0,0.0,16779.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"0,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0",
22:05:2013,1198.0,9601.0,0.0,0.0,0.0,0.0,255491.0,2.0,0.0,0.0,46.0,"Sudikoff Hall,Steele Hall,0,Jewel of India,Black Family Visual Arts Center",
23:04:2013,46707.0,21618.0,0.0,14400.0,2475.0,0.0,0.0,1.0,0.0,0.0,46.0,"0,0,0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",
24:04:2013,0.0,349028.0,1181.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,"G Lot Parking,Sudikoff Hall,Collis Student Center,Collis Student Center",
25:05:2013,44400.0,16812.0,0.0,21593.0,0.0,0.0,0.0,5.0,0.0,0.0,46.0,"Sudikoff Hall,Thomas Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0",1.0
26:05:2013,0.0,87384.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall",
27:05:2013,24000.0,78000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,0",
28:04:2013,0.0,26357.0,9686.0,0.0,0.0,0.0,70710.0,-1.0,0.0,0.0,46.0,"0,F Lot Parking,Sudikoff Hall,Sudikoff Hall,0,0",
28:05:2013,49200.0,20400.0,0.0,4800.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0",
29:04:2013,20400.0,26445.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,0",4.0
29:05:2013,0.0,22800.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,46.0,"Sudikoff Hall,Sudikoff Hall",
30:04:2013,40400.0,26566.0,0.0,19034.0,0.0,0.0,0.0,1.0,0.0,0.0,46.0,"0,0,Sudikoff Hall,Berry Hall,Sudikoff Hall,0,0,0",
