date,home_time,school_time,recreational_activities,orthers,travel_time,shopping,date_in_week,volunteer,location_names
13:04:2013,57600.0,14400.0,0.0,0.0,0.0,0.0,5,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
13:05:2013,45659.0,40797.0,0.0,0.0,603.0,0.0,0,52,"0,0,0,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Reed Hall,East Wheelock Street,Wentworth Hall,Sudikoff Hall,Guarini Institute for International Education"
14:04:2013,45600.0,37200.0,1200.0,0.0,0.0,0.0,-1,52,"0,Hood Museum of Art,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall"
14:05:2013,49874.0,38326.0,0.0,0.0,0.0,0.0,1,52,"Anonymous Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,0,Sudikoff Hall,Sudikoff Hall"
15:04:2013,58797.0,21604.0,5999.0,0.0,0.0,0.0,0,52,"Sudikoff Hall,Alumni Gymnasium,Alumni Gymnasium,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,0"
15:05:2013,35996.0,78604.0,0.0,0.0,0.0,0.0,2,52,"0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Anonymous Hall,Reed Hall,Dartmouth College,Sudikoff Hall"
16:04:2013,49149.0,39600.0,0.0,0.0,0.0,0.0,1,52,"0,Sudikoff Hall,Sudikoff Hall,0"
16:05:2013,43803.0,28800.0,0.0,1200.0,599.0,0.0,3,52,"Sudikoff Hall,0,0,0,Dana Parking Lot,Sudikoff Hall"
17:04:2013,43251.0,39546.0,0.0,0.0,0.0,0.0,2,52,"0,Sudikoff Hall,Sudikoff Hall,0,0,0,Sudikoff Hall,Sudikoff Hall"
17:05:2013,50972.0,6601.0,7199.0,0.0,0.0,1200.0,4,52,"Sudikoff Hall,Hanover Inn Dartmouth,Hanover Inn Dartmouth,Sudikoff Hall,Sudikoff Hall,Hanover Park,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
18:04:2013,43200.0,48054.0,0.0,0.0,0.0,0.0,3,52,"Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Life Sciences Greenhouse"
18:05:2013,76220.0,21001.0,0.0,0.0,0.0,0.0,5,52,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,0"
19:04:2013,49200.0,71928.0,0.0,0.0,0.0,0.0,4,52,"Sudikoff Hall,Sudikoff Hall,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,0,0,Hanover High School,Sudikoff Hall"
19:05:2013,60580.0,13756.0,0.0,2453.0,0.0,0.0,-1,52,"0,Robinson Hall,Sudikoff Hall,Sudikoff Hall,Hanover Post Office,0,0,0,Sudikoff Hall"
20:04:2013,48000.0,2472.0,0.0,0.0,0.0,0.0,5,52,"Sudikoff Hall,0"
20:05:2013,75000.0,13218.0,0.0,1800.0,0.0,0.0,0,52,"Sudikoff Hall,Steele Hall,Irving,0,0,Hanover Post Office,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
21:04:2013,20400.0,79200.0,0.0,0.0,0.0,0.0,-1,52,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
21:05:2013,40226.0,45543.0,0.0,0.0,600.0,0.0,1,52,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,0,0,0,Sudikoff Hall"
22:04:2013,49201.0,55200.0,0.0,0.0,0.0,1199.0,0,52,"0,Hanover Park,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall"
22:05:2013,33600.0,59303.0,0.0,0.0,0.0,0.0,2,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall"
23:04:2013,43088.0,18112.0,0.0,0.0,0.0,0.0,1,52,"Sudikoff Hall,0,0,0,Class of 1953 Commons,Sudikoff Hall"
23:05:2013,43800.0,33000.0,1200.0,0.0,0.0,0.0,3,52,"Sudikoff Hall,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,Sudikoff Hall"
24:04:2013,44400.0,40800.0,1200.0,3600.0,0.0,0.0,2,52,"Sudikoff Hall,0,0,Dartmouth Hall,Sudikoff Hall,Sudikoff Hall,Hood Museum of Art,0,0,0,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
24:05:2013,38400.0,59400.0,0.0,0.0,0.0,0.0,4,52,"Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall"
25:04:2013,58800.0,5574.0,0.0,0.0,0.0,7626.0,3,52,"Sudikoff Hall,Hanover Park,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,Life Sciences Greenhouse"
25:05:2013,161400.0,4800.0,0.0,0.0,0.0,0.0,5,52,"Sudikoff Hall,0,0,0"
26:04:2013,50400.0,61200.0,0.0,0.0,0.0,0.0,4,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall"
27:03:2013,0.0,79281.0,0.0,0.0,0.0,0.0,2,52,Sudikoff Hall
27:04:2013,56400.0,33600.0,0.0,1200.0,0.0,0.0,5,52,"Sudikoff Hall,0,0,0,Sudikoff Hall"
27:05:2013,63000.0,18600.0,600.0,600.0,0.0,0.0,0,52,"Nugget Arcade,0,0,West Stands,Sudikoff Hall"
28:03:2013,46817.0,7183.0,0.0,0.0,0.0,0.0,3,52,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,50400.0,38400.0,0.0,0.0,0.0,0.0,-1,52,"Sudikoff Hall,0,0,Sudikoff Hall"
28:05:2013,0.0,85800.0,0.0,0.0,0.0,0.0,1,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
29:03:2013,46773.0,56427.0,0.0,0.0,0.0,0.0,4,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Life Sciences Greenhouse,Sudikoff Hall"
29:04:2013,51600.0,4800.0,0.0,0.0,0.0,0.0,0,52,"Sudikoff Hall,0"
29:05:2013,46801.0,61740.0,0.0,0.0,0.0,0.0,2,52,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall"
30:03:2013,44400.0,22799.0,0.0,1200.0,0.0,1201.0,5,52,"Sudikoff Hall,Hanover Park,Sudikoff Hall,Sudikoff Hall,Dartmouth Real Estate - Sachem Village,0"
30:04:2013,55200.0,37200.0,0.0,0.0,0.0,0.0,1,52,"0,Sudikoff Hall,Sudikoff Hall,0"
30:05:2013,45613.0,44438.0,0.0,6009.0,0.0,0.0,3,52,"Sudikoff Hall,0,0,Irving,Sudikoff Hall"
31:03:2013,43200.0,60008.0,0.0,0.0,0.0,0.0,-1,52,"0,Sudikoff Hall,Sudikoff Hall,0,0,Sudikoff Hall"
31:05:2013,39000.0,44999.0,0.0,0.0,0.0,0.0,4,52,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall"
