date,home_time,orthers,recreational_activities,school_time,travel_time,working,date_in_week,volunteer,location_names
06:04:2013,17456.0,0.0,96.0,77152.0,0.0,0.0,5,60,"Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Baker Memorial Library,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Rockefeller Center,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall"
06:05:2013,83193.0,0.0,3501.0,15600.0,0.0,0.0,0,60,"Hopkins Center for the Arts,Russell Sage Hall,Butterfield Hall,Class of 1953 Commons,Class of 1953 Commons,Butterfield Hall,Butterfield Hall,Dartmouth Hall,Dartmouth Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Butterfield Hall"
07:04:2013,54146.0,0.0,1200.0,28774.0,0.0,0.0,-1,60,"Butterfield Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth College"
07:05:2013,37202.0,0.0,0.0,32400.0,0.0,0.0,1,60,"Butterfield Hall,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Butterfield Hall,Russell Sage Hall,Dartmouth Hall,Dartmouth Hall,Butterfield Hall,Butterfield Hall,Dartmouth College"
08:04:2013,64410.0,0.0,6001.0,11226.0,0.0,0.0,0,60,"Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Class of 1953 Commons,Dartmouth College"
08:05:2013,54000.0,1198.0,0.0,32402.0,0.0,0.0,2,60,"Dartmouth College,CVS Pharmacy,Russell Sage Hall,Butterfield Hall,Dartmouth College,Dartmouth College,Webster Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Butterfield Hall"
09:04:2013,90331.0,0.0,4799.0,10800.0,0.0,0.0,1,60,"Dartmouth College,Dartmouth College,Baker Memorial Library,Butterfield Hall,Butterfield Hall,Chinese Language House,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College"
09:05:2013,77907.0,0.0,0.0,8400.0,0.0,0.0,3,60,"Russell Sage Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Russell Sage Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Class of 1953 Commons,Class of 1953 Commons,Butterfield Hall,Butterfield Hall,Dartmouth College,Dartmouth College,Dartmouth College"
10:04:2013,56356.0,0.0,0.0,10748.0,0.0,0.0,2,60,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Butterfield Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons"
10:05:2013,77904.0,0.0,0.0,8399.0,600.0,0.0,4,60,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth Hall,Dartmouth Hall,0,Russell Sage Hall,Dartmouth College,Dartmouth College,Dartmouth College,Russell Sage Hall,Butterfield Hall,Class of 1953 Commons,Butterfield Hall,Russell Sage Hall,0"
11:04:2013,68904.0,1201.0,0.0,15192.0,0.0,0.0,3,60,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,CVS Pharmacy,Butterfield Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Latin American, Latino/a, and Caribbean House,Latin American, Latino/a, and Caribbean House,Sherman House,Latin American, Latino/a, and Caribbean House,Latin American, Latino/a, and Caribbean House,Dartmouth College,Dartmouth College,Butterfield Hall,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth Hall,Dartmouth Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Life Sciences Greenhouse"
11:05:2013,0.0,140064.0,0.0,0.0,4477.0,0.0,5,60,"0,Terminal A,Terminal A,Terminal A Satellite,Terminal A Satellite,Terminal A,Terminal A,0"
12:04:2013,76844.0,0.0,0.0,9600.0,0.0,0.0,4,60,"Dartmouth College,Dartmouth College,Dartmouth College,Russell Sage Hall,Russell Sage Hall,Dartmouth Hall,Dartmouth Hall,Butterfield Hall,Butterfield Hall,Class of 1953 Commons"
12:05:2013,17400.0,25801.0,0.0,0.0,0.0,0.0,-1,60,"0,0,0,0,0,0,0,0,0,0,0,0,0,0"
13:04:2013,81584.0,0.0,0.0,3600.0,0.0,1221.0,5,60,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Russell Sage Hall,Butterfield Hall,Class of 1953 Commons,Class of 1953 Commons,Russell Sage Hall,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Russell Sage Hall,Butterfield Hall"
13:05:2013,7799.0,63066.0,0.0,0.0,0.0,0.0,0,60,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
14:04:2013,47753.0,0.0,9600.0,35086.0,0.0,0.0,-1,60,"Russell Sage Hall,Russell Sage Hall,Butterfield Hall,Russell Sage Hall,Dartmouth College,Dartmouth College,Russell Sage Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Russell Sage Hall,Russell Sage Hall,Starbucks"
14:05:2013,10201.0,115445.0,0.0,599.0,0.0,0.0,1,60,"0,0,0,0,0,0,Louisiana State University Health Sciences Center,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Terminal Ramp,Terminal Ramp,Terminal Ramp"
15:04:2013,62893.0,0.0,1200.0,18001.0,0.0,0.0,0,60,"Starbucks,Chinese Language House,Chinese Language House,Russell Sage Hall,Russell Sage Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Wentworth Hall,Dartmouth College"
15:05:2013,42092.0,0.0,2397.0,3000.0,0.0,0.0,2,60,"Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall"
16:04:2013,60984.0,1202.0,0.0,22789.0,1199.0,0.0,1,60,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Thel,Dartmouth College,Butterfield Hall,Russell Sage Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,0,Sudikoff Hall,Sudikoff Hall,Morton Hall,0,0,Russell Sage Hall"
16:05:2013,48032.0,0.0,0.0,36913.0,0.0,0.0,3,60,"Butterfield Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Russell Sage Hall,Butterfield Hall,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
17:04:2013,76715.0,0.0,0.0,9687.0,0.0,0.0,2,60,"Russell Sage Hall,Dartmouth College,Dartmouth College,Russell Sage Hall,0,0,Russell Sage Hall,Butterfield Hall,Sudikoff Hall,Sudikoff Hall,Russell Sage Hall,Butterfield Hall,Dartmouth Hall,Dartmouth Hall,Butterfield Hall"
17:05:2013,79809.0,0.0,0.0,7200.0,0.0,0.0,4,60,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Russell Sage Hall,Dartmouth Hall,Dartmouth Hall,Butterfield Hall,Butterfield Hall,Russell Sage Hall,Dartmouth College"
18:04:2013,68402.0,2400.0,3598.0,10798.0,0.0,0.0,3,60,"Russell Sage Hall,Baker Memorial Library,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Russell Sage Hall,Russell Sage Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Russell Sage Hall,Russell Sage Hall,Dartmouth College,Nugget Arcade,Hanover Post Office,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,74831.0,0.0,4799.0,4064.0,0.0,3596.0,5,60,"Dartmouth College,Robinson Hall,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Butterfield Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Butterfield Hall,Russell Sage Hall,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Chi Gamma Epsilon,Dartmouth College,Dartmouth College,Zeta Psi,Sigma Nu Delta Beta,Kappa Pi Kappa,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
19:04:2013,62396.0,2496.0,14147.0,7201.0,1105.0,0.0,4,60,"Butterfield Hall,Butterfield Hall,Topliff Courts,Berry Sports Center,Berry Sports Center,Hood Museum of Art,Chinese Language House,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Butterfield Hall,Russell Sage Hall,Dartmouth Hall,Dartmouth Hall,Life Sciences Greenhouse,0,Von Bargen's Jewelry,Boloco,Dartmouth Co-Op,Dartmouth College"
19:05:2013,83464.0,0.0,2778.0,0.0,0.0,0.0,-1,60,"Dartmouth College,Butterfield Hall,Butterfield Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Butterfield Hall,Butterfield Hall,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Russell Sage Hall"
20:04:2013,85199.0,0.0,0.0,0.0,0.0,0.0,5,60,"Butterfield Hall,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall,Russell Sage Hall,Chinese Language House,Chinese Language House,Cutter Shabazz Hall,Russell Sage Hall,Russell Sage Hall,Dartmouth College,Dartmouth College,Dartmouth College,Cutter Shabazz Hall,Dartmouth College,Dartmouth College,Russell Sage Hall,Butterfield Hall,Dartmouth College,Dartmouth College"
20:05:2013,44408.0,0.0,2400.0,40209.0,0.0,0.0,0,60,"Butterfield Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Butterfield Hall,Butterfield Hall,Class of 1953 Commons,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth College,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall"
21:04:2013,79142.0,0.0,2456.0,5460.0,0.0,0.0,-1,60,"Class of 1953 Commons,Class of 1953 Commons,Butterfield Hall,Butterfield Hall,Dartmouth College,Class of 1953 Commons,Butterfield Hall,Butterfield Hall,Russell Sage Hall,Russell Sage Hall,Topliff Hall,0,0,Russell Sage Hall,Butterfield Hall,Hopkins Center for the Arts,Hopkins Center for the Arts"
21:05:2013,74137.0,0.0,601.0,10201.0,601.0,601.0,1,60,"Butterfield Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Russell Sage Hall,Butterfield Hall,Russell Sage Hall,Russell Sage Hall,Dartmouth College,Blunt Alumni Center Parking Lot,Butterfield Hall,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Butterfield Hall"
22:04:2013,66066.0,0.0,0.0,20335.0,0.0,0.0,0,60,"Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth Hall,Dartmouth Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Russell Sage Hall"
22:05:2013,85829.0,0.0,0.0,596.0,0.0,0.0,2,60,"Butterfield Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Butterfield Hall,Russell Sage Hall,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth College"
23:04:2013,28248.0,0.0,1174.0,58900.0,0.0,0.0,1,60,"Butterfield Hall,Dartmouth College,Baker Memorial Library,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Butterfield Hall,Butterfield Hall,Russell Sage Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Butterfield Hall"
23:05:2013,87977.0,0.0,2400.0,4200.0,0.0,0.0,3,60,"Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Butterfield Hall,Butterfield Hall,Dartmouth College"
24:04:2013,80773.0,0.0,0.0,7201.0,0.0,0.0,2,60,"Butterfield Hall,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Butterfield Hall,Butterfield Hall"
24:05:2013,69609.0,0.0,0.0,7799.0,0.0,0.0,4,60,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Butterfield Hall,Russell Sage Hall,Dartmouth Hall,Dartmouth Hall,Butterfield Hall,Butterfield Hall,Dartmouth College"
25:04:2013,62408.0,0.0,3599.0,15599.0,1199.0,0.0,3,60,"Hopkins Center for the Arts,Hopkins Center for the Arts,Parkhurst Hall,Butterfield Hall,Butterfield Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Russell Sage Hall,Dartmouth Hall,Dartmouth Hall,Maynard Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Guarini Institute for International Education"
25:05:2013,85203.0,0.0,600.0,0.0,0.0,0.0,5,60,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Butterfield Hall,Russell Sage Hall,Dartmouth College,Dartmouth College,Russell Sage Hall,Butterfield Hall"
26:04:2013,79200.0,0.0,0.0,7200.0,0.0,0.0,4,60,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Russell Sage Hall,Butterfield Hall,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Russell Sage Hall,Russell Sage Hall,Dartmouth Hall,Dartmouth Hall,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Butterfield Hall,Butterfield Hall"
26:05:2013,49833.0,0.0,3000.0,7800.0,30929.0,0.0,-1,60,"Butterfield Hall,Russell Sage Hall,Russell Sage Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Inn Dartmouth,Butterfield Hall,Russell Sage Hall,Dartmouth College,South Block Parking Garage,Butterfield Hall,Butterfield Hall,Class of 1953 Commons,Class of 1953 Commons,Butterfield Hall,Butterfield Hall,Russell Sage Hall,Dartmouth College,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Russell Sage Hall,Butterfield Hall,Russell Sage Hall,Butterfield Parking Lot,Dartmouth College,Russell Sage Hall,Dartmouth College,Dartmouth College,Butterfield Parking Lot,Dartmouth College,Butterfield Parking Lot,Butterfield Parking Lot"
27:03:2013,32578.0,0.0,4798.0,9599.0,0.0,0.0,2,60,"Dartmouth College,Butterfield Hall,Butterfield Hall,Alumni Gymnasium,Alumni Gymnasium,Butterfield Hall,Butterfield Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Reed Hall,Reed Hall,Hopkins Center for the Arts"
27:04:2013,78423.0,0.0,4800.0,7210.0,0.0,0.0,5,60,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Butterfield Hall,Butterfield Hall,Russell Sage Hall,Russell Sage Hall,Butterfield Hall,Butterfield Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall"
27:05:2013,60004.0,1199.0,7799.0,11999.0,0.0,0.0,0,60,"Hopkins Center for the Arts,Hopkins Center for the Arts,Butterfield Hall,Class of 1953 Commons,Dartmouth College,Dartmouth College,Butterfield Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dick's House"
28:03:2013,70684.0,0.0,4801.0,9714.0,1201.0,0.0,3,60,"Hopkins Center for the Arts,Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Butterfield Hall,Butterfield Hall,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Class of 1953 Commons,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,71373.0,0.0,0.0,11448.0,0.0,0.0,-1,60,"Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Russell Sage Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Butterfield Hall,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Butterfield Hall,Butterfield Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Russell Sage Hall"
