date,recreational_activities,home_time,school_time,travel_time,orthers,date_in_week,volunteer,location_names
06:04:2013,0.0,181487.0,0.0,0.0,0.0,5,55,"Dartmouth College,Dartmouth College,Dartmouth College"
06:05:2013,0.0,104624.0,15600.0,0.0,0.0,0,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College"
07:05:2013,0.0,47960.0,0.0,0.0,6610.0,1,55,"Dartmouth College,Dartmouth College,0"
08:04:2013,0.0,54786.0,12081.0,0.0,79628.0,0,55,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Logan International Airport,Logan International Airport,Logan International Airport,Logan International Airport,0"
08:05:2013,0.0,64953.0,16973.0,0.0,0.0,2,55,"Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Parker House"
09:04:2013,0.0,192881.0,0.0,0.0,0.0,1,55,Stadium Lofts
09:05:2013,12427.0,90907.0,3489.0,0.0,0.0,3,55,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College"
10:05:2013,0.0,1645748.0,0.0,0.0,0.0,4,55,"Dartmouth College,Dartmouth College"
12:04:2013,0.0,87577.0,3553.0,0.0,0.0,4,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College"
13:04:2013,1270.0,79268.0,4733.0,0.0,0.0,5,55,"0,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
14:04:2013,1200.0,89936.0,13256.0,0.0,0.0,-1,55,"Dartmouth College,Collis Student Center,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Dartmouth College"
15:04:2013,0.0,52811.0,8415.0,0.0,0.0,0,55,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Class of 1953 Commons"
16:04:2013,0.0,92400.0,3600.0,0.0,0.0,1,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
17:04:2013,2402.0,69534.0,4800.0,0.0,0.0,2,55,"Dartmouth College,Dartmouth College,Sanborn House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Dartmouth College,Berry Library"
18:04:2013,0.0,87664.0,0.0,0.0,0.0,3,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
19:04:2013,0.0,86424.0,1108.0,0.0,0.0,4,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
20:04:2013,0.0,88868.0,0.0,0.0,0.0,5,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
21:04:2013,0.0,80521.0,3600.0,0.0,0.0,-1,55,"Dartmouth College,Dartmouth College,Bartlett Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
22:04:2013,4761.0,82677.0,0.0,0.0,1361.0,0,55,"Dartmouth College,Dartmouth College,Dartmouth College,0,Starbucks,Starbucks,Dartmouth College,Dartmouth College,Dartmouth College"
23:04:2013,0.0,58693.0,22842.0,0.0,0.0,1,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College"
24:04:2013,0.0,101664.0,9499.0,18052.0,0.0,2,55,"Bartlett Hall,New Hampshire Hall,0,Maynard Parking Lot,F Lot Parking,F Lot Parking,Dartmouth College,Dartmouth College,Dartmouth College"
25:04:2013,0.0,44400.0,0.0,0.0,0.0,3,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
26:04:2013,0.0,89969.0,0.0,0.0,0.0,4,55,"Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
27:03:2013,0.0,3542.0,3620.0,0.0,0.0,2,55,"Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
27:04:2013,1150.0,79565.0,973.0,0.0,0.0,5,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Carpenter Hall,Dartmouth College"
28:03:2013,7199.0,76897.0,3101.0,0.0,0.0,3,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
28:04:2013,8438.0,79231.0,0.0,0.0,0.0,-1,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
29:03:2013,7199.0,76492.0,0.0,0.0,2446.0,4,55,"Dartmouth College,0,Dartmouth College,Dartmouth College,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
29:04:2013,0.0,85373.0,0.0,0.0,0.0,0,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College"
29:05:2013,0.0,60001.0,0.0,0.0,0.0,2,55,"Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
30:03:2013,77073.0,0.0,0.0,10800.0,0.0,5,55,"Hopkins Center for the Arts,Hopkins Center for the Arts,Courtyard Marriott,0"
30:04:2013,0.0,93735.0,32272.0,0.0,0.0,1,55,"Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College"
30:05:2013,0.0,85889.0,0.0,0.0,0.0,3,55,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,F Lot Parking"
31:03:2013,115200.0,0.0,0.0,0.0,0.0,-1,55,"Courtyard Marriott,Courtyard Marriott,Courtyard Marriott,Courtyard Marriott,Courtyard Marriott,Courtyard Marriott"
