date,home_time,school_time,orthers,travel_time,shopping,recreational_activities,working,date_in_week,volunteer,location_names
21:05:2013,46800.0,25205.0,0.0,0.0,0.0,0.0,0.0,1,57,"Moore Psychology Building,Kemeny Hall,Kemeny Hall,Dartmouth College,Dartmouth College,0,0,Moore Psychology Building"
22:04:2013,1200.0,22800.0,0.0,0.0,0.0,0.0,0.0,0,57,"0,Moore Psychology Building"
22:05:2013,45597.0,43200.0,0.0,1198.0,0.0,0.0,0.0,2,57,"Dartmouth College,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Dartmouth College,0,0,Dartmouth College,Native American House Parking Lot,Moore Psychology Building"
23:04:2013,51600.0,15600.0,0.0,0.0,0.0,3600.0,0.0,1,57,"Moore Psychology Building,Hanover Inn Dartmouth,0,0,Moore Psychology Building"
23:05:2013,52800.0,33601.0,1199.0,1200.0,0.0,0.0,0.0,3,57,"Moore Psychology Building,White Mountains Insurance Group,Dartmouth College,Moore Psychology Building,Moore Psychology Building,Maynard Parking Lot,0,0,Moore Psychology Building"
24:04:2013,45600.0,37200.0,1200.0,0.0,0.0,1200.0,0.0,2,57,"Moore Psychology Building,0,Hanover Inn Dartmouth,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building,Moore Psychology Building,Class of 1953 Commons"
24:05:2013,34799.0,25200.0,8400.0,8400.0,0.0,4801.0,0.0,4,57,"White Mountains Insurance Group,Moore Psychology Building,Moore Psychology Building,0,New Hampshire Hall,Hanover Inn Valet Lot,Heating & Electric Plant,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Heating & Electric Plant,Hanover Inn Valet Lot,Heating & Electric Plant,Heating & Electric Plant,0,0,Moore Psychology Building"
25:04:2013,68400.0,20400.0,0.0,1200.0,0.0,1200.0,0.0,3,57,"Class of 1953 Commons,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building,Moore Psychology Building,0,0,0,0,Moore Psychology Building"
25:05:2013,53999.0,55200.0,1201.0,0.0,0.0,1200.0,0.0,5,57,"Moore Psychology Building,0,Moore Psychology Building,Moore Psychology Building,0,Moore Psychology Building,Moore Psychology Building,Dartmouth College,Dartmouth College,0,0,Moore Psychology Building"
26:04:2013,49200.0,32400.0,0.0,0.0,0.0,0.0,0.0,4,57,"Moore Psychology Building,0,Moore Psychology Building,0,0,Moore Psychology Building"
26:05:2013,75346.0,1200.0,0.0,0.0,0.0,0.0,0.0,-1,57,"Moore Psychology Building,0"
27:03:2013,38401.0,4799.0,0.0,0.0,0.0,4800.0,0.0,2,57,"0,0,Moore Psychology Building,Moore Psychology Building,Hanover Inn Dartmouth"
27:04:2013,175201.0,19200.0,0.0,3600.0,0.0,0.0,0.0,5,57,"Moore Psychology Building,Native American House Parking Lot,0,0,Moore Psychology Building,Native American House Parking Lot,Native American House Parking Lot,Moore Psychology Building,Moore Psychology Building,0"
27:05:2013,41999.0,27601.0,0.0,0.0,0.0,0.0,0.0,0,57,"0,Dartmouth College,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building,Moore Psychology Building,Dartmouth College,0,0"
28:03:2013,4801.0,35952.0,49198.0,0.0,0.0,0.0,0.0,3,57,"Moore Psychology Building,Moore Psychology Building,0,0,0,Moore Psychology Building"
28:05:2013,35270.0,32400.0,0.0,0.0,0.0,0.0,22800.0,1,57,"Dartmouth College,Moore Psychology Building,Moore Psychology Building,Phi Tau,Phi Tau,0,0"
29:03:2013,46797.0,24051.0,220958.0,0.0,0.0,629.0,0.0,4,57,"Moore Psychology Building,Dartmouth College,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,0,0,0,Hanover Inn Dartmouth,0"
29:04:2013,51600.0,22800.0,0.0,0.0,0.0,0.0,0.0,0,57,"0,0,Moore Psychology Building"
29:05:2013,54000.0,28803.0,0.0,2397.0,0.0,0.0,0.0,2,57,"Moore Psychology Building,Native American House Parking Lot,Native American House Parking Lot,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building"
30:04:2013,55201.0,32401.0,0.0,0.0,0.0,0.0,0.0,1,57,"Moore Psychology Building,0,0,Moore Psychology Building,Moore Psychology Building,0,0,Moore Psychology Building"
30:05:2013,43200.0,51600.0,0.0,1200.0,0.0,0.0,0.0,3,57,"Moore Psychology Building,Native American House Parking Lot,Moore Psychology Building,0,0,Moore Psychology Building,0,0,Moore Psychology Building"
31:05:2013,2397.0,14399.0,9599.0,4804.0,0.0,0.0,44401.0,4,57,"Moore Psychology Building,Bartlett Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Collis Student Center,Collis Student Center,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Dartmouth College,White Mountains Insurance Group,White Mountains Insurance Group,Dartmouth College,Moore Psychology Building,Moore Psychology Building,Phi Tau,Phi Tau,Wilson Hall,0"
