date,home_time,recreational_activities,school_time,travel_time,orthers,shopping,date_in_week,volunteer,location_names
08:04:2013,148732.0,0.0,9600.0,0.0,0.0,0.0,0,28,"Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Thornton Hall,Thornton Hall,Bartlett Hall,Ripley Hall"
08:05:2013,69604.0,0.0,10796.0,0.0,0.0,0.0,2,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Bartlett Hall,Bartlett Hall,Dartmouth College"
09:05:2013,99600.0,0.0,0.0,0.0,0.0,0.0,3,28,"Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
10:04:2013,54040.0,0.0,15559.0,0.0,0.0,0.0,2,28,"Ripley Hall,Dartmouth College,Collis Student Center,Sudikoff Hall,Dartmouth College,Dartmouth College,Wentworth Hall,Ripley Hall,Ripley Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Thornton Hall,Reed Hall,Bartlett Hall,Thornton Hall,Dartmouth College,Dartmouth College"
10:05:2013,85200.0,0.0,0.0,0.0,0.0,0.0,4,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
11:04:2013,82800.0,0.0,2400.0,0.0,0.0,0.0,3,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Collis Student Center,Collis Student Center,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,73201.0,1200.0,3601.0,0.0,0.0,1198.0,5,28,"Ripley Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Collis Student Center,Collis Student Center,Robinson Hall,Chew & Co. Design,Ripley Hall,Ripley Hall,Ripley Hall"
12:04:2013,70841.0,0.0,21559.0,1200.0,0.0,0.0,4,28,"Moore Psychology Building,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Bartlett Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Woodward Smith Parking Lot,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall"
12:05:2013,101996.0,2404.0,0.0,1200.0,0.0,0.0,-1,28,"Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Woodward Smith Parking Lot,Ripley Hall"
13:04:2013,75536.0,0.0,5997.0,0.0,0.0,0.0,5,28,"Bartlett Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Robinson Hall,Robinson Hall,Dartmouth College,Dartmouth College"
13:05:2013,56400.0,0.0,12935.0,0.0,0.0,0.0,0,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Bartlett Hall,Bartlett Hall"
14:04:2013,80400.0,0.0,0.0,16806.0,0.0,0.0,-1,28,"Ripley Woodward Smith Parking Lot,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
14:05:2013,93601.0,0.0,0.0,0.0,0.0,7200.0,1,28,"Ripley Hall,Ripley Hall,Observatory Road,Observatory Road,Ripley Hall"
15:04:2013,58800.0,0.0,14400.0,0.0,0.0,0.0,0,28,"Ripley Hall,Collis Student Center,Collis Student Center,Collis Student Center,Class of 1953 Commons,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Bartlett Hall,Bartlett Hall,Bartlett Hall"
15:05:2013,65645.0,0.0,8755.0,0.0,0.0,0.0,2,28,"Ripley Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Bartlett Hall,Bartlett Hall,Dartmouth College"
16:04:2013,87600.0,0.0,0.0,0.0,0.0,0.0,1,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
16:05:2013,72000.0,0.0,6000.0,0.0,0.0,0.0,3,28,"Dartmouth College,Bartlett Hall,Dartmouth Hall,Dartmouth Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College"
17:04:2013,80400.0,0.0,4800.0,3600.0,0.0,0.0,2,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Woodward Smith Parking Lot,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Bartlett Hall,Bartlett Hall,Dartmouth College"
17:05:2013,168000.0,0.0,0.0,0.0,0.0,0.0,4,28,"Dartmouth College,Ripley Hall"
18:04:2013,80400.0,0.0,2400.0,0.0,0.0,0.0,3,28,"Dartmouth College,Dartmouth College,Bartlett Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,1201.0,0.0,18000.0,0.0,0.0,0.0,5,28,"Ripley Hall,Sudikoff Hall"
19:04:2013,73202.0,0.0,13199.0,0.0,0.0,0.0,4,28,"Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth Hall,Thornton Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Bartlett Hall,Bartlett Hall,Dartmouth College"
19:05:2013,34800.0,1200.0,1199.0,108510.0,0.0,0.0,-1,28,"Sudikoff Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Ripley Woodward Smith Parking Lot"
20:04:2013,97199.0,0.0,7200.0,0.0,0.0,0.0,5,28,"Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Collis Student Center,Collis Student Center,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
20:05:2013,7200.0,0.0,4800.0,0.0,0.0,0.0,0,28,"Ripley Hall,Dartmouth College,Dartmouth College,Bartlett Hall,Bartlett Hall,Dartmouth College"
21:04:2013,78000.0,0.0,0.0,0.0,0.0,0.0,-1,28,"Ripley Hall,Dartmouth College,Ripley Hall"
21:05:2013,151203.0,0.0,4798.0,0.0,0.0,0.0,1,28,"Dartmouth College,Dartmouth College,Thornton Hall,Ripley Hall,Ripley Hall,Sudikoff Hall,Bartlett Hall,Ripley Hall"
22:04:2013,72000.0,0.0,4800.0,0.0,0.0,0.0,0,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Bartlett Hall,Bartlett Hall,Thornton Hall,Dartmouth College"
22:05:2013,7199.0,0.0,9600.0,0.0,0.0,0.0,2,28,"Ripley Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Bartlett Hall,Bartlett Hall,Dartmouth Hall,Dartmouth College"
23:04:2013,100800.0,0.0,0.0,0.0,0.0,0.0,1,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
23:05:2013,127203.0,1197.0,0.0,0.0,0.0,0.0,3,28,"Dartmouth College,Baker Memorial Library,Ripley Hall"
24:04:2013,79634.0,3599.0,0.0,0.0,0.0,0.0,2,28,"Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
24:05:2013,154835.0,0.0,0.0,0.0,0.0,0.0,4,28,"Ripley Hall,Ripley Hall"
25:04:2013,75197.0,0.0,0.0,0.0,0.0,0.0,3,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
26:04:2013,73497.0,0.0,13200.0,0.0,0.0,0.0,4,28,"Latin American, Latino/a, and Caribbean House,Bartlett Hall,Bartlett Hall,Dartmouth Hall,Dartmouth Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Bartlett Hall,Bartlett Hall,Dartmouth College,Dartmouth College"
26:05:2013,80400.0,0.0,0.0,0.0,0.0,0.0,-1,28,"Ripley Hall,Ripley Hall"
27:04:2013,93600.0,0.0,0.0,0.0,0.0,0.0,5,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
27:05:2013,41680.0,0.0,27599.0,0.0,0.0,0.0,0,28,"Ripley Hall,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Ripley Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
28:03:2013,1202.0,0.0,84980.0,0.0,0.0,0.0,3,28,"Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse"
28:04:2013,94800.0,0.0,0.0,0.0,0.0,0.0,-1,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
28:05:2013,44397.0,0.0,43203.0,1200.0,0.0,0.0,1,28,"Sudikoff Hall,Dartmouth College,Bartlett Hall,Bartlett Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Wheeler Hall,Ripley Hall,Ripley Woodward Smith Parking Lot,Ripley Hall"
29:03:2013,68327.0,5999.0,12072.0,0.0,0.0,0.0,4,28,"Dartmouth College,Dartmouth College,Black Family Visual Arts Center,Black Family Visual Arts Center,Hopkins Center for the Arts,Bartlett Hall,Bartlett Hall,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Bartlett Hall,Bartlett Hall,Baker Memorial Library"
29:04:2013,63601.0,1200.0,5999.0,0.0,0.0,0.0,0,28,"Ripley Hall,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Vail,Bartlett Hall,Bartlett Hall,Dartmouth College"
29:05:2013,18001.0,0.0,62402.0,2399.0,1199.0,0.0,2,28,"Ripley Hall,The Church of Christ at Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall"
30:03:2013,4802.0,0.0,91197.0,0.0,0.0,0.0,5,28,"Dartmouth College,Dartmouth College,Wentworth Hall"
30:04:2013,88800.0,0.0,0.0,1200.0,0.0,0.0,1,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Woodward Smith Parking Lot,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
30:05:2013,85200.0,0.0,0.0,0.0,0.0,0.0,3,28,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
31:03:2013,97200.0,3600.0,0.0,0.0,0.0,0.0,-1,28,"Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall"
31:05:2013,95407.0,0.0,0.0,0.0,0.0,0.0,4,28,"Ripley Hall,Ripley Hall,Ripley Hall"
