date,home_time,orthers,school_time,travel_time,recreational_activities,working,shopping,date_in_week,volunteer,location_names
06:04:2013,12943.0,0.0,63600.0,9600.0,3600.0,2400.0,0.0,5,31,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Alpha Phi,Alpha Phi,0,0"
06:05:2013,34803.0,0.0,8399.0,33597.0,6001.0,0.0,0.0,0,31,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,New Hampshire Hall,Dartmouth College,Dartmouth College,Bartlett Hall,Bartlett Hall,0,New Hampshire Hall,New Hampshire Hall,0,0,0,0,0,0,0,0,Bartlett Hall,0,New Hampshire Hall,0,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Vail,Dartmouth College,Dartmouth College,Dartmouth College"
07:04:2013,21714.0,58800.0,0.0,0.0,0.0,0.0,0.0,-1,31,"0,0,0,0,0,0,0,0,0,0,0"
07:05:2013,50400.0,1200.0,3600.0,22800.0,7201.0,0.0,0.0,1,31,"Dartmouth College,Reed Hall Northbound,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Zahm Courtyard,New Hampshire Hall,New Hampshire Hall,Heating & Electric Plant,0,New Hampshire Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College"
08:04:2013,13200.0,39600.0,7200.0,25200.0,0.0,0.0,0.0,0,31,"0,0,0,0,Hanover Inn Valet Lot,0,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,0,Hanover Inn Valet Lot,0,New Hampshire Hall,0,New Hampshire Hall,Hanover Inn Valet Lot,Collis Student Center,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
08:05:2013,37204.0,0.0,3595.0,36000.0,10800.0,0.0,0.0,2,31,"Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,0,Hanover Inn Valet Lot,0,New Hampshire Hall,0,0,0,0,0,0,Hanover Inn Valet Lot,0,0,New Hampshire Hall,0,Hanover Inn Valet Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Parkhurst Hall,Dartmouth College"
09:04:2013,32361.0,0.0,18000.0,36840.0,0.0,0.0,0.0,1,31,"Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,New Hampshire Hall,0,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,0,Dartmouth College,Dartmouth College"
09:05:2013,30004.0,0.0,10800.0,43200.0,0.0,1196.0,0.0,3,31,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Collis Student Center,Collis Student Center,0,0,New Hampshire Hall,Alpha Xi Delta,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,0,Bartlett Hall,0,0,0,0,0,0,0,0,0,Bartlett Hall,0,New Hampshire Hall,Bartlett Hall,0,0,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,Collis Student Center"
10:04:2013,40660.0,0.0,12532.0,19273.0,14335.0,0.0,0.0,2,31,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Bartlett Hall,Bartlett Hall,New Hampshire Hall,Hanover Inn Valet Lot,Alumni Gymnasium,Alumni Gymnasium,New Hampshire Hall,0,Hanover Inn Valet Lot,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,0,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Collis Student Center,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
10:05:2013,14402.0,0.0,19198.0,38400.0,15600.0,0.0,0.0,4,31,"Collis Student Center,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Class of 1953 Commons,Class of 1953 Commons,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,0,Hanover Inn Valet Lot,Bartlett Hall,0,0,0,New Hampshire Hall,0,New Hampshire Hall,0,0,Bartlett Hall,0,0,0,0,0,Collis Student Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Parker House,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College"
11:04:2013,44399.0,2399.0,3599.0,19203.0,13199.0,2400.0,0.0,3,31,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hanover Inn Valet Lot,Class of 1953 Commons,Class of 1953 Commons,New Hampshire Hall,Heating & Electric Plant,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Alpha Phi,Alpha Phi,Dartmouth Row Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,0,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,Hanover Inn Valet Lot,Hopkins Center for the Arts,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,27608.0,0.0,5992.0,14701.0,124499.0,8400.0,0.0,5,31,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,New Hampshire Hall,Dartmouth College,0,New Hampshire Hall,Hanover Inn Valet Lot,0,0,0,Alpha Phi,Alpha Phi,Dartmouth College,Dartmouth College,Collis Student Center,0,New Hampshire Hall,0,0,New Hampshire Hall,0,0,0,0"
12:04:2013,32400.0,0.0,21600.0,22800.0,10800.0,0.0,0.0,4,31,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Hanover Inn Valet Lot,0,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Collis Student Center,Collis Student Center,New Hampshire Hall,0,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Collis Student Center,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
13:04:2013,39600.0,0.0,4800.0,39600.0,4800.0,0.0,0.0,5,31,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Hanover Inn Valet Lot,0,New Hampshire Hall,0,0,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,0,New Hampshire Hall,0,New Hampshire Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,0,New Hampshire Hall,0,New Hampshire Hall,0"
13:05:2013,7200.0,27600.0,12000.0,31200.0,0.0,0.0,0.0,0,31,"0,New Hampshire Hall,0,0,0,0,New Hampshire Hall,Collis Student Center,Collis Student Center,Dartmouth College,Collis Student Center,Reed Hall,Reed Hall,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College"
14:04:2013,1200.0,81600.0,0.0,0.0,0.0,0.0,0.0,-1,31,"0,0,0,0"
14:05:2013,34800.0,0.0,3600.0,46800.0,0.0,0.0,0.0,1,31,"Dartmouth College,Collis Student Center,Class of 1953 Commons,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Collis Student Center,Dartmouth College,Dartmouth College"
15:04:2013,39597.0,26400.0,1200.0,16803.0,3600.0,0.0,0.0,0,31,"0,0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Inn Valet Lot,0,Middle Fayerweather Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,0,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,0,0,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,0,New Hampshire Hall,0,Dartmouth College,0,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
15:05:2013,61200.0,0.0,6000.0,9600.0,9600.0,0.0,0.0,2,31,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Collis Student Center,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,0,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,0,Collis Student Center,Collis Student Center,0,Dartmouth College,Dartmouth College,Collis Student Center"
16:04:2013,34801.0,0.0,12000.0,31200.0,6000.0,0.0,1200.0,1,31,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Observatory Road,New Hampshire Hall,Class of 1953 Commons,Class of 1953 Commons,0,New Hampshire Hall,0,Sudikoff Hall,Sudikoff Hall,Collis Student Center,Collis Student Center,0,0,New Hampshire Hall,New Hampshire Hall,0,0,0,New Hampshire Hall,0,0,0,0,New Hampshire Hall,New Hampshire Hall,0,0,Hanover Inn Valet Lot,0,New Hampshire Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
16:05:2013,1200.0,0.0,1200.0,72000.0,12000.0,0.0,0.0,3,31,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,0,New Hampshire Hall,0,0,0,Collis Student Center,0,Zahm Courtyard,Hopkins Center for the Arts"
17:04:2013,50400.0,0.0,10800.0,19197.0,7202.0,0.0,0.0,2,31,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,0,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,0,0,New Hampshire Hall,0,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,0,0,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,0,New Hampshire Hall,0,Collis Student Center,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
17:05:2013,0.0,0.0,0.0,2400.0,280988.0,0.0,0.0,4,31,"Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts"
18:04:2013,13200.0,0.0,14400.0,52800.0,2400.0,2400.0,0.0,3,31,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,New Hampshire Hall,Dartmouth College,New Hampshire Hall,0,Class of 1953 Commons,Class of 1953 Commons,0,0,0,0,0,Alpha Phi,Alpha Phi,Class of 1953 Commons,Class of 1953 Commons,0,0,New Hampshire Hall,Hanover Inn Valet Lot,0,0,0,0,0,0,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
19:04:2013,49200.0,0.0,5999.0,24000.0,8401.0,0.0,0.0,4,31,"Collis Student Center,Collis Student Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Collis Student Center,0,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,0,0,New Hampshire Hall,0,0,0,0,0,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
20:04:2013,39599.0,0.0,32399.0,21602.0,0.0,0.0,0.0,5,31,"Dartmouth College,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,0,0,Dartmouth College,0,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,0,New Hampshire Hall,Reed Hall"
20:05:2013,9601.0,0.0,13200.0,38400.0,1200.0,0.0,0.0,0,31,"Dartmouth College,Dartmouth College,Collis Student Center,0,0,0,0,0,New Hampshire Hall,Collis Student Center,Collis Student Center,Dartmouth College"
21:04:2013,0.0,78000.0,0.0,0.0,0.0,0.0,0.0,-1,31,"0,0,0,0,0,0"
21:05:2013,28776.0,0.0,49119.0,1303.0,0.0,7201.0,0.0,1,31,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Collis Student Center,0,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College"
22:04:2013,26400.0,31201.0,2400.0,25200.0,2399.0,0.0,0.0,0,31,"0,0,0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,0,0,New Hampshire Hall,New Hampshire Hall,0,0,Collis Student Center,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
22:05:2013,25200.0,0.0,60589.0,0.0,1200.0,0.0,0.0,2,31,"Hopkins Center for the Arts,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College"
23:04:2013,44487.0,0.0,24000.0,15600.0,1200.0,0.0,0.0,1,31,"Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,0,0,0,0,New Hampshire Hall,0,0,New Hampshire Hall,Collis Student Center"
23:05:2013,16797.0,0.0,4803.0,58801.0,3600.0,2399.0,0.0,3,31,"Dartmouth College,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,0,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Alpha Phi,Alpha Phi,0,Collis Student Center,Dartmouth Row Parking Lot"
24:04:2013,25202.0,1196.0,8402.0,37200.0,22800.0,0.0,0.0,2,31,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,The Church of Christ at Dartmouth College,New Hampshire Hall,0,0,Hanover Inn Valet Lot,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,0,0,New Hampshire Hall,0,0,0,Collis Student Center,Dartmouth College,0"
24:05:2013,1200.0,0.0,20839.0,12000.0,55200.0,0.0,0.0,4,31,"0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Hood Museum of Art,0,Collis Student Center,Collis Student Center"
25:04:2013,37195.0,0.0,7206.0,32399.0,0.0,1200.0,0.0,3,31,"Collis Student Center,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Phi,0,0,Bartlett Hall,New Hampshire Hall,Collis Student Center,Dartmouth College,0,0,Collis Student Center,Collis Student Center,0,Life Sciences Greenhouse,Life Sciences Greenhouse"
25:05:2013,16800.0,0.0,4800.0,54000.0,8400.0,0.0,0.0,5,31,"Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Hood Museum of Art,New Hampshire Hall,Hopkins Center for the Arts,0,Bartlett Hall,0,New Hampshire Hall,Hopkins Center for the Arts"
26:04:2013,16986.0,0.0,10366.0,44580.0,15448.0,0.0,0.0,4,31,"Collis Student Center,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,0,0,Baker Memorial Library,Baker Memorial Library,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Baker Memorial Library,Baker Memorial Library,0,0,Collis Student Center,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
26:05:2013,37200.0,0.0,13200.0,33600.0,1200.0,0.0,0.0,-1,31,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,0,Collis Student Center,South Block Parking Garage,South Block Parking Garage,0,Sanborn House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Class of 1953 Commons"
27:04:2013,30104.0,6339.0,9585.0,36768.0,4804.0,0.0,0.0,5,31,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,Dartmouth College,Dartmouth College,0,0,Class of 1953 Commons,Class of 1953 Commons,New Hampshire Hall,New Hampshire Hall,0,Martha E. Diebold Real Estate,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,0,Bartlett Hall,0,0,0,Bartlett Hall,0,0,Hanover Inn Valet Lot,0,0"
27:05:2013,32401.0,0.0,68399.0,0.0,0.0,0.0,0.0,0,31,"Class of 1953 Commons,Sanborn House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
28:03:2013,0.0,0.0,108689.0,0.0,0.0,0.0,0.0,3,31,Sudikoff Hall
28:04:2013,64735.0,19252.0,0.0,0.0,0.0,0.0,0.0,-1,31,"0,0,0,0,0,0,0,0,0,0,0,0,0"
28:05:2013,2401.0,0.0,34725.0,34801.0,0.0,0.0,0.0,1,31,"Sudikoff Hall,Dartmouth College,0,0,Class of 1953 Commons,Class of 1953 Commons,Life Sciences Greenhouse,0,0,0"
29:03:2013,37201.0,0.0,2400.0,18000.0,2398.0,4801.0,0.0,4,31,"Alpha Phi,Alpha Phi,Alpha Phi,0,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
29:04:2013,40097.0,599.0,30082.0,16835.0,0.0,0.0,0.0,0,31,"0,0,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Collis Student Center,Collis Student Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,New Hampshire Hall,0,0,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,0,0,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
29:05:2013,75058.0,0.0,4141.0,0.0,8400.0,0.0,0.0,2,31,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College"
30:03:2013,14399.0,0.0,15009.0,132002.0,7201.0,1791.0,0.0,5,31,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,The Lodge,Zahm Courtyard,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Alpha Phi,Alpha Phi,0,Collis Student Center,Bartlett Hall,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot"
