date,recreational_activities,school_time,working,home_time,shopping,travel_time,orthers,date_in_week,volunteer,location_names
10:04:2013,2403.0,17945.0,57712.0,7196.0,0.0,0.0,0.0,2,58,"Alpha Theta,Dartmouth College,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta"
10:05:2013,0.0,50678.0,27346.0,5271.0,0.0,1192.0,3009.0,4,58,"0,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Peaceful Serenity,Peaceful Serenity,Alpha Theta,Peaceful Serenity,Alpha Theta,Native American House,Alpha Theta,Native American House,Native American House,Native American House,Alpha Theta,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Native American House,Native American House,Alpha Theta,Alpha Theta,Native American House,Native American House,Dartmouth College,Sanborn House,0,Phi Tau,Phi Tau,0,Phi Tau"
11:04:2013,2513.0,23887.0,53078.0,4691.0,0.0,0.0,3431.0,3,58,"Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Alumni Gymnasium,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Coldwell Banker,Coldwell Banker,Alpha Theta,Alpha Theta,Collis Student Center,Bartlett Hall,Alpha Theta,Class of 1978 Life Sciences Center"
11:05:2013,3600.0,17463.0,5933.0,48371.0,0.0,14464.0,0.0,5,58,"Phi Tau,Phi Tau,Phi Tau,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Alpha Theta,Alpha Theta,Sudikoff Hall,Alpha Theta,Alpha Theta,Native American House,Native American House,Alpha Theta,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Hood Museum of Art,Hopkins Center for the Arts,0,Dartmouth College"
12:04:2013,2400.0,7200.0,64796.0,24000.0,0.0,0.0,0.0,4,58,"Class of 1978 Life Sciences Center,Alpha Theta,Alpha Theta,Wheeler Hall,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College"
12:05:2013,1799.0,10433.0,57985.0,1200.0,0.0,0.0,10786.0,-1,58,"0,Caring Family Dentistry,Caring Family Dentistry,Alpha Theta,Native American House,Peaceful Serenity,Alpha Theta,Alpha Theta,Peaceful Serenity,Peaceful Serenity,Alpha Theta,Alpha Theta,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Peaceful Serenity,Native American House,Dartmouth College,Alpha Theta,Alpha Theta,Collis Student Center"
13:04:2013,6003.0,2475.0,222324.0,2402.0,0.0,0.0,0.0,5,58,"Alpha Theta,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Alpha Theta,Black Family Visual Arts Center,Black Family Visual Arts Center,Dartmouth College,Alpha Theta"
13:05:2013,1201.0,17989.0,65299.0,1202.0,0.0,0.0,0.0,0,58,"Collis Student Center,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Collis Student Center,Hopkins Center for the Arts,Alpha Theta,Alpha Theta"
14:05:2013,4200.0,12050.0,71401.0,3655.0,0.0,0.0,604.0,1,58,"Class of 1953 Commons,Class of 1953 Commons,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Class of 1953 Commons,Class of 1953 Commons,Haldeman Center,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,0,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Collis Student Center,Alpha Theta"
15:04:2013,0.0,0.0,7198.0,6002.0,0.0,0.0,0.0,0,58,"Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta"
15:05:2013,1081.0,4196.0,84162.0,1315.0,0.0,0.0,0.0,2,58,"Alpha Theta,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Alpha Theta,Alpha Theta,Collis Student Center,Collis Student Center,Dartmouth College,Alpha Theta"
16:04:2013,9612.0,7191.0,66001.0,3596.0,0.0,0.0,0.0,1,58,"Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,Class of 1953 Commons,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall"
16:05:2013,0.0,11801.0,11878.0,4821.0,0.0,48003.0,0.0,3,58,"Alpha Theta,Dartmouth College,Dartmouth College,Webster Hall,Dartmouth College,0,Alpha Theta,Dartmouth College,Alpha Theta,Alpha Theta,Phi Tau,Phi Tau,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta,Phi Tau,Phi Tau,Phi Tau,Phi Tau"
17:04:2013,0.0,12004.0,74397.0,0.0,0.0,0.0,0.0,2,58,"Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta"
17:05:2013,0.0,9000.0,20407.0,56151.0,0.0,1200.0,0.0,4,58,"Alpha Theta,0,Dartmouth College,Collis Student Center,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Bones Gate,Bones Gate,Dartmouth College,Alpha Theta,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Alpha Theta,Sanborn House,Dartmouth College,Dartmouth College,Alpha Theta"
18:04:2013,0.0,16800.0,57661.0,7196.0,0.0,3544.0,0.0,3,58,"Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,7269.0,4088.0,29833.0,0.0,0.0,56617.0,1790.0,5,58,"Alpha Theta,Starbucks,Starbucks,0,Starbucks,Alpha Theta,Alpha Theta,Dartmouth Hall,Dartmouth Hall,Alpha Theta,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,0,Alpha Theta,Alpha Theta,0,Alpha Theta,Alpha Theta,Left Bank Books,Hanover Post Office Northbound,Nugget Arcade,Alpha Theta,0"
19:04:2013,6000.0,7204.0,43945.0,3644.0,0.0,1204.0,24000.0,4,58,"Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Sudikoff Hall,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Alumni Gymnasium,Alumni Gymnasium,Alpha Theta,Alpha Theta,Peaceful Serenity,Peaceful Serenity,Alpha Theta,Life Sciences Greenhouse,0,Alpha Theta,Alpha Theta"
19:05:2013,1800.0,3663.0,64492.0,3537.0,0.0,9000.0,0.0,-1,58,"0,0,Alpha Theta,Dartmouth College,0,0,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Dartmouth College,0,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta,Alpha Theta,Hopkins Center for the Arts,Alpha Theta"
20:04:2013,25030.0,10908.0,4807.0,29937.0,10748.0,0.0,6170.0,5,58,"Dartmouth College,Phi Tau,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Native American House,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Lui Lui,Lui Lui,0,0,Roberts Flowers of Hanover,0,The Dowds' Country Inn & Event Center,The Dowds' Country Inn & Event Center,Mountainside Chiropractic"
20:05:2013,1800.0,44401.0,33143.0,598.0,0.0,0.0,0.0,0,58,"Alpha Theta,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Collis Student Center,Alpha Theta,Alpha Theta,Sudikoff Hall"
21:04:2013,0.0,22431.0,44574.0,0.0,0.0,2400.0,15427.0,-1,58,"0,Alpha Theta,Alpha Theta,Carson Hall,Carson Hall,Alpha Theta,Alpha Theta,Peaceful Serenity,Native American House,Native American House,Alpha Theta,Alpha Theta,Peaceful Serenity,Alpha Theta,Alpha Theta"
21:05:2013,8276.0,14946.0,65872.0,4317.0,0.0,0.0,0.0,1,58,"Sudikoff Hall,Alpha Theta,Alpha Theta,Dartmouth College,Phi Tau,Alpha Theta,Alpha Theta,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta"
22:04:2013,9651.0,32181.0,17024.0,29940.0,0.0,0.0,0.0,0,58,"Dartmouth College,Dartmouth College,Carson Hall,Carson Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Berry Library,Berry Library,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Native American House,Alpha Theta,Native American House,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall"
22:05:2013,10800.0,23093.0,3056.0,39596.0,0.0,0.0,0.0,2,58,"Alpha Theta,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hanover Inn Dartmouth,Hanover Inn Dartmouth,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College"
23:04:2013,5947.0,8240.0,225927.0,3659.0,0.0,0.0,0.0,1,58,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Class of 1953 Commons,Class of 1953 Commons,Alumni Gymnasium,Alumni Gymnasium,Native American House,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Collis Student Center,Alpha Theta"
23:05:2013,2400.0,23400.0,57537.0,1200.0,0.0,1780.0,0.0,3,58,"Alpha Theta,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,0,Alpha Theta,Alpha Theta"
24:05:2013,4204.0,132203.0,20385.0,0.0,0.0,0.0,0.0,4,58,"Collis Student Center,Collis Student Center,Collis Student Center,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,Alpha Theta,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Alpha Theta,Sudikoff Hall,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall"
25:04:2013,0.0,4861.0,4773.0,6001.0,0.0,0.0,0.0,3,58,"Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse"
25:05:2013,0.0,9004.0,7798.0,0.0,0.0,0.0,0.0,5,58,"Alpha Theta,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
26:04:2013,2403.0,15671.0,17947.0,43430.0,0.0,0.0,5878.0,4,58,"Life Sciences Greenhouse,0,0,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Peaceful Serenity,Native American House,Native American House,Alpha Theta,Peaceful Serenity,Native American House,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Alpha Theta"
26:05:2013,6600.0,30001.0,53398.0,0.0,0.0,8401.0,0.0,-1,58,"Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Moore Psychology Building,Alpha Theta,Alpha Theta,0,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Collis Student Center,Sudikoff Hall"
27:03:2013,0.0,10844.0,37156.0,0.0,0.0,0.0,0.0,2,58,"Alpha Theta,Alpha Theta,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Collis Student Center,Collis Student Center,Alpha Theta"
27:04:2013,0.0,19252.0,34840.0,10856.0,0.0,0.0,20188.0,5,58,"Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Peaceful Serenity,Collis Student Center,Collis Student Center,Morton Hall,Alpha Theta,Alpha Theta,Native American House,Dartmouth College,Peaceful Serenity,Native American House,Native American House,Peaceful Serenity,Peaceful Serenity,Alpha Theta,Alpha Theta,Dartmouth College"
27:05:2013,7625.0,105227.0,4800.0,1315.0,0.0,0.0,0.0,0,58,"Sudikoff Hall,Alpha Theta,Alpha Theta,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Alpha Theta,Alpha Theta,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall"
28:03:2013,7205.0,9504.0,59953.0,9696.0,0.0,0.0,0.0,3,58,"Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Class of 1953 Commons,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta,Alpha Theta,Collis Student Center,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,0.0,23748.0,67448.0,2404.0,0.0,0.0,0.0,-1,58,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Native American House,Alpha Theta"
28:05:2013,0.0,26401.0,16800.0,600.0,0.0,0.0,0.0,1,58,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Collis Student Center"
29:03:2013,2401.0,7175.0,75680.0,1190.0,0.0,0.0,0.0,4,58,"Hopkins Center for the Arts,Sanborn House,Alpha Theta,Alpha Theta,Alumni Gymnasium,Alpha Theta,Alpha Theta,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Alpha Theta,Alpha Theta,Collis Student Center,Alpha Theta"
29:04:2013,1161.0,21438.0,39695.0,14406.0,0.0,0.0,3704.0,0,58,"Alpha Theta,Peaceful Serenity,Native American House,Alpha Theta,Alpha Theta,Dartmouth College,Class of 1953 Commons,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Peaceful Serenity,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,McCulloch Hall,McCulloch Hall,Native American House,Alpha Theta,Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta"
29:05:2013,1206.0,64256.0,14338.0,7507.0,0.0,0.0,0.0,2,58,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta"
30:03:2013,8437.0,3290.0,69288.0,4800.0,0.0,0.0,0.0,5,58,"Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Haldeman Center,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Class of 1953 Commons,Alpha Theta,Alpha Theta"
30:04:2013,0.0,44991.0,30360.0,6111.0,0.0,0.0,8120.0,1,58,"Alpha Theta,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Native American House,Alpha Theta,Dartmouth College,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Peaceful Serenity,Alpha Theta,Peaceful Serenity,Native American House,Alpha Theta,Peaceful Serenity,Alpha Theta,Native American House,Peaceful Serenity,Alpha Theta,Native American House,Alpha Theta,Alpha Theta,Sudikoff Hall,Sudikoff Hall"
30:05:2013,0.0,58739.0,23400.0,661.0,0.0,0.0,0.0,3,58,"Alpha Theta,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Collis Student Center,Alpha Theta,Alpha Theta,Sudikoff Hall"
31:03:2013,10800.0,24099.0,39600.0,10803.0,0.0,0.0,0.0,-1,58,"Sudikoff Hall,Sudikoff Hall,Alpha Theta,Alpha Theta,Class of 1953 Commons,Class of 1953 Commons,Alpha Theta,Hopkins Center for the Arts,Hopkins Center for the Arts,Collis Student Center,Collis Student Center,Alpha Theta,Dartmouth College"
31:05:2013,0.0,32307.0,600.0,10293.0,0.0,0.0,0.0,4,58,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Alpha Theta,Sudikoff Hall"
