date,home_time,school_time,travel_time,orthers,recreational_activities,date_in_week,volunteer,location_names
27:05:2013,33000.0,54000.0,0.0,0.0,0.0,0,48,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
28:04:2013,16803.0,127197.0,0.0,0.0,0.0,-1,48,"0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
28:05:2013,25799.0,72601.0,0.0,0.0,0.0,1,48,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
29:03:2013,40800.0,36000.0,0.0,0.0,0.0,4,48,"Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Dartmouth College"
29:04:2013,66521.0,0.0,0.0,0.0,0.0,0,48,0
29:05:2013,11999.0,59400.0,601.0,0.0,0.0,2,48,"Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,0,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall"
30:03:2013,104401.0,18001.0,16798.0,0.0,0.0,5,48,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Anonymous Hall,0,0,0"
30:04:2013,3600.0,55198.0,0.0,0.0,1200.0,1,48,"Sudikoff Hall,0,Hopkins Center for the Arts,Sudikoff Hall"
30:05:2013,0.0,28807.0,0.0,0.0,0.0,3,48,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
31:03:2013,39600.0,0.0,0.0,0.0,0.0,-1,48,"0,0,0,0,0"
