date,home_time,school_time,orthers,travel_time,recreational_activities,working,shopping,date_in_week,volunteer,location_names
22:04:2013,98400.0,6000.0,0.0,0.0,0.0,0.0,0.0,0,59,"0,Sudikoff Hall,Sudikoff Hall,0,0,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0"
22:05:2013,98401.0,3598.0,0.0,604.0,1801.0,596.0,0.0,2,59,"Black Family Visual Arts Center,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0,Chi Heorot,0"
23:04:2013,58802.0,0.0,0.0,3598.0,6000.0,0.0,0.0,1,59,"0,Alumni Gymnasium,Alumni Gymnasium,0,0,South Block Parking Garage"
23:05:2013,52200.0,10800.0,10201.0,0.0,0.0,0.0,0.0,3,59,"0,Sudikoff Hall,Sudikoff Hall,0,0,0,0"
24:04:2013,84001.0,0.0,3600.0,0.0,5999.0,0.0,0.0,2,59,"Johnson Audiology,Hanover Post Office,0,0,Alumni Gymnasium,Alumni Gymnasium,0,0"
24:05:2013,184199.0,0.0,0.0,0.0,0.0,4200.0,0.0,4,59,"0,0,Alpha Phi,0,0,0"
25:04:2013,80400.0,7200.0,0.0,0.0,1200.0,0.0,0.0,3,59,"0,FatFace Hanover,0,0,Sudikoff Hall,0"
26:04:2013,72000.0,9600.0,0.0,0.0,4800.0,0.0,0.0,4,59,"0,Alumni Gymnasium,Alumni Gymnasium,0,0,Sudikoff Hall,Sudikoff Hall,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0"
26:05:2013,76200.0,1199.0,0.0,0.0,6601.0,0.0,0.0,-1,59,"0,0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall,0,Sudikoff Hall,0"
27:03:2013,63588.0,3552.0,0.0,0.0,0.0,0.0,0.0,2,59,"0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0"
27:04:2013,88800.0,3600.0,0.0,0.0,0.0,0.0,0.0,5,59,"0,Sudikoff Hall,Sudikoff Hall,0,0,0,0"
27:05:2013,67201.0,4199.0,0.0,5999.0,601.0,0.0,0.0,0,59,"0,East Wheelock Street,Black Family Visual Arts Center,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,Bartlett Hall,0"
28:03:2013,55260.0,10800.0,0.0,0.0,0.0,0.0,0.0,3,59,"0,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,140373.0,2400.0,0.0,0.0,0.0,0.0,0.0,-1,59,"0,Sudikoff Hall,Sudikoff Hall,0,0,0,0"
28:05:2013,67799.0,3534.0,0.0,6001.0,0.0,0.0,0.0,1,59,"0,0,0,0,0"
29:03:2013,166800.0,12000.0,0.0,0.0,0.0,0.0,0.0,4,59,"0,0,0,Sudikoff Hall,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
29:04:2013,94828.0,0.0,0.0,1201.0,0.0,0.0,0.0,0,59,"0,Dana Circle Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0"
29:05:2013,64201.0,0.0,0.0,0.0,1266.0,0.0,0.0,2,59,"Jewel of India,0,0,0,0,0,0,Life Sciences Greenhouse"
30:04:2013,0.0,3599.0,0.0,0.0,0.0,0.0,0.0,1,59,Class of 1953 Commons
31:03:2013,151116.0,0.0,0.0,3600.0,0.0,0.0,0.0,-1,59,"0,0,0"
