date,travel_time,home_time,school_time,recreational_activities,orthers,shopping,working,date_in_week,volunteer,location_names
10:05:2013,2103.0,2700.0,26097.0,0.0,0.0,0.0,0.0,4,14,"0,Life Sciences Greenhouse,0,Vail,0,0,Sudikoff Hall"
11:04:2013,44400.0,26400.0,15679.0,2399.0,0.0,0.0,0.0,3,14,"Sudikoff Hall,Hopkins Center for the Arts,Hanover Inn Dartmouth,Sudikoff Hall,Sudikoff Hall,0,North Main Street,North Main Street,North Main Street"
11:05:2013,18800.0,40200.0,12000.0,0.0,0.0,0.0,0.0,5,14,"Sudikoff Hall,Anonymous Hall,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Sudikoff Hall,Sudikoff Hall,0,0"
12:04:2013,6000.0,1204.0,175522.0,0.0,0.0,0.0,0.0,4,14,"Sudikoff Hall,Sudikoff Hall,Winfred-Raven House,Sudikoff Hall,Sudikoff Hall,North Main Street,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall"
12:05:2013,17987.0,58279.0,44353.0,0.0,0.0,0.0,0.0,-1,14,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,0,0"
13:05:2013,33001.0,15000.0,1200.0,0.0,0.0,0.0,0.0,0,14,"Sudikoff Hall,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Dewey Parking Lot"
14:04:2013,34800.0,12000.0,55200.0,0.0,0.0,0.0,0.0,-1,14,"Sudikoff Hall,0,North Main Street,0,North Main Street,0,0,North Main Street,North Main Street,North Main Street,Sudikoff Hall"
14:05:2013,25200.0,17400.0,15000.0,0.0,30600.0,0.0,0.0,1,14,"Dartmouth-Hitchcock Women's Health Resource Center,Sudikoff Hall,0,North Main Street,North Main Street,0,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,0,North Main Street,North Main Street,0,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,Sudikoff Hall,Sudikoff Hall"
15:04:2013,0.0,42000.0,3600.0,0.0,0.0,0.0,0.0,0,14,"Sudikoff Hall,0"
15:05:2013,2400.0,1200.0,117527.0,0.0,3600.0,0.0,0.0,2,14,"Irving,0,Sudikoff Hall,Sudikoff Hall,Haldeman Center,Haldeman Center,Sudikoff Hall,Sudikoff Hall,North Main Street,Sudikoff Hall,Dartmouth Hall,Dartmouth Hall,Sudikoff Hall"
16:04:2013,124801.0,0.0,1199.0,0.0,0.0,0.0,0.0,1,14,"North Main Street,Sudikoff Hall,Dewey Parking Lot,North Main Street,North Main Street"
16:05:2013,1800.0,0.0,48607.0,0.0,0.0,0.0,0.0,3,14,"Sudikoff Hall,North Main Street,Sudikoff Hall"
17:04:2013,14400.0,19542.0,28803.0,0.0,0.0,0.0,0.0,2,14,"Sudikoff Hall,0,North Main Street,North Main Street,0,North Main Street,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
17:05:2013,6600.0,6001.0,59999.0,7199.0,1801.0,0.0,0.0,4,14,"Sudikoff Hall,0,Hannaford,0,0,North Main Street,North Main Street,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Hanover Inn Dartmouth,Hanover Inn Dartmouth,Hanover Inn Dartmouth,Sudikoff Hall,Sudikoff Hall,North Main Street,Murdough Center,Murdough Center,Dartmouth College"
18:04:2013,4800.0,1203.0,62908.0,0.0,0.0,0.0,0.0,3,14,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,North Main Street,Life Sciences Greenhouse"
18:05:2013,63000.0,1200.0,22200.0,0.0,0.0,1800.0,0.0,5,14,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dewey Field Road,Bridge Street,North Main Street"
19:04:2013,26397.0,51600.0,39600.0,0.0,8400.0,0.0,0.0,4,14,"0,0,Sudikoff Hall,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,0"
19:05:2013,25865.0,0.0,46200.0,0.0,52200.0,0.0,0.0,-1,14,"North Main Street,North Main Street,North Main Street,Pregnancy Center of the Upper Valley,North Main Street,North Main Street,G Lot Parking,Sudikoff Hall"
20:04:2013,15600.0,56400.0,4800.0,0.0,0.0,0.0,0.0,5,14,"Sudikoff Hall,0,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,North Main Street,North Main Street,North Main Street,0,0,North Main Street,0,North Main Street,North Main Street,North Main Street,0"
20:05:2013,37800.0,0.0,33600.0,0.0,0.0,0.0,0.0,0,14,"Sudikoff Hall,North Main Street"
21:04:2013,9600.0,38259.0,15600.0,0.0,0.0,0.0,0.0,-1,14,"Sudikoff Hall,0,0,0,0,0,North Main Street,North Main Street"
21:05:2013,43200.0,0.0,20724.0,0.0,2400.0,0.0,0.0,1,14,"Sudikoff Hall,Hannaford,Hannaford,0,0,North Main Street,Sudikoff Hall"
22:04:2013,56315.0,13125.0,92560.0,0.0,0.0,0.0,0.0,0,14,"North Main Street,Sudikoff Hall,0,0,North Main Street,0,North Main Street,North Main Street,North Main Street,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
22:05:2013,39570.0,0.0,52800.0,0.0,0.0,0.0,0.0,2,14,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street"
23:04:2013,0.0,0.0,15600.0,0.0,0.0,0.0,0.0,1,14,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
23:05:2013,1800.0,0.0,84606.0,0.0,0.0,28794.0,0.0,3,14,"Sudikoff Hall,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,Dewey Field Road,Sudikoff Hall,North Main Street,Sudikoff Hall"
24:04:2013,0.0,42816.0,43204.0,0.0,2400.0,0.0,0.0,2,14,"Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Hanover High School,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
24:05:2013,10205.0,0.0,39000.0,0.0,0.0,0.0,0.0,4,14,"Sudikoff Hall,North Main Street,Sudikoff Hall,0"
25:04:2013,33600.0,27979.0,8403.0,0.0,3597.0,0.0,0.0,3,14,"Sudikoff Hall,0,0,Sudikoff Hall,Sudikoff Hall,0,North Main Street,North Main Street,North Main Street,0,0,0,North Main Street,0,North Main Street,North Main Street,0,North Main Street,0,Guarini Institute for International Education,Life Sciences Greenhouse,Life Sciences Greenhouse"
25:05:2013,6000.0,602.0,32291.0,1195.0,4203.0,0.0,40536.0,5,14,"Sandri,0,0,Sudikoff Hall,Sudikoff Hall,0,Hanover Veterinary Clinic,North Main Street,Irving,Irving"
26:04:2013,36000.0,14400.0,54000.0,0.0,0.0,0.0,0.0,4,14,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,0,0,0,North Main Street,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,North Main Street,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall"
26:05:2013,85251.0,0.0,0.0,0.0,1797.0,0.0,0.0,-1,14,"0,North Main Street,North Main Street"
27:04:2013,2399.0,57937.0,26400.0,0.0,0.0,0.0,0.0,5,14,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,North Main Street,0,0"
27:05:2013,0.0,66000.0,34801.0,0.0,0.0,0.0,0.0,0,14,"Sudikoff Hall,Sudikoff Hall,0"
28:04:2013,37406.0,4294.0,29064.0,0.0,0.0,0.0,0.0,-1,14,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,0,North Main Street,0,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,0,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,Sudikoff Hall"
28:05:2013,1800.0,0.0,72360.0,0.0,0.0,0.0,0.0,1,14,"North Main Street,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
29:03:2013,37200.0,0.0,44325.0,0.0,0.0,0.0,0.0,4,14,"Sudikoff Hall,North Main Street"
29:04:2013,164567.0,4199.0,40198.0,0.0,0.0,0.0,0.0,0,14,"0,0,Sudikoff Hall,Sudikoff Hall,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
29:05:2013,36338.0,8144.0,63386.0,0.0,0.0,0.0,0.0,2,14,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,North Main Street,Life Sciences Greenhouse,Sudikoff Hall"
30:03:2013,0.0,0.0,15601.0,0.0,211630.0,0.0,0.0,5,14,"Sudikoff Hall,Dartmouth Real Estate - Sachem Village"
30:05:2013,0.0,10200.0,1201.0,0.0,4799.0,0.0,0.0,3,14,"Sudikoff Hall,Martha E. Diebold Real Estate,0,0,0"
