date,home_time,recreational_activities,school_time,orthers,shopping,travel_time,working,date_in_week,volunteer,location_names
06:05:2013,67200.0,0.0,2400.0,0.0,0.0,0.0,0.0,0,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall"
07:04:2013,91203.0,7197.0,0.0,0.0,0.0,0.0,0.0,-1,10,"Dartmouth College,Dartmouth College,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
07:05:2013,78000.0,3000.0,4800.0,0.0,0.0,0.0,0.0,1,10,"Wentworth Hall,Dartmouth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
08:04:2013,66000.0,0.0,7200.0,0.0,0.0,0.0,0.0,0,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Wentworth Hall"
08:05:2013,67800.0,4201.0,14999.0,0.0,0.0,0.0,600.0,2,10,"Dartmouth College,Phi Tau,Dartmouth College,Dartmouth College,Kemeny Hall,Kemeny Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hood Museum of Art,Dartmouth Hall"
09:04:2013,63600.0,2399.0,19201.0,0.0,0.0,0.0,0.0,1,10,"Wentworth Hall,Reed Hall,Hopkins Center for the Arts,Wilson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Dartmouth College,Dartmouth College,Sudikoff Hall"
09:05:2013,72590.0,5899.0,10197.0,0.0,0.0,6600.0,0.0,3,10,"Wentworth Hall,Reed Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,63 South Main Street Parking Deck,63 South Main Street Parking Deck,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Dartmouth College"
10:04:2013,79202.0,1198.0,4800.0,0.0,0.0,0.0,1200.0,2,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,0"
10:05:2013,72659.0,714.0,3600.0,0.0,0.0,0.0,541.0,4,10,"Baker Memorial Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kappa Pi Kappa,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Parker House,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall"
11:04:2013,62401.0,2400.0,3601.0,3599.0,0.0,14399.0,0.0,3,10,"Dartmouth Hall,Dartmouth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Coldwell Banker,Coldwell Banker,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,72600.0,14400.0,3600.0,0.0,0.0,0.0,0.0,5,10,"Wentworth Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library"
12:04:2013,75600.0,4800.0,2401.0,1200.0,0.0,3600.0,0.0,4,10,"Dana Circle Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,The Church of Christ at Dartmouth College,Dartmouth College,Dartmouth College,Berry Sports Center,Berry Sports Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall"
12:05:2013,76801.0,1200.0,600.0,1800.0,0.0,0.0,599.0,-1,10,"0,Dartmouth College,Berry Library,Dartmouth College,0,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Moore Psychology Building,Dartmouth College,Dartmouth College,Dartmouth College,Latin American, Latino/a, and Caribbean House,Latin American, Latino/a, and Caribbean House,Dartmouth College,Dartmouth College,0,0,Wheelock House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Casque & Gauntlet Senior Society,Dartmouth College"
13:04:2013,82806.0,0.0,1209.0,2397.0,0.0,1200.0,3590.0,5,10,"Wentworth Hall,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,The Church of Christ at Dartmouth College,The Church of Christ at Dartmouth College,0,Dartmouth College"
13:05:2013,82732.0,600.0,4200.0,600.0,0.0,0.0,0.0,0,10,"Dartmouth College,Simon Pearce,Hanover Inn Dartmouth,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall"
14:04:2013,87600.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
14:05:2013,72602.0,0.0,11998.0,0.0,0.0,0.0,0.0,1,10,"Wentworth Hall,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
15:04:2013,77729.0,0.0,3600.0,0.0,0.0,0.0,0.0,0,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Wentworth Hall"
15:05:2013,66600.0,8996.0,10804.0,0.0,0.0,600.0,600.0,2,10,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Alpha Theta,Kemeny Hall,Kemeny Hall,Carpenter Hall,Hopkins Center for the Arts,Zahm Courtyard,Dartmouth College,Dartmouth College,Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Wentworth Hall"
16:04:2013,68405.0,0.0,21213.0,0.0,0.0,0.0,0.0,1,10,"Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
16:05:2013,84001.0,1200.0,600.0,0.0,0.0,0.0,0.0,3,10,"Dartmouth Hall,Hood Museum of Art,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
17:04:2013,76800.0,0.0,4800.0,0.0,0.0,1200.0,0.0,2,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Dartmouth College,Dartmouth College,Dartmouth Hall"
17:05:2013,70202.0,10199.0,5999.0,0.0,0.0,600.0,0.0,4,10,"Dartmouth College,0,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Moore Psychology Building,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth Hall"
18:04:2013,81600.0,2398.0,1202.0,0.0,0.0,0.0,0.0,3,10,"Dartmouth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,66602.0,8400.0,7799.0,4199.0,0.0,1200.0,0.0,5,10,"Dartmouth Hall,Hood Museum of Art,Dartmouth College,Dartmouth College,0,63 South Main Street Parking Deck,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Hanover Inn Dartmouth,Hopkins Center for the Arts,Hood Museum of Art,Hood Museum of Art,Guarini Institute for International Education,Sudikoff Hall"
19:04:2013,82800.0,0.0,4800.0,0.0,0.0,0.0,0.0,4,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth Hall"
19:05:2013,76064.0,3000.0,1200.0,3598.0,0.0,0.0,0.0,-1,10,"Sudikoff Hall,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Native American House,Dartmouth College,Dartmouth College,Dartmouth College,0,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Berry Library"
20:04:2013,91198.0,0.0,2402.0,0.0,0.0,0.0,0.0,5,10,"Dartmouth Hall,Dartmouth College,Dartmouth College,Choate House,Dartmouth College,Dartmouth College,Dartmouth College"
20:05:2013,86401.0,1800.0,0.0,0.0,0.0,3599.0,0.0,0,10,"Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
21:04:2013,34800.0,0.0,57600.0,0.0,0.0,0.0,0.0,-1,10,"Middlebury College,Reed Road"
21:05:2013,15000.0,65060.0,1810.0,0.0,0.0,0.0,0.0,1,10,"Dartmouth College,Dartmouth College,Dartmouth College,Hanover Inn Dartmouth,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College"
22:04:2013,68397.0,0.0,8051.0,0.0,0.0,0.0,0.0,0,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Dartmouth College,Dartmouth College,Wentworth Hall,Wentworth Hall"
22:05:2013,73200.0,0.0,13200.0,0.0,0.0,0.0,0.0,2,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth Hall"
23:04:2013,68359.0,0.0,22796.0,0.0,0.0,0.0,0.0,1,10,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
23:05:2013,81600.0,4200.0,600.0,0.0,0.0,0.0,0.0,3,10,"Dartmouth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hood Museum of Art,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
24:04:2013,75709.0,0.0,3535.0,0.0,0.0,0.0,0.0,2,10,"Dartmouth College,Dartmouth College,Kemeny Hall,Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
24:05:2013,374076.0,1800.0,0.0,0.0,0.0,0.0,0.0,4,10,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College"
25:04:2013,75394.0,0.0,7275.0,0.0,0.0,0.0,2498.0,3,10,"Dartmouth College,Dartmouth College,Phi Tau,Dartmouth College,Dartmouth College,Dartmouth College,Phi Tau,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse"
26:04:2013,79025.0,0.0,3601.0,0.0,0.0,4799.0,0.0,4,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Maynard Parking Lot,Maynard Parking Lot,Dartmouth Hall"
27:03:2013,39626.0,1199.0,7175.0,0.0,0.0,0.0,0.0,2,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth Hall"
27:04:2013,77787.0,3599.0,8536.0,0.0,0.0,0.0,0.0,5,10,"Wentworth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hood Museum of Art,Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0"
28:03:2013,77999.0,3599.0,3602.0,0.0,0.0,0.0,0.0,3,10,"Dartmouth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse"
28:04:2013,66042.0,1162.0,21660.0,0.0,0.0,1213.0,0.0,-1,10,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Maynard Parking Lot,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College"
28:05:2013,39600.0,0.0,14896.0,0.0,0.0,0.0,0.0,1,10,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
29:03:2013,75601.0,9599.0,2400.0,0.0,0.0,0.0,0.0,4,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Leverone Field House,Leverone Field House,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wentworth Hall"
29:04:2013,51661.0,0.0,25217.0,0.0,0.0,1122.0,0.0,0,10,"Choate House,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Wentworth Hall"
29:05:2013,34800.0,0.0,60600.0,0.0,0.0,0.0,0.0,2,10,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
30:03:2013,239590.0,0.0,1200.0,3598.0,0.0,0.0,0.0,5,10,"Wentworth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College"
30:04:2013,50364.0,1182.0,38454.0,0.0,0.0,0.0,0.0,1,10,"Dartmouth Hall,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall"
30:05:2013,12600.0,0.0,0.0,0.0,0.0,0.0,0.0,3,10,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
