date,home_time,school_time,orthers,travel_time,recreational_activities,working,date_in_week,volunteer,location_names
24:04:2013,66000.0,20401.0,0.0,0.0,0.0,0.0,2,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College"
24:05:2013,169164.0,13200.0,0.0,1198.0,0.0,0.0,4,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Maynard Parking Lot,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
25:04:2013,60622.0,25200.0,0.0,0.0,1199.0,0.0,3,19,"Hopkins Center for the Arts,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Native American House,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College"
26:04:2013,15715.0,77885.0,0.0,0.0,0.0,0.0,4,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sherman House,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Reed Hall,Reed Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
26:05:2013,29984.0,291088.0,0.0,1200.0,0.0,0.0,-1,19,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Maynard Parking Lot,Dartmouth College,Dartmouth College,Sudikoff Hall"
27:03:2013,33599.0,13201.0,0.0,0.0,0.0,0.0,2,19,"Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons"
27:04:2013,184800.0,0.0,0.0,0.0,0.0,0.0,5,19,Dartmouth College
28:03:2013,102000.0,4801.0,0.0,0.0,0.0,0.0,3,19,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,Dartmouth College"
29:03:2013,45598.0,19202.0,0.0,0.0,0.0,0.0,4,19,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons"
29:04:2013,45600.0,20400.0,0.0,0.0,0.0,0.0,0,19,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall"
29:05:2013,7720.0,1200.0,0.0,0.0,0.0,1201.0,2,19,"Sudikoff Hall,Life Sciences Greenhouse,Phi Tau"
30:03:2013,100799.0,6001.0,0.0,0.0,0.0,0.0,5,19,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College"
30:04:2013,172799.0,70801.0,0.0,0.0,0.0,0.0,1,19,"Class of 1953 Commons,Class of 1953 Commons,Carson Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Moore Psychology Building,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College"
30:05:2013,1199.0,0.0,0.0,0.0,0.0,0.0,3,19,"Dartmouth College,Dartmouth College"
31:03:2013,30004.0,49200.0,0.0,0.0,2396.0,0.0,-1,19,"Dartmouth College,Wheeler Hall,Alumni Gymnasium,Alumni Gymnasium,Moore Psychology Building,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College"
