date,home_time,recreational_activities,school_time,travel_time,shopping,orthers,working,date_in_week,volunteer,location_names
11:04:2013,1200.0,1198.0,12000.0,2401.0,0.0,0.0,0.0,3,1,"South Block Parking Garage,South Block Parking Garage,Six South Street,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse"
11:05:2013,12001.0,0.0,63600.0,0.0,25200.0,1198.0,0.0,5,1,"Life Sciences Greenhouse,Life Sciences Greenhouse,0,Sudikoff Hall,Sudikoff Hall,0,King Arthur Baking Company"
12:04:2013,17905.0,1200.0,7296.0,51813.0,5789.0,2400.0,0.0,4,1,"Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Citizens Bank,Dartmouth College,Dartmouth College,House Center A,King Arthur Baking Company,King Arthur Baking Company,Co-op Food Stores Norwich Service Center,0,Baker Memorial Library,Wheeler Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,South Block Parking Garage"
12:05:2013,16801.0,3600.0,0.0,0.0,0.0,50400.0,0.0,-1,1,"0,Systems Plus Computers,0,Berry Sports Center,Berry Sports Center"
13:04:2013,74518.0,0.0,12004.0,2400.0,3478.0,0.0,0.0,5,1,"South Block Parking Garage,South Block Parking Garage,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Hanover Park,Hanover Park,Dartmouth College,0"
13:05:2013,26396.0,2403.0,15599.0,0.0,0.0,43201.0,0.0,0,1,"Alumni Gymnasium,0,0,0,0,0,Big Green Real Estate,Sudikoff Hall,Sudikoff Hall,Dartmouth Hall,Sudikoff Hall"
14:04:2013,132000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,"0,0,0,0,0,0"
14:05:2013,10800.0,0.0,57600.0,0.0,0.0,21600.0,0.0,1,1,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,White River Junction Historic District"
15:04:2013,21600.0,0.0,8400.0,4800.0,0.0,0.0,0.0,0,1,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,South Block Parking Garage,South Block Parking Garage,South Block Parking Garage,South Block Parking Garage"
15:05:2013,69600.0,0.0,12001.0,0.0,0.0,0.0,0.0,2,1,"0,0,Sudikoff Hall,Wheeler Hall,Dartmouth College,Thornton Hall,Sudikoff Hall"
16:04:2013,107242.0,0.0,27600.0,2400.0,0.0,0.0,0.0,1,1,"South Block Parking Garage,South Block Parking Garage,La Casa,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0"
16:05:2013,2400.0,0.0,21604.0,0.0,0.0,82360.0,0.0,3,1,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Positive Tracks,0,0"
17:04:2013,21600.0,3600.0,6000.0,4800.0,0.0,0.0,0.0,2,1,"0,0,0,0,0,Dartmouth College,Baker Memorial Library,Dartmouth College,Baker Memorial Library,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,South Block Parking Garage,South Block Parking Garage"
17:05:2013,24004.0,6912.0,0.0,0.0,0.0,36287.0,0.0,4,1,"0,Hanover Inn Dartmouth,Hanover Inn Dartmouth,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
18:04:2013,21600.0,1200.0,20400.0,0.0,43200.0,0.0,0.0,3,1,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Observatory Road,0,Dartmouth College,Wheeler Hall,Dartmouth College,Baker Memorial Library,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
18:05:2013,267184.0,1200.0,7200.0,0.0,0.0,0.0,0.0,5,1,"Dartmouth College,Dartmouth College,Dartmouth College,0,Sudikoff Hall,Sudikoff Hall,0,0"
19:04:2013,13274.0,0.0,69526.0,3600.0,0.0,0.0,0.0,4,1,"Sudikoff Hall,Sudikoff Hall,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,South Block Parking Garage"
20:04:2013,16806.0,0.0,22800.0,0.0,0.0,51559.0,0.0,5,1,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Sudikoff Hall,Arlington Coin,Arlington Coin,0,0,0,0"
21:04:2013,45600.0,7197.0,0.0,0.0,0.0,50398.0,0.0,-1,1,"Nelson Fitness Center,Kabob and Curry,257 Thayer,0,0,0,0"
21:05:2013,177934.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0
22:04:2013,51554.0,0.0,15606.0,3640.0,0.0,0.0,0.0,0,1,"0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,South Block Parking Garage,South Block Parking Garage,Dartmouth College,Class of 1978 Life Sciences Center"
23:04:2013,45600.0,2399.0,51591.0,0.0,0.0,0.0,0.0,1,1,"Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Alumni Gymnasium,0,0,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
23:05:2013,55176.0,0.0,8366.0,0.0,0.0,3001.0,0.0,3,1,"Sudikoff Hall,0,0,The Peoples Barber Shop and Shave Parlor,0,0,Nugget Arcade,Dartmouth College,Dartmouth College,Sudikoff Hall"
24:04:2013,14400.0,0.0,54000.0,0.0,0.0,0.0,0.0,2,1,"Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,0"
24:05:2013,21001.0,2399.0,600.0,2553.0,0.0,59847.0,0.0,4,1,"Sudikoff Hall,Co-op Food Stores Norwich Service Center,0,0,0,0,0,0,Alumni Gymnasium,Berry Sports Center,Berry Sports Center,Gym Lot,0,0"
25:04:2013,25241.0,13238.0,2399.0,0.0,45780.0,0.0,0.0,3,1,"King Arthur Baking Company,King Arthur Baking Company,0,0,0,0,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
25:05:2013,0.0,25341.0,0.0,0.0,0.0,62653.0,0.0,5,1,"0,Midtown Center,Midtown Center,Midtown Center,Midtown Center,Natural Resources Defense Council,Natural Resources Defense Council,Natural Resources Defense Council,Midtown Center,Midtown Center,Midtown Center,Embassy of Djibouti,0,0,0,0,Embassy of Djibouti,WRC"
26:04:2013,73202.0,4799.0,1201.0,5999.0,0.0,0.0,0.0,4,1,"Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Baker Memorial Library,Baker Memorial Library,Vail,Life Sciences Greenhouse,Life Sciences Greenhouse,South Block Parking Garage,South Block Parking Garage"
26:05:2013,0.0,0.0,0.0,0.0,0.0,125605.0,0.0,-1,1,"New Executive Office Building,Reconstruction Finance Corporation Building,Norwich Inn,Norwich Inn"
27:03:2013,4800.0,0.0,18000.0,0.0,0.0,0.0,0.0,2,1,"0,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall"
27:04:2013,3600.0,1201.0,16801.0,0.0,74397.0,0.0,0.0,5,1,"Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Berry Sports Center,Hanover Park,Hanover Park"
27:05:2013,46800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,"0,0,0,0,0,0,0"
28:03:2013,54361.0,3600.0,28806.0,0.0,0.0,0.0,0.0,3,1,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Wheeler Hall,0,Dartmouth College,Dartmouth College,Baker Memorial Library,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,78670.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,"0,0,0,0,0,0,0"
28:05:2013,60596.0,600.0,21004.0,0.0,0.0,0.0,0.0,1,1,"Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,0,Dartmouth College,Baker Memorial Library,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
29:03:2013,8400.0,1200.0,68400.0,5997.0,0.0,0.0,0.0,4,1,"South Block Parking Garage,South Block Parking Garage,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,South Block Parking Garage,South Block Parking Garage,Dartmouth College"
29:04:2013,73200.0,0.0,13201.0,0.0,0.0,0.0,0.0,0,1,"0,0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall"
29:05:2013,18880.0,3599.0,21599.0,0.0,600.0,43948.0,0.0,2,1,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Berry Sports Center,Berry Sports Center,Alumni Gymnasium,Citizens Bank,Martha E. Diebold Real Estate,Hanover Park,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
30:03:2013,88321.0,1200.0,12005.0,0.0,0.0,0.0,0.0,5,1,"Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Rylee Anne's,Sudikoff Hall,Dartmouth College,0"
30:04:2013,36173.0,0.0,55208.0,0.0,0.0,0.0,0.0,1,1,"Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
30:05:2013,3866.0,4200.0,20660.0,0.0,0.0,56074.0,597.0,3,1,"Sudikoff Hall,Casque & Gauntlet Senior Society,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Rollins Chapel,Hanover High School,Hanover High School,Dartmouth College,Hunter House,0,Berry Sports Center"
31:03:2013,0.0,0.0,0.0,0.0,136800.0,0.0,0.0,-1,1,King Arthur Baking Company
31:05:2013,19800.0,6003.0,14248.0,2137.0,597.0,43015.0,0.0,4,1,"Berry Sports Center,Alumni Gymnasium,Alumni Gymnasium,Ivy Lane,Sudikoff Hall,0,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Gym Lot,Berry Sports Center,Berry Sports Center,Gym Lot,Gym Lot,Hanover High School,Hanover High School,Hanover High School,0,0,0,0,0,Citizens Bank,0"
